,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,58.55,58.98,58.21,58.575,58.575,165582,0.0,1.0
1,2019-10-25,58.0,58.5,57.83,58.25,58.25,924700,0.0,1.0
2,2019-10-24,58.15,58.72,57.81,58.15,58.15,639500,0.0,1.0
3,2019-10-23,56.88,57.83,56.61,57.72,57.72,500400,0.0,1.0
4,2019-10-22,56.5,57.36,55.91,57.13,57.13,456400,0.0,1.0
5,2019-10-21,56.26,57.7,56.26,56.59,56.59,653600,0.0,1.0
6,2019-10-18,55.78,56.05,55.6,55.93,55.93,789400,0.0,1.0
7,2019-10-17,55.6,56.08,55.08,55.89,55.89,503600,0.0,1.0
8,2019-10-16,54.64,55.66,54.64,55.52,55.52,644900,0.0,1.0
9,2019-10-15,54.35,54.87,54.01,54.72,54.72,628000,0.0,1.0
10,2019-10-14,53.98,54.87,53.73,54.2,54.2,451300,0.0,1.0
11,2019-10-11,54.59,55.6,54.19,54.25,54.25,510900,0.0,1.0
12,2019-10-10,52.97,53.86,52.75,53.4,53.4,1088000,0.0,1.0
13,2019-10-09,52.57,53.29,52.5,52.94,52.94,601100,0.0,1.0
14,2019-10-08,52.23,52.42,51.82,51.94,51.94,548300,0.0,1.0
15,2019-10-07,53.06,53.28,52.51,52.51,52.51,783200,0.0,1.0
16,2019-10-04,52.93,53.49,52.74,53.28,53.28,518200,0.0,1.0
17,2019-10-03,52.17,52.93,51.77,52.93,52.93,632600,0.0,1.0
18,2019-10-02,53.41,53.99,51.71,52.41,52.41,933900,0.0,1.0
19,2019-10-01,55.06,55.06,53.71,53.99,53.99,769300,0.0,1.0
20,2019-09-30,55.65,55.84,54.7,54.75,54.75,1164400,0.0,1.0
21,2019-09-27,55.89,56.05,55.01,55.44,55.44,497600,0.0,1.0
22,2019-09-26,55.79,55.93,55.49,55.65,55.65,401400,0.0,1.0
23,2019-09-25,55.68,55.99,55.29,55.87,55.87,1119200,0.0,1.0
24,2019-09-24,56.03,56.18,55.15,55.5,55.5,849100,0.0,1.0
25,2019-09-23,54.81,56.31,54.77,56.0,56.0,754300,0.0,1.0
26,2019-09-20,55.5,56.29,55.0,55.12,55.12,1031000,0.0,1.0
27,2019-09-19,55.59,55.86,55.48,55.51,55.51,819500,0.0,1.0
28,2019-09-18,55.62,56.22,55.34,55.53,55.53,722900,0.0,1.0
29,2019-09-17,55.38,56.09,54.9,55.85,55.85,1199400,0.0,1.0
30,2019-09-16,55.64,56.44,55.28,55.59,55.59,1227900,0.0,1.0
31,2019-09-13,56.5,56.76,56.02,56.49,56.49,939500,0.0,1.0
32,2019-09-12,55.96,56.74,55.4,56.39,56.39,1390700,0.0,1.0
33,2019-09-11,55.56,56.23,54.89,56.21,56.21,1356500,0.0,1.0
34,2019-09-10,55.41,56.4,55.31,55.56,55.56,910600,0.0,1.0
35,2019-09-09,54.61,55.94,54.38,55.49,55.49,780100,0.0,1.0
36,2019-09-06,54.59,54.81,54.22,54.52,54.52,696800,0.0,1.0
37,2019-09-05,54.36,55.11,54.36,54.62,54.62,715500,0.0,1.0
38,2019-09-04,53.68,53.9,53.39,53.77,53.77,873200,0.0,1.0
39,2019-09-03,53.09,53.12,52.1,53.09,53.09,1227000,0.0,1.0
40,2019-08-30,53.4,53.79,53.13,53.62,53.62,856900,0.0,1.0
41,2019-08-29,52.32,53.33,52.19,53.08,53.08,911100,0.0,1.0
42,2019-08-28,50.21,52.26,50.03,51.65,51.65,722500,0.0,1.0
43,2019-08-27,50.58,50.62,49.83,50.43,50.43,1699100,0.0,1.0
44,2019-08-26,51.55,51.75,50.08,50.4,50.4,1011100,0.0,1.0
45,2019-08-23,51.95,52.42,50.83,50.98,50.98,748900,0.0,1.0
46,2019-08-22,52.4,52.76,52.08,52.44,52.44,937300,0.0,1.0
47,2019-08-21,52.86,52.99,52.28,52.3,52.3,643000,0.0,1.0
48,2019-08-20,52.5,52.64,51.61,52.17,52.17,1307200,0.0,1.0
49,2019-08-19,52.48,52.99,50.27,52.6,52.6,505800,0.0,1.0
50,2019-08-16,50.9,52.5,50.27,52.11,52.11,521800,0.0,1.0
51,2019-08-15,51.63,51.63,50.27,50.53,50.53,655100,0.0,1.0
52,2019-08-14,50.8365,51.67,50.02,51.3,51.3,915800,0.0,1.0
53,2019-08-13,52.74,53.5178,52.03,52.22,52.22,907300,0.0,1.0
54,2019-08-12,52.46,52.76,51.87,52.7,52.7,874800,0.0,1.0
55,2019-08-09,53.1,53.1,52.42,52.74,52.74,450500,0.0,1.0
56,2019-08-08,52.62,53.45,52.15,53.2,53.2,567700,0.0,1.0
