,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,21.79,22.27,21.75,21.855,21.855,55324,0.0,1.0
1,2019-10-25,21.26,21.85,21.21,21.69,21.69,288000,0.0,1.0
2,2019-10-24,21.62,21.84,21.06,21.36,21.36,235200,0.0,1.0
3,2019-10-23,21.23,21.63,21.12,21.56,21.56,313600,0.0,1.0
4,2019-10-22,20.82,21.45,20.79,21.34,21.34,352300,0.0,1.0
5,2019-10-21,20.49,21.24,20.49,20.83,20.83,250300,0.0,1.0
6,2019-10-18,20.53,20.66,20.02,20.31,20.31,326600,0.0,1.0
7,2019-10-17,20.55,21.04,20.55,20.7,20.7,631300,0.0,1.0
8,2019-10-16,20.84,20.96,20.41,20.48,20.48,247400,0.0,1.0
9,2019-10-15,20.89,21.09,20.68,20.86,20.86,217900,0.0,1.0
10,2019-10-14,21.07,21.23,20.67,20.77,20.77,189600,0.0,1.0
11,2019-10-11,21.2,21.79,21.15,21.2,21.2,386800,0.0,1.0
12,2019-10-10,21.11,21.52,20.74,20.78,20.78,214000,0.0,1.0
13,2019-10-09,21.09,21.44,20.78,21.08,21.08,429300,0.0,1.0
14,2019-10-08,20.87,21.32,20.75,20.95,20.95,215500,0.0,1.0
15,2019-10-07,21.27,21.42,21.0,21.1,21.1,396100,0.0,1.0
16,2019-10-04,20.87,21.43,20.85,21.42,21.42,264900,0.0,1.0
17,2019-10-03,20.54,21.01,20.3,20.87,20.87,431600,0.0,1.0
18,2019-10-02,20.32,20.68,20.0,20.64,20.64,439100,0.0,1.0
19,2019-10-01,21.74,22.12,20.6,20.63,20.63,474200,0.0,1.0
20,2019-09-30,22.07,22.22,21.08,21.64,21.64,392100,0.0,1.0
21,2019-09-27,22.06,22.58,22.0,22.07,22.07,501800,0.0,1.0
22,2019-09-26,21.81,22.0,21.58,21.89,21.89,354200,0.0,1.0
23,2019-09-25,21.19,21.95,21.12,21.88,21.88,422400,0.0,1.0
24,2019-09-24,21.69,22.08,20.77,21.19,21.19,403300,0.0,1.0
25,2019-09-23,21.35,22.12,21.27,21.76,21.76,467800,0.0,1.0
26,2019-09-20,20.74,23.33,20.72,21.55,21.55,3769600,0.0,1.0
27,2019-09-19,22.12,22.32,20.72,20.81,20.81,684800,0.0,1.0
28,2019-09-18,21.82,22.36,21.19,22.22,22.22,782900,0.0,1.0
29,2019-09-17,21.91,22.07,21.15,21.81,21.81,1045600,0.0,1.0
30,2019-09-16,24.75,24.75,21.75,22.01,22.01,1283000,0.0,1.0
31,2019-09-13,24.78,25.4,24.78,25.24,25.24,302900,0.0,1.0
32,2019-09-12,23.83,24.58,23.5,24.5,24.5,328600,0.0,1.0
33,2019-09-11,23.3,23.99,22.8,23.95,23.95,253500,0.0,1.0
34,2019-09-10,22.57,23.41,22.41,23.34,23.34,260500,0.0,1.0
35,2019-09-09,22.26,22.75,22.15,22.66,22.66,176700,0.0,1.0
36,2019-09-06,22.14,22.53,21.72,22.2,22.2,280500,0.0,1.0
37,2019-09-05,21.75,22.51,21.49,22.23,22.23,438500,0.0,1.0
38,2019-09-04,22.58,22.63,21.3,21.37,21.37,396900,0.0,1.0
39,2019-09-03,22.41,22.73,22.16,22.4,22.4,279900,0.0,1.0
40,2019-08-30,22.81,22.81,22.32,22.58,22.58,380700,0.0,1.0
41,2019-08-29,22.04,22.61,21.79,22.57,22.57,417400,0.0,1.0
42,2019-08-28,21.32,21.78,21.22,21.75,21.75,426800,0.0,1.0
43,2019-08-27,21.59,21.76,20.95,21.36,21.36,396000,0.0,1.0
44,2019-08-26,20.88,21.4,20.83,21.39,21.39,414900,0.0,1.0
45,2019-08-23,21.85,21.85,20.82,20.87,20.87,422500,0.0,1.0
46,2019-08-22,21.99,22.07,21.45,21.96,21.96,272900,0.0,1.0
47,2019-08-21,21.92,22.3,21.77,21.85,21.85,405200,0.0,1.0
48,2019-08-20,21.92,21.96,21.45,21.65,21.65,228200,0.0,1.0
49,2019-08-19,22.69,22.91,21.95,21.98,21.98,470200,0.0,1.0
50,2019-08-16,22.11,22.73,22.07,22.5,22.5,312000,0.0,1.0
51,2019-08-15,22.01,22.34,21.81,21.84,21.84,560500,0.0,1.0
52,2019-08-14,23.31,23.32,21.8714,21.95,21.95,340400,0.0,1.0
53,2019-08-13,23.25,24.44,23.25,23.89,23.89,332000,0.0,1.0
54,2019-08-12,23.27,23.61,22.54,23.39,23.39,521900,0.0,1.0
55,2019-08-09,23.79,23.885,22.93,23.37,23.37,836400,0.0,1.0
56,2019-08-08,25.12,25.985,23.245,23.68,23.68,486000,0.0,1.0
57,2019-08-07,30.34,30.492,26.3,26.42,26.42,738600,0.0,1.0
58,2019-08-06,26.71,27.12,26.32,26.99,26.99,360800,0.0,1.0
59,2019-08-05,27.93,27.93,26.18,26.43,26.43,787000,0.0,1.0
60,2019-08-02,28.97,29.079,28.21,28.56,28.56,157800,0.0,1.0
61,2019-08-01,30.0,30.35,29.01,29.08,29.08,352600,0.0,1.0
62,2019-07-31,30.25,30.81,29.89,29.94,29.94,291200,0.0,1.0
63,2019-07-30,30.3,30.66,30.24,30.43,30.43,210600,0.0,1.0
64,2019-07-29,30.05,30.61,28.4579,30.58,30.58,302800,0.0,1.0
65,2019-07-26,30.26,30.5,30.0,30.21,30.21,159700,0.0,1.0
66,2019-07-25,29.93,30.37,29.61,30.23,30.23,281900,0.0,1.0
67,2019-07-24,29.36,30.02,29.01,29.82,29.82,250300,0.0,1.0
68,2019-07-23,29.16,29.56,28.83,29.48,29.48,204600,0.0,1.0
69,2019-07-22,28.97,29.26,28.52,28.99,28.99,250700,0.0,1.0
70,2019-07-19,28.91,29.66,28.81,28.96,28.96,298100,0.0,1.0
71,2019-07-18,29.2,29.6,28.84,29.0,29.0,302900,0.0,1.0
72,2019-07-17,29.23,29.45,28.95,29.21,29.21,344600,0.0,1.0
73,2019-07-16,28.95,29.4091,28.73,29.37,29.37,392200,0.0,1.0
74,2019-07-15,29.57,29.57,28.8782,28.98,28.98,203400,0.0,1.0
75,2019-07-12,29.19,29.72,29.17,29.58,29.58,161700,0.0,1.0
76,2019-07-11,29.33,29.33,28.79,29.14,29.14,240700,0.0,1.0
77,2019-07-10,29.73,29.96,29.09,29.12,29.12,191800,0.0,1.0
78,2019-07-09,28.89,29.63,28.79,29.55,29.55,406600,0.0,1.0
79,2019-07-08,29.64,30.28,28.8802,29.07,29.07,487700,0.0,1.0
80,2019-07-05,29.67,30.0,29.3,29.71,29.71,199900,0.0,1.0
81,2019-07-03,29.5,29.94,29.5,29.81,29.81,135900,0.0,1.0
82,2019-07-02,30.1,30.15,29.07,29.37,29.37,207400,0.0,1.0
83,2019-07-01,30.96,30.96,29.77,30.18,30.18,410800,0.0,1.0
84,2019-06-28,29.49,30.71,29.49,30.37,30.37,663300,0.0,1.0
85,2019-06-27,29.29,29.595,28.82,29.32,29.32,366600,0.0,1.0
86,2019-06-26,29.39,29.83,28.72,29.21,29.21,418400,0.0,1.0
87,2019-06-25,29.97,30.2508,29.16,29.18,29.18,334000,0.0,1.0
88,2019-06-24,30.83,30.83,29.59,30.04,30.04,248300,0.0,1.0
89,2019-06-21,31.18,31.84,30.51,30.73,30.73,526300,0.0,1.0
90,2019-06-20,31.24,31.5,30.93,31.36,31.36,198800,0.0,1.0
91,2019-06-19,31.43,31.6,30.69,30.94,30.94,278300,0.0,1.0
92,2019-06-18,30.94,32.2,30.6505,31.42,31.42,259000,0.0,1.0
93,2019-06-17,31.75,31.75,30.67,30.75,30.75,260500,0.0,1.0
94,2019-06-14,31.5,31.83,31.4,31.75,31.75,170100,0.0,1.0
95,2019-06-13,31.88,32.097,31.54,31.7,31.7,214300,0.0,1.0
96,2019-06-12,31.71,31.71,31.24,31.7,31.7,121000,0.0,1.0
97,2019-06-11,31.8,32.0346,31.5,31.74,31.74,206200,0.0,1.0
98,2019-06-10,31.99,32.41,31.44,31.51,31.51,227400,0.0,1.0
99,2019-06-07,31.76,32.1183,31.54,31.82,31.82,159200,0.0,1.0
100,2019-06-06,31.52,31.785,31.05,31.59,31.59,153500,0.0,1.0
101,2019-06-05,32.0,32.085,31.15,31.52,31.52,231300,0.0,1.0
102,2019-06-04,31.56,31.89,31.03,31.88,31.88,176100,0.0,1.0
103,2019-06-03,30.91,31.3077,30.538,31.1,31.1,233500,0.0,1.0
104,2019-05-31,31.9,31.9,30.92,30.97,30.97,187800,0.0,1.0
105,2019-05-30,32.47,32.4832,31.87,32.17,32.17,152800,0.0,1.0
106,2019-05-29,31.9,32.4197,31.66,32.33,32.33,309200,0.0,1.0
107,2019-05-28,32.52,32.69,32.15,32.2,32.2,184900,0.0,1.0
108,2019-05-24,31.72,32.5415,31.51,32.48,32.48,220200,0.0,1.0
109,2019-05-23,31.9671,32.02,31.235,31.47,31.47,281400,0.0,1.0
110,2019-05-22,32.35,32.8,32.02,32.33,32.33,335000,0.0,1.0
111,2019-05-21,31.7,32.58,31.7,32.51,32.51,284600,0.0,1.0
112,2019-05-20,31.46,32.02,31.07,31.49,31.49,147300,0.0,1.0
113,2019-05-17,32.09,32.7226,31.68,31.71,31.71,192500,0.0,1.0
114,2019-05-16,31.64,32.88,31.623,32.46,32.46,519500,0.0,1.0
115,2019-05-15,31.42,31.59,30.98,31.51,31.51,168500,0.0,1.0
116,2019-05-14,31.77,31.91,31.03,31.72,31.72,267900,0.0,1.0
117,2019-05-13,31.71,31.96,31.2,31.73,31.73,248400,0.0,1.0
118,2019-05-10,32.11,32.54,30.86,32.01,32.01,353000,0.0,1.0
119,2019-05-09,34.01,34.22,32.16,32.49,32.49,396900,0.0,1.0
120,2019-05-08,35.99,37.17,34.2901,34.37,34.37,345200,0.0,1.0
121,2019-05-07,35.91,36.26,34.85,35.4,35.4,197900,0.0,1.0
122,2019-05-06,35.08,36.42,35.08,36.32,36.32,178300,0.0,1.0
123,2019-05-03,35.13,35.94,34.665,35.85,35.85,161600,0.0,1.0
124,2019-05-02,34.46,35.03,34.19,34.94,34.94,167500,0.0,1.0
125,2019-05-01,35.0119,35.23,34.5,34.5,34.5,388000,0.0,1.0
126,2019-04-30,35.1,35.31,34.6414,35.0,35.0,232800,0.0,1.0
127,2019-04-29,34.67,35.375,34.67,35.12,35.12,350100,0.0,1.0
128,2019-04-26,34.8,35.04,34.31,34.72,34.72,242600,0.0,1.0
129,2019-04-25,35.13,35.13,34.205,34.89,34.89,153000,0.0,1.0
130,2019-04-24,34.86,35.69,34.8,35.14,35.14,381700,0.0,1.0
131,2019-04-23,34.53,34.97,34.44,34.71,34.71,344000,0.0,1.0
132,2019-04-22,34.19,34.94,34.0017,34.53,34.53,195300,0.0,1.0
133,2019-04-18,35.3,35.2989,34.82,34.9,34.9,199700,0.0,1.0
134,2019-04-17,35.611,35.954,34.97,35.34,35.34,318700,0.0,1.0
135,2019-04-16,35.33,35.68,35.12,35.48,35.48,117600,0.0,1.0
136,2019-04-15,35.12,35.45,34.755,35.19,35.19,149400,0.0,1.0
137,2019-04-12,34.93,35.23,34.43,35.07,35.07,167600,0.0,1.0
138,2019-04-11,34.75,35.0203,34.51,34.63,34.63,210000,0.0,1.0
139,2019-04-10,34.25,34.86,34.12,34.71,34.71,176700,0.0,1.0
140,2019-04-09,34.5,34.72,34.06,34.1,34.1,180700,0.0,1.0
141,2019-04-08,34.45,34.56,32.3911,34.5,34.5,260600,0.0,1.0
142,2019-04-05,34.8,35.349,34.51,34.62,34.62,392800,0.0,1.0
143,2019-04-04,34.56,34.75,34.31,34.7,34.7,117700,0.0,1.0
144,2019-04-03,34.95,35.1485,34.5,34.55,34.55,193600,0.0,1.0
145,2019-04-02,34.26,34.59,34.05,34.5,34.5,153500,0.0,1.0
146,2019-04-01,33.37,34.42,33.37,34.42,34.42,184400,0.0,1.0
147,2019-03-29,33.6,33.88,33.07,33.38,33.38,288900,0.0,1.0
148,2019-03-28,33.0696,33.485,32.72,33.42,33.42,243100,0.0,1.0
149,2019-03-27,33.04,33.32,32.43,33.06,33.06,304800,0.0,1.0
150,2019-03-26,33.22,33.52,33.03,33.05,33.05,310700,0.0,1.0
151,2019-03-25,32.56,33.46,32.56,33.1,33.1,329000,0.0,1.0
152,2019-03-22,33.7493,33.88,32.42,32.59,32.59,327200,0.0,1.0
153,2019-03-21,33.57,34.91,33.57,34.02,34.02,327700,0.0,1.0
