,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,46.75,47.0,46.615,46.975,46.975,1361671,0.0,1.0
1,2019-10-25,45.92,46.75,45.86,46.38,46.38,5697000,0.31,1.0
2,2019-10-24,46.68,46.85,45.96,46.28,45.97,5648700,0.0,1.0
3,2019-10-23,46.04,46.95,46.04,46.73,46.417,6525300,0.0,1.0
4,2019-10-22,45.62,46.72,45.33,46.14,45.8309,5812200,0.0,1.0
5,2019-10-21,45.53,45.97,45.47,45.67,45.3641,6914900,0.0,1.0
6,2019-10-18,44.32,45.91,44.25,45.34,45.0363,7161700,0.0,1.0
7,2019-10-17,44.99,45.2,44.33,44.38,44.0827,4233500,0.0,1.0
8,2019-10-16,45.0,45.67,44.42,44.44,44.1423,7760500,0.0,1.0
9,2019-10-15,44.07,44.47,43.56,44.36,44.0629,10975800,0.0,1.0
10,2019-10-14,43.92,44.13,43.41,43.91,43.6159,4986500,0.0,1.0
11,2019-10-11,44.39,44.69,44.06,44.12,43.8245,5300900,0.0,1.0
12,2019-10-10,42.93,43.79,42.8,43.5,43.2086,4175800,0.0,1.0
13,2019-10-09,42.68,42.99,42.31,42.83,42.5431,3707700,0.0,1.0
14,2019-10-08,41.92,42.7,41.66,42.33,42.0465,8075300,0.0,1.0
15,2019-10-07,42.6,42.61,42.17,42.24,41.9571,7864700,0.0,1.0
16,2019-10-04,42.59,42.77,42.14,42.63,42.3444,14413900,0.0,1.0
17,2019-10-03,42.54,42.79,42.02,42.43,42.1458,9524100,0.0,1.0
18,2019-10-02,43.4,43.5,42.43,42.49,42.2054,7540900,0.0,1.0
19,2019-10-01,45.21,45.28,43.59,43.73,43.4371,4879400,0.0,1.0
20,2019-09-30,44.88,45.48,44.78,45.21,44.9072,5694300,0.0,1.0
21,2019-09-27,45.98,46.14,44.08,44.53,44.2317,13736500,0.0,1.0
22,2019-09-26,46.82,46.91,46.38,46.63,46.3177,2603000,0.0,1.0
23,2019-09-25,46.37,46.99,46.28,46.89,46.5759,2776500,0.0,1.0
24,2019-09-24,46.6,46.89,46.0,46.25,45.9402,2777400,0.0,1.0
25,2019-09-23,46.08,46.84,46.03,46.77,46.4567,2351400,0.0,1.0
26,2019-09-20,46.98,47.2,46.23,46.38,46.0693,8319400,0.0,1.0
27,2019-09-19,46.95,47.45,46.65,46.98,46.6653,3252500,0.0,1.0
28,2019-09-18,46.37,47.24,45.93,47.0,46.6852,4656500,0.0,1.0
29,2019-09-17,45.43,46.37,45.36,46.35,46.0395,4949200,0.0,1.0
30,2019-09-16,46.38,47.0,46.14,46.75,46.4369,2811500,0.0,1.0
31,2019-09-13,46.88,47.17,46.58,46.9,46.5858,3209600,0.0,1.0
32,2019-09-12,46.13,46.56,45.72,46.31,45.9998,3106600,0.0,1.0
33,2019-09-11,45.96,46.36,45.3,46.34,46.0296,3986700,0.0,1.0
34,2019-09-10,45.77,46.25,45.29,45.78,45.4733,5969900,0.0,1.0
35,2019-09-09,43.31,45.8,43.17,45.48,45.1754,7858900,0.0,1.0
36,2019-09-06,42.94,43.1,42.6,43.03,42.7418,3388900,0.0,1.0
37,2019-09-05,42.55,43.35,42.32,42.82,42.5332,4544400,0.0,1.0
38,2019-09-04,41.96,42.04,41.49,41.92,41.6392,2671600,0.0,1.0
39,2019-09-03,41.69,41.84,41.01,41.53,41.2518,3613200,0.0,1.0
40,2019-08-30,42.02,42.25,41.83,42.06,41.7783,3051000,0.0,1.0
41,2019-08-29,41.47,42.06,41.4,41.72,41.4405,3051500,0.0,1.0
42,2019-08-28,40.79,41.19,40.52,41.05,40.775,4186600,0.0,1.0
43,2019-08-27,41.34,41.53,40.9,40.95,40.6757,3878300,0.0,1.0
44,2019-08-26,41.33,41.45,40.84,41.11,40.8346,4231900,0.0,1.0
45,2019-08-23,41.9,42.24,40.77,41.02,40.7452,3737300,0.0,1.0
46,2019-08-22,42.23,42.47,41.82,42.17,41.8875,3712700,0.0,1.0
47,2019-08-21,42.13,42.37,41.82,41.94,41.6591,3295600,0.0,1.0
48,2019-08-20,42.52,42.59,41.91,41.96,41.6789,2441700,0.0,1.0
49,2019-08-19,43.03,43.07,42.71,42.72,42.4338,2843700,0.0,1.0
50,2019-08-16,41.95,42.5,41.42,42.33,42.0465,2938200,0.0,1.0
51,2019-08-15,42.0235,42.35,41.42,41.67,41.3909,3583700,0.0,1.0
52,2019-08-14,42.75,43.06,41.92,41.96,41.6789,4952500,0.0,1.0
53,2019-08-13,44.27,44.66,43.565,43.67,43.3775,6093100,0.0,1.0
54,2019-08-12,45.2602,45.505,44.32,44.38,44.0827,4268900,0.0,1.0
55,2019-08-09,45.44,46.107,45.205,45.81,45.5032,5077300,0.0,1.0
56,2019-08-08,45.0,45.97,44.94,45.57,45.2648,5054800,0.0,1.0
57,2019-08-07,44.5,45.0,43.6329,44.73,44.4304,6223600,0.0,1.0
58,2019-08-06,45.19,45.46,44.56,45.45,45.1456,5007700,0.0,1.0
59,2019-08-05,45.24,45.62,44.56,45.06,44.7582,5557800,0.0,1.0
60,2019-08-02,45.97,46.28,44.3011,46.03,45.7217,4764700,0.0,1.0
61,2019-08-01,46.3837,47.5,45.82,45.97,45.6621,6863700,0.0,1.0
62,2019-07-31,46.9145,47.36,46.66,46.92,46.6057,6635700,0.0,1.0
63,2019-07-30,46.39,47.16,46.28,47.04,46.7249,4222100,0.0,1.0
64,2019-07-29,47.44,47.57,46.81,46.82,46.5064,4524000,0.0,1.0
65,2019-07-26,47.25,47.66,46.61,47.6,47.2812,4789700,0.31,1.0
66,2019-07-25,47.3,47.43,46.68,47.29,46.6653,5004900,0.0,1.0
67,2019-07-24,46.56,47.31,46.41,47.1,46.4778,5310800,0.0,1.0
68,2019-07-23,46.23,46.95,46.04,46.72,46.1028,6243100,0.0,1.0
69,2019-07-22,45.19,46.0,45.04,45.82,45.2147,4900400,0.0,1.0
70,2019-07-19,45.06,45.77,44.97,45.27,44.672,7744200,0.0,1.0
71,2019-07-18,44.28,44.98,44.11,44.86,44.2674,5705600,0.0,1.0
72,2019-07-17,43.37,44.71,43.37,44.12,43.5372,6527000,0.0,1.0
73,2019-07-16,43.34,43.64,43.0496,43.11,42.5405,4872600,0.0,1.0
74,2019-07-15,43.6017,43.6,42.97,43.15,42.58,4958700,0.0,1.0
75,2019-07-12,43.78,43.88,43.15,43.56,42.9846,3290200,0.0,1.0
76,2019-07-11,43.16,43.74,43.02,43.65,43.0734,3951800,0.0,1.0
77,2019-07-10,43.46,43.4883,42.92,43.04,42.4715,3804400,0.0,1.0
78,2019-07-09,42.63,43.42,42.46,43.4,42.8267,4179800,0.0,1.0
