,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,3.09,3.09,3.09,3.09,3.09,232,0.0,1.0
1,2019-10-25,3.12,3.12,3.12,3.12,3.12,300,0.0,1.0
2,2019-10-24,3.11,3.11,3.11,3.11,3.11,100,0.0,1.0
3,2019-10-23,3.01,3.14,3.01,3.11,3.11,1100,0.0,1.0
4,2019-10-22,3.32,3.32,3.32,3.32,3.32,200,0.0,1.0
5,2019-10-21,3.12,3.13,3.07,3.11,3.11,2500,0.0,1.0
6,2019-10-18,3.0,3.2,3.0,3.2,3.2,500,0.0,1.0
7,2019-10-17,3.2,3.2,2.99,2.99,2.99,700,0.0,1.0
8,2019-10-16,3.1,3.1,3.1,3.1,3.1,200,0.0,1.0
9,2019-10-15,2.95,3.45,2.95,2.97,2.97,5900,0.0,1.0
10,2019-10-14,2.93,2.95,2.93,2.93,2.93,11700,0.0,1.0
11,2019-10-11,2.95,2.95,2.61,2.9,2.9,2400,0.0,1.0
12,2019-10-10,3.15,3.4,2.7,2.96,2.96,6200,0.0,1.0
13,2019-10-09,2.61,3.12,2.61,3.12,3.12,7500,0.0,1.0
14,2019-10-08,2.8,2.8,2.8,2.8,2.8,100,0.0,1.0
15,2019-10-07,2.8,2.8,2.8,2.8,2.8,300,0.0,1.0
16,2019-10-04,2.61,2.85,2.6,2.8,2.8,1400,0.0,1.0
17,2019-10-03,2.88,2.88,2.62,2.62,2.62,1200,0.0,1.0
18,2019-10-02,2.54,2.8,2.54,2.7,2.7,4900,0.0,1.0
19,2019-10-01,3.07,3.22,2.3,2.79,2.79,14600,0.0,1.0
20,2019-09-30,3.04,3.04,3.04,3.04,3.04,100,0.0,1.0
21,2019-09-27,3.05,3.05,2.99,3.04,3.04,15900,0.0,1.0
22,2019-09-26,3.42,3.42,3.1,3.1,3.1,1500,0.0,1.0
23,2019-09-25,3.12,3.12,3.12,3.12,3.12,100,0.0,1.0
24,2019-09-24,3.12,3.12,3.12,3.12,3.12,700,0.0,1.0
25,2019-09-23,3.14,3.37,3.14,3.28,3.28,1100,0.0,1.0
26,2019-09-20,3.35,3.55,3.12,3.39,3.39,17700,0.0,1.0
27,2019-09-19,3.15,3.35,3.12,3.27,3.27,1300,0.0,1.0
28,2019-09-18,3.31,3.31,3.31,3.31,3.31,100,0.0,1.0
29,2019-09-17,3.02,3.48,3.02,3.31,3.31,6400,0.0,1.0
30,2019-09-16,3.55,3.75,3.22,3.47,3.47,8500,0.0,1.0
31,2019-09-13,3.35,3.55,3.05,3.05,3.05,4900,0.0,1.0
32,2019-09-12,3.25,3.25,3.08,3.19,3.19,2600,0.0,1.0
33,2019-09-11,3.12,3.27,3.06,3.27,3.27,10200,0.0,1.0
34,2019-09-10,3.0,3.12,3.0,3.11,3.11,2700,0.0,1.0
35,2019-09-09,3.12,3.12,3.05,3.08,3.08,1600,0.0,1.0
36,2019-09-06,3.02,3.02,3.0,3.0,3.0,900,0.0,1.0
37,2019-09-05,3.1,3.1,3.1,3.1,3.1,200,0.0,1.0
38,2019-09-04,3.02,3.02,3.02,3.02,3.02,2700,0.0,1.0
39,2019-09-03,3.0,3.05,3.0,3.0,3.0,3100,0.0,1.0
40,2019-08-30,3.05,3.05,3.05,3.05,3.05,400,0.0,1.0
41,2019-08-29,3.03,3.08,3.0,3.0,3.0,3200,0.0,1.0
42,2019-08-28,3.1,3.1,3.02,3.08,3.08,1300,0.0,1.0
43,2019-08-27,3.14,3.14,3.0,3.01,3.01,1500,0.0,1.0
44,2019-08-26,3.01,3.08,3.0,3.07,3.07,2900,0.0,1.0
45,2019-08-23,3.07,3.12,3.0,3.08,3.08,1600,0.0,1.0
46,2019-08-22,3.0,3.13,3.0,3.13,3.13,400,0.0,1.0
47,2019-08-21,3.0,3.14,3.0,3.14,3.14,900,0.0,1.0
48,2019-08-20,2.66,3.15,2.66,3.15,3.15,700,0.0,1.0
49,2019-08-19,3.0,3.12,3.0,3.0,3.0,7100,0.0,1.0
50,2019-08-16,42.8,43.6,42.8,43.17,3.09,700,0.0,1.0
51,2019-08-15,42.75,43.19,41.55,42.61,3.12,3200,0.0,1.0
52,2019-08-14,43.2,43.2,43.2,43.2,3.0,5500,0.0,1.0
53,2019-08-13,3.06,3.06,3.0,3.06,3.06,2700,0.0,1.0
54,2019-08-12,3.01,3.08,3.0,3.08,3.08,400,0.0,1.0
55,2019-08-09,2.95,3.08,2.95,3.02,3.02,2100,0.0,1.0
56,2019-08-08,2.962,3.08,2.95,2.99,2.99,4100,0.0,1.0
57,2019-08-07,3.17,3.17,2.95,3.1,3.1,1400,0.0,1.0
58,2019-08-06,44.09,44.09,42.91,42.91,3.01,0,0.0,1.0
59,2019-08-05,43.54,43.54,42.0,42.9,3.01,3700,0.0,1.0
60,2019-08-02,43.75,44.4,43.5,44.4,3.13,3500,0.0,1.0
61,2019-08-01,44.25,44.25,43.5,43.5,3.03,2600,0.0,1.0
62,2019-07-31,3.0598,3.07,3.04,3.05,3.05,1000,0.0,1.0
63,2019-07-30,3.29,3.3,3.04,3.3,3.3,200,0.0,1.0
64,2019-07-29,3.29,3.29,3.29,3.29,3.29,300,0.0,1.0
65,2019-07-26,3.39,3.39,3.39,3.39,3.39,100,0.0,1.0
66,2019-07-25,3.39,3.39,3.39,3.39,3.39,100,0.0,1.0
67,2019-07-24,3.39,3.39,3.39,3.39,3.39,500,0.0,1.0
68,2019-07-23,3.24,3.24,3.24,3.24,3.24,100,0.0,1.0
69,2019-07-22,3.38,3.38,3.07,3.24,3.24,900,0.0,1.0
70,2019-07-19,3.3,3.3,3.3,3.3,3.3,100,0.0,1.0
71,2019-07-18,3.3,3.3,3.3,3.3,3.3,400,0.0,1.0
72,2019-07-17,3.5,3.5001,3.28,3.3,3.3,1000,0.0,1.0
73,2019-07-16,3.27,3.55,3.09,3.26,3.26,14900,0.0,1.0
74,2019-07-15,2.97,2.97,2.97,2.97,2.97,600,0.0,1.0
75,2019-07-12,3.25,3.25,3.2498,3.25,3.25,200,0.0,1.0
76,2019-07-11,2.9999,3.26,3.0,3.2,3.2,2200,0.0,1.0
