,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,3.4,3.51,3.39,3.42,3.42,150134,0.0,1.0
1,2019-10-25,3.42,3.49,3.38,3.39,3.39,49400,0.0,1.0
2,2019-10-24,3.5,3.5,3.4,3.42,3.42,26600,0.0,1.0
3,2019-10-23,3.49,3.59,3.43,3.51,3.51,74300,0.0,1.0
4,2019-10-22,3.6,3.67,3.41,3.48,3.48,81600,0.0,1.0
5,2019-10-21,3.3,3.67,3.2,3.62,3.62,311600,0.0,1.0
6,2019-10-18,3.35,3.35,3.22,3.28,3.28,61700,0.0,1.0
7,2019-10-17,3.35,3.44,3.32,3.39,3.39,227000,0.0,1.0
8,2019-10-16,3.24,3.41,3.18,3.38,3.38,183400,0.0,1.0
9,2019-10-15,3.16,3.23,3.08,3.21,3.21,48300,0.0,1.0
10,2019-10-14,3.17,3.2,3.12,3.15,3.15,36500,0.0,1.0
11,2019-10-11,3.12,3.21,3.12,3.2,3.2,74400,0.0,1.0
12,2019-10-10,3.1,3.13,3.07,3.07,3.07,55200,0.0,1.0
13,2019-10-09,3.08,3.14,3.05,3.09,3.09,78700,0.0,1.0
14,2019-10-08,3.05,3.11,2.94,3.1,3.1,168600,0.0,1.0
15,2019-10-07,3.0,3.08,3.0,3.01,3.01,64500,0.0,1.0
16,2019-10-04,3.1,3.11,2.94,2.98,2.98,142500,0.0,1.0
17,2019-10-03,3.16,3.18,3.06,3.09,3.09,76800,0.0,1.0
18,2019-10-02,3.28,3.32,3.15,3.16,3.16,82400,0.0,1.0
19,2019-10-01,3.36,3.41,3.17,3.29,3.29,136800,0.0,1.0
20,2019-09-30,3.34,3.46,3.31,3.34,3.34,66600,0.0,1.0
21,2019-09-27,3.35,3.37,3.3,3.31,3.31,64400,0.0,1.0
22,2019-09-26,3.37,3.43,3.32,3.33,3.33,50600,0.0,1.0
23,2019-09-25,3.32,3.41,3.32,3.37,3.37,108300,0.0,1.0
24,2019-09-24,3.39,3.4,3.25,3.32,3.32,101600,0.0,1.0
25,2019-09-23,3.32,3.41,3.3,3.38,3.38,226000,0.0,1.0
26,2019-09-20,3.24,3.35,3.15,3.35,3.35,859800,0.0,1.0
27,2019-09-19,3.39,3.46,3.25,3.25,3.25,216200,0.0,1.0
28,2019-09-18,3.41,3.42,3.36,3.37,3.37,69800,0.0,1.0
29,2019-09-17,3.42,3.45,3.33,3.39,3.39,114800,0.0,1.0
30,2019-09-16,3.42,3.5,3.38,3.43,3.43,81900,0.0,1.0
31,2019-09-13,3.6,3.6,3.45,3.46,3.46,135700,0.0,1.0
32,2019-09-12,3.75,3.75,3.53,3.61,3.61,352900,0.0,1.0
33,2019-09-11,3.58,3.82,3.42,3.78,3.78,697300,0.0,1.0
34,2019-09-10,3.4,3.55,3.29,3.54,3.54,408700,0.0,1.0
35,2019-09-09,3.57,3.57,3.29,3.38,3.38,359300,0.0,1.0
36,2019-09-06,3.31,3.67,3.31,3.53,3.53,802200,0.0,1.0
37,2019-09-05,3.3,3.48,3.21,3.46,3.46,566000,0.0,1.0
38,2019-09-04,3.28,3.28,3.22,3.26,3.26,85400,0.0,1.0
39,2019-09-03,3.26,3.26,3.18,3.24,3.24,74700,0.0,1.0
40,2019-08-30,3.18,3.29,3.11,3.26,3.26,174400,0.0,1.0
41,2019-08-29,3.14,3.18,3.11,3.17,3.17,65200,0.0,1.0
42,2019-08-28,3.05,3.14,3.02,3.11,3.11,40900,0.0,1.0
43,2019-08-27,3.06,3.12,3.0,3.07,3.07,131600,0.0,1.0
44,2019-08-26,3.07,3.09,3.03,3.04,3.04,83800,0.0,1.0
45,2019-08-23,3.17,3.2,3.02,3.04,3.04,143600,0.0,1.0
46,2019-08-22,3.21,3.3,3.16,3.19,3.19,166300,0.0,1.0
47,2019-08-21,3.25,3.34,3.19,3.19,3.19,247300,0.0,1.0
48,2019-08-20,3.17,3.28,3.17,3.2,3.2,83300,0.0,1.0
49,2019-08-19,3.25,3.35,3.16,3.2,3.2,583500,0.0,1.0
50,2019-08-16,3.25,3.5,3.09,3.2,3.2,626600,0.0,1.0
51,2019-08-15,3.09,3.24,3.04,3.17,3.17,215700,0.0,1.0
52,2019-08-14,3.04,3.3,3.04,3.08,3.08,466300,0.0,1.0
53,2019-08-13,3.04,3.13,3.04,3.08,3.08,58700,0.0,1.0
54,2019-08-12,3.02,3.23,3.02,3.09,3.09,177100,0.0,1.0
55,2019-08-09,3.06,3.09,2.94,3.02,3.02,72200,0.0,1.0
56,2019-08-08,3.04,3.11,3.02,3.08,3.08,73500,0.0,1.0
57,2019-08-07,2.99,3.08,2.9,3.01,3.01,114100,0.0,1.0
58,2019-08-06,3.0002,3.05,2.91,3.04,3.04,80800,0.0,1.0
