,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,3.55,3.5809,3.46,3.505,3.505,42244,0.0,1.0
1,2019-10-25,3.54,3.57,3.37,3.46,3.46,122300,0.0,1.0
2,2019-10-24,3.37,3.55,3.37,3.52,3.52,412600,0.0,1.0
3,2019-10-23,3.24,3.38,3.22,3.32,3.32,256400,0.0,1.0
4,2019-10-22,3.23,3.28,3.2,3.22,3.22,69000,0.0,1.0
5,2019-10-21,3.2,3.25,3.16,3.24,3.24,134700,0.0,1.0
6,2019-10-18,3.19,3.27,3.13,3.17,3.17,125700,0.0,1.0
7,2019-10-17,3.26,3.27,3.19,3.22,3.22,123500,0.0,1.0
8,2019-10-16,3.21,3.27,3.18,3.23,3.23,243800,0.0,1.0
9,2019-10-15,3.23,3.24,3.1,3.17,3.17,257300,0.0,1.0
10,2019-10-14,3.25,3.34,3.2,3.24,3.24,208200,0.0,1.0
11,2019-10-11,3.21,3.25,3.21,3.23,3.23,143700,0.0,1.0
12,2019-10-10,3.24,3.24,3.18,3.22,3.22,191600,0.0,1.0
13,2019-10-09,3.17,3.24,3.15,3.22,3.22,122700,0.0,1.0
14,2019-10-08,3.19,3.24,3.15,3.19,3.19,148300,0.0,1.0
15,2019-10-07,3.32,3.35,3.16,3.23,3.23,120200,0.0,1.0
16,2019-10-04,3.19,3.3,3.16,3.28,3.28,317700,0.0,1.0
17,2019-10-03,3.27,3.31,3.06,3.17,3.17,267700,0.0,1.0
18,2019-10-02,3.31,3.35,3.16,3.26,3.26,238600,0.0,1.0
19,2019-10-01,3.48,3.54,3.3,3.34,3.34,123600,0.0,1.0
20,2019-09-30,3.39,3.54,3.36,3.48,3.48,195600,0.0,1.0
21,2019-09-27,3.41,3.41,3.29,3.35,3.35,207000,0.0,1.0
22,2019-09-26,3.47,3.5,3.37,3.39,3.39,117300,0.0,1.0
23,2019-09-25,3.51,3.51,3.43,3.47,3.47,192600,0.0,1.0
