,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,37.36,37.71,36.895,37.11,37.11,711448,0.0,1.0
1,2019-10-25,36.98,37.64,36.86,37.25,37.25,1542300,0.0,1.0
2,2019-10-24,37.78,37.78,36.4,36.89,36.89,2236600,0.0,1.0
3,2019-10-23,38.08,38.08,37.45,37.73,37.73,1815500,0.0,1.0
4,2019-10-22,38.56,38.94,37.91,37.99,37.99,1499500,0.0,1.0
5,2019-10-21,38.78,38.88,38.35,38.36,38.36,1938600,0.0,1.0
6,2019-10-18,37.8,38.48,37.8,38.45,38.45,1458600,0.0,1.0
7,2019-10-17,37.68,38.25,37.45,38.05,38.05,1395400,0.0,1.0
8,2019-10-16,37.64,37.87,37.04,37.2,37.2,1583500,0.0,1.0
9,2019-10-15,37.73,37.98,37.42,37.63,37.63,1082500,0.0,1.0
10,2019-10-14,37.73,37.93,37.35,37.52,37.52,2095300,0.0,1.0
11,2019-10-11,37.75,38.26,37.59,37.8,37.8,2045600,0.0,1.0
12,2019-10-10,37.14,37.43,36.6,37.25,37.25,2481800,0.0,1.0
13,2019-10-09,37.0,37.44,36.75,37.3,37.3,988800,0.0,1.0
14,2019-10-08,37.36,37.36,36.58,36.59,36.59,1784300,0.0,1.0
15,2019-10-07,37.49,37.83,37.31,37.54,37.54,2451600,0.0,1.0
16,2019-10-04,37.65,37.78,37.06,37.61,37.61,1320500,0.0,1.0
17,2019-10-03,36.9,37.76,36.7,37.52,37.52,2666200,0.0,1.0
18,2019-10-02,36.3,36.98,36.16,36.8,36.8,2884100,0.0,1.0
19,2019-10-01,38.05,38.25,36.12,36.49,36.49,6930200,0.0,1.0
20,2019-09-30,39.4,39.65,38.69,39.23,39.23,2089300,0.0,1.0
21,2019-09-27,39.4,39.94,38.9,39.34,39.34,2112700,0.0,1.0
22,2019-09-26,39.96,40.12,38.84,39.19,39.19,2294100,0.0,1.0
23,2019-09-25,38.98,40.35,38.9,40.14,40.14,2584100,0.0,1.0
24,2019-09-24,39.83,40.15,38.77,39.09,39.09,3187000,0.0,1.0
25,2019-09-23,39.36,39.91,38.86,39.69,39.69,5920600,0.0,1.0
26,2019-09-20,40.09,40.99,39.36,39.58,39.58,8686600,0.0,1.0
27,2019-09-19,40.63,40.95,39.94,40.0,40.0,2238400,0.0,1.0
28,2019-09-18,40.32,40.84,39.51,40.3,40.3,3042100,0.0,1.0
29,2019-09-17,40.51,40.51,39.51,40.44,40.44,2338200,0.0,1.0
30,2019-09-16,39.73,41.52,39.72,41.29,41.29,2915100,0.0,1.0
31,2019-09-13,39.51,40.39,39.39,39.88,39.88,3311100,0.0,1.0
32,2019-09-12,40.74,40.77,39.46,39.54,39.54,1987100,0.0,1.0
33,2019-09-11,40.1,40.43,39.52,40.43,40.43,2972600,0.0,1.0
34,2019-09-10,38.68,39.66,38.11,39.65,39.65,2894600,0.0,1.0
35,2019-09-09,39.65,39.91,38.6,38.91,38.91,3835800,0.0,1.0
36,2019-09-06,39.72,40.12,38.81,39.52,39.52,4709600,0.0,1.0
37,2019-09-05,38.66,40.03,37.94,39.62,39.62,12556200,0.0,1.0
38,2019-09-04,41.26,41.88,41.03,41.2,41.2,4402000,0.0,1.0
39,2019-09-03,40.78,41.06,40.39,40.73,40.73,3391200,0.0,1.0
40,2019-08-30,41.54,41.6,40.63,40.93,40.93,2220100,0.0,1.0
41,2019-08-29,41.76,42.47,40.79,41.27,41.27,2492600,0.0,1.0
42,2019-08-28,39.45,40.35,39.19,40.0,40.0,2469300,0.0,1.0
43,2019-08-27,40.6,40.75,39.35,39.53,39.53,1563900,0.0,1.0
44,2019-08-26,40.44,40.49,40.01,40.35,40.35,1363600,0.0,1.0
45,2019-08-23,41.08,41.38,39.88,40.01,40.01,1962200,0.0,1.0
46,2019-08-22,41.64,41.93,41.1,41.19,41.19,1680300,0.0,1.0
47,2019-08-21,41.9,42.13,41.5,41.52,41.52,1265500,0.0,1.0
48,2019-08-20,42.11,42.11,41.41,41.43,41.43,1025000,0.0,1.0
49,2019-08-19,41.87,42.47,41.56,42.11,42.11,1669200,0.0,1.0
50,2019-08-16,40.6,41.3,39.53,41.07,41.07,1382200,0.0,1.0
51,2019-08-15,41.11,41.3,39.53,40.07,40.07,2353400,0.0,1.0
52,2019-08-14,42.5,42.8,41.3391,41.68,41.68,1562200,0.0,1.0
53,2019-08-13,42.92,44.07,42.79,43.2,43.2,1880600,0.0,1.0
54,2019-08-12,43.23,43.7,42.86,43.07,43.07,1341600,0.0,1.0
55,2019-08-09,43.58,44.3719,43.57,43.65,43.65,1788800,0.0,1.0
56,2019-08-08,43.65,43.94,43.2235,43.88,43.88,1790200,0.0,1.0
57,2019-08-07,42.09,42.7,41.64,42.52,42.52,1650300,0.0,1.0
58,2019-08-06,41.7,42.75,41.49,42.67,42.67,1680900,0.0,1.0
59,2019-08-05,41.25,41.95,40.8,41.25,41.25,2461900,0.0,1.0
60,2019-08-02,43.98,43.99,42.55,42.81,42.81,1710100,0.0,1.0
61,2019-08-01,45.24,45.84,44.23,44.41,44.41,2168900,0.0,1.0
62,2019-07-31,45.66,46.01,44.76,45.22,45.22,1658500,0.0,1.0
63,2019-07-30,45.62,45.84,44.92,45.63,45.63,1178700,0.0,1.0
64,2019-07-29,46.21,46.78,45.73,45.95,45.95,1833700,0.0,1.0
65,2019-07-26,46.16,46.18,45.2,45.94,45.94,1812500,0.0,1.0
66,2019-07-25,45.1683,46.44,44.84,45.62,45.62,3608500,0.0,1.0
67,2019-07-24,43.64,45.0,43.52,44.92,44.92,1925700,0.0,1.0
68,2019-07-23,43.33,43.86,42.99,43.85,43.85,2151100,0.0,1.0
69,2019-07-22,43.37,43.49,42.95,43.06,43.06,1975200,0.0,1.0
70,2019-07-19,44.0,44.16,43.02,43.04,43.04,1651500,0.0,1.0
71,2019-07-18,44.12,44.14,43.4,43.87,43.87,1880700,0.0,1.0
72,2019-07-17,44.29,44.66,44.09,44.11,44.11,1783500,0.0,1.0
73,2019-07-16,44.39,44.7,44.13,44.36,44.36,1780500,0.0,1.0
74,2019-07-15,44.3,44.67,43.85,44.19,44.19,2513700,0.0,1.0
75,2019-07-12,44.19,44.71,44.04,44.08,44.08,1918100,0.0,1.0
76,2019-07-11,43.4,44.25,43.23,44.0,44.0,2894700,0.0,1.0
77,2019-07-10,43.51,43.96,43.0,43.12,43.12,2392100,0.0,1.0
78,2019-07-09,41.97,43.33,41.69,43.29,43.29,3341600,0.0,1.0
79,2019-07-08,42.76,42.84,41.98,42.09,42.09,2027100,0.0,1.0
80,2019-07-05,43.0,43.01,42.5415,42.99,42.99,1651400,0.0,1.0
81,2019-07-03,42.21,43.205,42.06,43.14,43.14,1579600,0.0,1.0
82,2019-07-02,42.0,42.64,41.84,42.21,42.21,3574800,0.0,1.0
83,2019-07-01,42.03,42.3,41.19,41.97,41.97,3957000,0.0,1.0
84,2019-06-28,41.58,41.83,41.02,41.13,41.13,19190400,0.0,1.0
85,2019-06-27,41.79,42.04,41.29,41.6,41.6,3713500,0.0,1.0
86,2019-06-26,42.36,42.722,41.66,41.68,41.68,2130700,0.0,1.0
87,2019-06-25,42.5,42.97,42.117,42.18,42.18,2117500,0.0,1.0
88,2019-06-24,43.64,43.71,42.68,42.74,42.74,1637200,0.0,1.0
89,2019-06-21,44.03,44.2167,43.345,43.52,43.52,3072000,0.0,1.0
90,2019-06-20,44.65,44.65,43.57,44.33,44.33,2610600,0.0,1.0
91,2019-06-19,44.33,44.83,43.54,44.06,44.06,1820400,0.0,1.0
92,2019-06-18,43.57,44.635,43.55,44.3,44.3,2835300,0.0,1.0
93,2019-06-17,42.63,43.605,42.34,43.3,43.3,2689100,0.0,1.0
94,2019-06-14,42.4,43.21,42.18,42.75,42.75,2311000,0.0,1.0
95,2019-06-13,43.13,43.255,42.37,42.47,42.47,2928700,0.0,1.0
96,2019-06-12,43.65,43.8934,42.9,43.01,43.01,2702300,0.0,1.0
97,2019-06-11,44.36,44.74,44.01,44.02,44.02,3393800,0.0,1.0
98,2019-06-10,45.5,45.93,43.93,44.09,44.09,4076900,0.0,1.0
99,2019-06-07,45.3,46.226,44.65,45.23,45.23,6272900,0.0,1.0
100,2019-06-06,42.56,45.57,40.93,45.49,45.49,17904100,0.0,1.0
101,2019-06-05,35.95,36.12,35.2384,35.88,35.88,3273200,0.0,1.0
102,2019-06-04,35.12,35.82,35.12,35.63,35.63,2391800,0.0,1.0
103,2019-06-03,35.04,35.12,34.51,34.72,34.72,2529900,0.0,1.0
104,2019-05-31,35.0,35.23,34.72,34.94,34.94,2008400,0.0,1.0
105,2019-05-30,35.17,35.63,35.13,35.47,35.47,1604800,0.0,1.0
106,2019-05-29,34.74,35.39,34.44,35.08,35.08,1773400,0.0,1.0
107,2019-05-28,35.24,35.45,34.91,35.06,35.06,2019900,0.0,1.0
108,2019-05-24,35.42,35.58,35.12,35.19,35.19,2093500,0.0,1.0
109,2019-05-23,34.82,35.39,34.73,35.33,35.33,2973800,0.0,1.0
110,2019-05-22,34.75,35.39,34.669,35.25,35.25,1726500,0.0,1.0
111,2019-05-21,34.92,35.29,34.75,34.86,34.86,2028200,0.0,1.0
112,2019-05-20,34.13,34.69,34.014,34.66,34.66,2017000,0.0,1.0
113,2019-05-17,33.56,35.06,33.5,34.61,34.61,4496400,0.0,1.0
114,2019-05-16,33.66,34.5,33.0806,34.04,34.04,4267500,0.0,1.0
115,2019-05-15,32.89,33.46,32.76,33.3,33.3,2263600,0.0,1.0
116,2019-05-14,33.37,33.5842,33.0,33.21,33.21,2069100,0.0,1.0
117,2019-05-13,34.24,34.42,33.06,33.18,33.18,3019800,0.0,1.0
118,2019-05-10,35.03,35.17,34.19,35.07,35.07,2561100,0.0,1.0
119,2019-05-09,35.35,35.515,34.55,35.22,35.22,3583000,0.0,1.0
120,2019-05-08,36.05,36.365,35.7763,36.15,36.15,2620300,0.0,1.0
121,2019-05-07,36.6,36.89,35.63,36.16,36.16,3034900,0.0,1.0
