,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,12.39,12.39,12.35,12.35,12.35,1747,0.0,1.0
1,2019-10-25,12.25,12.46,12.2,12.24,12.24,8800,0.0,1.0
2,2019-10-24,12.2,12.27,12.16,12.16,12.16,10700,0.0,1.0
3,2019-10-23,12.35,12.35,12.13,12.14,12.14,5800,0.0,1.0
4,2019-10-22,12.37,12.47,12.11,12.26,12.26,7600,0.0,1.0
5,2019-10-21,12.13,12.52,12.13,12.31,12.31,15800,0.0,1.0
6,2019-10-18,12.07,12.16,11.72,11.9,11.9,8200,0.0,1.0
7,2019-10-17,12.2,12.27,12.11,12.16,12.16,6700,0.0,1.0
8,2019-10-16,12.33,12.35,12.09,12.2,12.2,14800,0.0,1.0
9,2019-10-15,11.96,12.35,11.96,12.2,12.2,22800,0.0,1.0
10,2019-10-14,11.7,12.2,11.7,12.09,12.09,3800,0.0,1.0
11,2019-10-11,12.12,12.77,11.84,12.32,12.32,23500,0.0,1.0
12,2019-10-10,11.85,11.88,11.41,11.86,11.86,7700,0.0,1.0
13,2019-10-09,11.96,12.05,11.2,11.75,11.75,5300,0.0,1.0
14,2019-10-08,11.93,11.96,11.63,11.82,11.82,6500,0.0,1.0
15,2019-10-07,11.8,12.08,11.8,12.04,12.04,16100,0.0,1.0
16,2019-10-04,11.78,11.85,11.35,11.79,11.79,14800,0.0,1.0
17,2019-10-03,11.57,11.84,11.46,11.6,11.6,5800,0.0,1.0
18,2019-10-02,11.45,11.8,11.3,11.69,11.69,10400,0.0,1.0
19,2019-10-01,12.03,12.03,11.38,11.54,11.54,21400,0.0,1.0
20,2019-09-30,12.24,12.27,11.78,11.85,11.85,17500,0.0,1.0
21,2019-09-27,12.18,12.34,11.81,12.14,12.14,37200,0.0,1.0
22,2019-09-26,12.21,12.45,12.12,12.18,12.18,16700,0.0,1.0
23,2019-09-25,11.65,12.41,11.51,12.35,12.35,21100,0.0,1.0
24,2019-09-24,12.21,12.37,11.73,11.75,11.75,12200,0.0,1.0
25,2019-09-23,12.02,12.44,12.02,12.29,12.29,8400,0.0,1.0
26,2019-09-20,12.34,12.5,12.13,12.26,12.26,35300,0.0,1.0
27,2019-09-19,12.43,12.71,11.85,12.34,12.34,12500,0.0,1.0
28,2019-09-18,12.51,12.67,12.19,12.27,12.27,14500,0.0,1.0
29,2019-09-17,12.6,12.78,12.43,12.44,12.44,16200,0.0,1.0
30,2019-09-16,12.65,12.98,12.33,12.61,12.61,18900,0.0,1.0
31,2019-09-13,12.51,12.89,12.34,12.7,12.7,20600,0.0,1.0
32,2019-09-12,12.28,12.47,12.15,12.47,12.47,15100,0.0,1.0
33,2019-09-11,12.24,12.44,12.1,12.22,12.22,29000,0.0,1.0
34,2019-09-10,11.34,12.17,11.27,12.07,12.07,32500,0.0,1.0
35,2019-09-09,10.36,11.5,10.32,11.3,11.3,57000,0.0,1.0
36,2019-09-06,10.55,10.82,10.05,10.31,10.31,107500,0.0,1.0
37,2019-09-05,10.77,11.07,10.4,10.5,10.5,71000,0.0,1.0
38,2019-09-04,10.6,10.86,10.49,10.6,10.6,13800,0.0,1.0
39,2019-09-03,10.64,10.65,10.38,10.4,10.4,15200,0.0,1.0
40,2019-08-30,10.65,10.8,10.51,10.69,10.69,86500,0.0,1.0
41,2019-08-29,10.86,11.1,10.63,10.66,10.66,39900,0.0,1.0
42,2019-08-28,10.73,11.2,10.65,10.77,10.77,22800,0.0,1.0
43,2019-08-27,11.5,11.57,10.98,11.06,11.06,13100,0.0,1.0
44,2019-08-26,10.95,11.51,10.86,11.45,11.45,15200,0.0,1.0
45,2019-08-23,11.21,11.43,10.64,10.75,10.75,22200,0.0,1.0
46,2019-08-22,11.6,11.72,11.31,11.49,11.49,13100,0.0,1.0
47,2019-08-21,11.23,11.94,11.23,11.55,11.55,27300,0.0,1.0
48,2019-08-20,10.82,11.25,10.78,11.04,11.04,15900,0.0,1.0
49,2019-08-19,10.93,11.66,10.54,10.89,10.89,21000,0.0,1.0
50,2019-08-16,10.88,11.21,10.57,10.88,10.88,47200,0.0,1.0
51,2019-08-15,11.25,11.85,10.15,10.81,10.81,92200,0.0,1.0
52,2019-08-14,12.15,12.43,11.5,11.65,11.65,16800,0.0,1.0
53,2019-08-13,12.049,12.42,11.892,12.39,12.39,4200,0.0,1.0
54,2019-08-12,12.21,12.22,11.8091,12.105,12.11,8700,0.0,1.0
55,2019-08-09,12.5,12.6,12.1,12.17,12.17,9900,0.0,1.0
