,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,1.09,1.1,1.0465,1.07,1.07,7621,0.0,1.0
1,2019-10-25,1.1,1.1,1.0,1.1,1.1,51100,0.0,1.0
2,2019-10-24,1.1,1.13,0.97,1.09,1.09,144200,0.0,1.0
3,2019-10-23,1.15,1.2,1.07,1.07,1.07,67500,0.0,1.0
4,2019-10-22,1.13,1.2,1.07,1.16,1.16,127200,0.0,1.0
5,2019-10-21,1.24,1.25,1.06,1.12,1.12,404400,0.0,1.0
6,2019-10-18,1.35,1.42,1.06,1.27,1.27,3689000,0.0,1.0
7,2019-10-17,1.09,1.1,1.0,1.05,1.05,64500,0.0,1.0
8,2019-10-16,1.14,1.15,1.06,1.06,1.06,31500,0.0,1.0
9,2019-10-15,1.17,1.17,1.1,1.12,1.12,5300,0.0,1.0
10,2019-10-14,1.14,1.19,1.14,1.17,1.17,2700,0.0,1.0
11,2019-10-11,1.1,1.1,1.09,1.1,1.1,9300,0.0,1.0
12,2019-10-10,1.08,1.14,1.08,1.1,1.1,2000,0.0,1.0
13,2019-10-09,1.1,1.12,1.08,1.08,1.08,41400,0.0,1.0
14,2019-10-08,1.08,1.13,1.08,1.13,1.13,4300,0.0,1.0
15,2019-10-07,1.13,1.13,1.08,1.09,1.09,13100,0.0,1.0
16,2019-10-04,1.23,1.23,1.08,1.12,1.12,10400,0.0,1.0
17,2019-10-03,1.15,1.3,1.08,1.12,1.12,211700,0.0,1.0
18,2019-10-02,1.15,1.24,1.09,1.12,1.12,25600,0.0,1.0
19,2019-10-01,1.24,1.24,1.17,1.21,1.21,20500,0.0,1.0
20,2019-09-30,1.21,1.23,1.15,1.23,1.23,1500,0.0,1.0
21,2019-09-27,1.22,1.24,1.06,1.15,1.15,51000,0.0,1.0
22,2019-09-26,1.25,1.26,1.23,1.24,1.24,4000,0.0,1.0
23,2019-09-25,1.25,1.27,1.23,1.23,1.23,34600,0.0,1.0
24,2019-09-24,1.22,1.25,1.22,1.24,1.24,4700,0.0,1.0
25,2019-09-23,1.21,1.25,1.21,1.24,1.24,3600,0.0,1.0
26,2019-09-20,1.22,1.26,1.15,1.21,1.21,21900,0.0,1.0
27,2019-09-19,1.21,1.25,1.18,1.25,1.25,27800,0.0,1.0
28,2019-09-18,1.23,1.27,1.2,1.21,1.21,12400,0.0,1.0
29,2019-09-17,1.2,1.3,1.2,1.21,1.21,14500,0.0,1.0
30,2019-09-16,1.2,1.27,1.2,1.27,1.27,14100,0.0,1.0
31,2019-09-13,1.23,1.26,1.2,1.22,1.22,9900,0.0,1.0
32,2019-09-12,1.23,1.27,1.23,1.23,1.23,13800,0.0,1.0
33,2019-09-11,1.25,1.4,1.2,1.25,1.25,73700,0.0,1.0
34,2019-09-10,1.2,1.2,1.18,1.18,1.18,5500,0.0,1.0
35,2019-09-09,1.2,1.26,1.2,1.21,1.21,23000,0.0,1.0
