,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,7.01,7.01,6.94,6.94,6.94,480,0.0,1.0
1,2019-10-25,6.9,7.07,6.9,7.01,7.01,9500,0.0,1.0
2,2019-10-24,7.0,7.039,6.99,6.99,6.99,3100,0.0,1.0
3,2019-10-23,7.0,7.239,6.98,7.06,7.06,11000,0.0,1.0
4,2019-10-22,6.95,7.04,6.94,6.97,6.97,7800,0.0,1.0
5,2019-10-21,6.984,7.09,6.86,6.93,6.93,12800,0.0,1.0
6,2019-10-18,7.25,7.3,6.85,6.9,6.9,30000,0.0,1.0
7,2019-10-17,7.26,7.39,6.9,7.25,7.25,23500,0.0,1.0
8,2019-10-16,6.88,7.21,6.88,6.99,6.99,16200,0.0,1.0
9,2019-10-15,6.42,7.04,6.42,6.92,6.92,13800,0.0,1.0
10,2019-10-14,6.96,7.25,6.92,7.0,7.0,12100,0.0,1.0
11,2019-10-11,6.76,7.11,6.663,6.88,6.88,13700,0.0,1.0
12,2019-10-10,6.7,7.054,6.59,6.68,6.68,12200,0.0,1.0
13,2019-10-09,7.244,7.3,5.66,6.73,6.73,53900,0.0,1.0
14,2019-10-08,7.33,7.59,7.12,7.36,7.36,8100,0.0,1.0
15,2019-10-07,7.51,7.51,7.26,7.33,7.33,8000,0.0,1.0
16,2019-10-04,7.29,7.3,7.23,7.26,7.26,800,0.0,1.0
17,2019-10-03,7.33,7.72,7.25,7.41,7.41,14000,0.0,1.0
18,2019-10-02,7.1,7.5,7.0,7.25,7.25,13800,0.0,1.0
19,2019-10-01,7.48,7.6,7.0,7.1,7.1,21900,0.0,1.0
20,2019-09-30,7.69,7.85,7.57,7.58,7.58,12000,0.0,1.0
21,2019-09-27,7.46,7.75,7.33,7.57,7.57,11400,0.0,1.0
22,2019-09-26,7.42,7.63,7.32,7.32,7.32,17100,0.0,1.0
23,2019-09-25,7.31,7.45,7.26,7.42,7.42,20200,0.0,1.0
24,2019-09-24,7.29,7.44,7.02,7.24,7.24,14700,0.0,1.0
25,2019-09-23,7.27,7.437,7.18,7.26,7.26,10400,0.0,1.0
26,2019-09-20,7.25,7.36,7.09,7.351,7.351,2700,0.0,1.0
27,2019-09-19,7.13,7.3,7.13,7.253,7.253,2100,0.0,1.0
28,2019-09-18,7.31,7.35,7.1,7.1,7.1,2800,0.0,1.0
29,2019-09-17,6.97,7.4,6.88,7.4,7.4,9800,0.0,1.0
30,2019-09-16,6.63,7.05,6.6,6.99,6.99,18400,0.0,1.0
31,2019-09-13,7.1,7.27,6.65,6.65,6.65,22100,0.0,1.0
32,2019-09-12,7.2,7.2,6.98,7.2,7.2,9100,0.0,1.0
33,2019-09-11,6.23,7.55,6.2,7.269,7.269,175400,0.0,1.0
34,2019-09-10,5.44,6.2,5.266,5.88,5.88,14900,0.0,1.0
35,2019-09-09,5.65,5.65,5.07,5.24,5.24,10300,0.0,1.0
36,2019-09-06,5.66,5.93,5.5,5.65,5.65,28600,0.0,1.0
37,2019-09-05,4.38,5.955,4.16,5.462,5.462,41100,0.0,1.0
38,2019-09-04,4.05,4.47,4.02,4.35,4.35,27900,0.0,1.0
39,2019-09-03,4.05,4.06,3.68,3.68,3.68,5500,0.0,1.0
40,2019-08-30,4.07,4.15,3.93,4.05,4.05,5900,0.0,1.0
41,2019-08-29,4.38,4.38,3.74,3.921,3.921,14200,0.0,1.0
42,2019-08-28,4.36,4.39,4.36,4.38,4.38,1100,0.0,1.0
43,2019-08-27,4.7,4.7,4.457,4.509,4.509,2100,0.0,1.0
44,2019-08-26,4.748,4.75,4.591,4.69,4.69,500,0.0,1.0
45,2019-08-23,4.66,4.758,4.629,4.635,4.635,3400,0.0,1.0
46,2019-08-22,4.91,4.91,4.66,4.777,4.777,1500,0.0,1.0
47,2019-08-21,5.3,5.3,4.67,4.73,4.73,4200,0.0,1.0
