,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,160.07,160.125,159.6189,159.63,159.63,150784,0.0,1.0
1,2019-10-25,160.85,161.06,160.21,160.34,160.34,332800,0.0,1.0
2,2019-10-24,161.5,162.23,161.17,161.75,161.75,248600,0.0,1.0
3,2019-10-23,160.58,161.55,160.55,161.03,161.03,270000,0.0,1.0
4,2019-10-22,161.37,162.24,160.71,160.95,160.95,256600,0.0,1.0
5,2019-10-21,161.5,161.94,160.78,160.87,160.87,270100,0.0,1.0
6,2019-10-18,161.65,162.25,161.03,161.63,161.63,334500,0.0,1.0
7,2019-10-17,161.61,162.98,161.5,162.65,162.65,398800,0.0,1.0
8,2019-10-16,162.22,163.18,161.92,162.98,162.98,260300,0.0,1.0
9,2019-10-15,161.67,162.91,161.43,162.24,162.24,660700,0.0,1.0
10,2019-10-14,162.14,163.58,162.14,162.99,162.99,450600,0.0,1.0
11,2019-10-11,162.38,164.07,162.04,163.3,163.3,634300,0.0,1.0
12,2019-10-10,162.94,164.53,162.85,164.1,164.1,276400,0.0,1.0
13,2019-10-09,163.95,165.0,163.76,164.76,164.76,396500,0.0,1.0
14,2019-10-08,163.08,163.63,162.26,162.69,162.69,543300,0.0,1.0
15,2019-10-07,163.58,165.01,163.34,163.85,163.85,558800,0.0,1.0
16,2019-10-04,161.01,163.32,161.01,163.32,163.32,333200,0.0,1.0
17,2019-10-03,161.09,162.86,160.58,162.52,162.52,462000,0.0,1.0
18,2019-10-02,159.52,160.03,157.81,158.28,158.28,478800,0.0,1.0
19,2019-10-01,162.33,163.6,161.63,163.4,163.4,325100,0.0,1.0
20,2019-09-30,164.0,165.11,163.44,163.52,163.52,309800,0.0,1.0
21,2019-09-27,163.28,163.43,161.92,162.57,162.57,334500,0.0,1.0
22,2019-09-26,162.0,162.93,161.9,162.43,162.43,320400,0.0,1.0
23,2019-09-25,160.89,161.24,160.02,160.78,160.78,457000,0.0,1.0
24,2019-09-24,161.95,162.83,161.91,162.27,162.27,277200,0.0,1.0
25,2019-09-23,162.05,162.34,161.6,161.98,161.98,319800,0.0,1.0
26,2019-09-20,162.64,162.96,161.19,161.41,161.41,509200,0.0,1.0
