,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,3.06,3.08,3.05,3.0512,3.0512,187766,0.0,1.0
1,2019-10-25,3.07,3.08,3.06,3.08,3.08,150900,0.0,1.0
2,2019-10-24,3.05,3.07,3.05,3.07,3.07,159500,0.0,1.0
3,2019-10-23,3.06,3.06,3.05,3.06,3.06,131200,0.0,1.0
4,2019-10-22,3.05,3.06,3.05,3.06,3.06,135400,0.0,1.0
5,2019-10-21,3.04,3.05,3.04,3.04,3.04,73400,0.0,1.0
6,2019-10-18,3.05,3.05,3.04,3.04,3.04,68200,0.0,1.0
7,2019-10-17,3.05,3.05,3.04,3.05,3.05,120700,0.0,1.0
8,2019-10-16,3.05,3.05,3.03,3.04,3.04,130300,0.0,1.0
9,2019-10-15,3.05,3.06,3.04,3.05,3.05,143100,0.0,1.0
10,2019-10-14,3.02,3.06,3.02,3.04,3.04,267800,0.0,1.0
11,2019-10-11,3.03,3.04,3.02,3.03,3.03,94000,0.0,1.0
12,2019-10-10,3.03,3.03,3.01,3.02,3.02,142900,0.0,1.0
13,2019-10-09,3.03,3.04,3.02,3.02,3.02,155900,0.0,1.0
14,2019-10-08,3.03,3.04,3.02,3.03,3.03,202300,0.022,1.0
15,2019-10-07,3.03,3.04,3.03,3.04,3.018,191500,0.0,1.0
16,2019-10-04,3.04,3.05,3.03,3.03,3.0081,198300,0.0,1.0
17,2019-10-03,3.05,3.06,3.03,3.04,3.018,345800,0.0,1.0
18,2019-10-02,3.06,3.07,3.05,3.05,3.0279,173300,0.0,1.0
19,2019-10-01,3.07,3.07,3.06,3.07,3.0478,109700,0.0,1.0
20,2019-09-30,3.07,3.08,3.06,3.06,3.0379,110100,0.0,1.0
21,2019-09-27,3.07,3.08,3.07,3.07,3.0478,86300,0.0,1.0
22,2019-09-26,3.1,3.1,3.07,3.08,3.0577,203500,0.0,1.0
23,2019-09-25,3.08,3.1,3.08,3.1,3.0776,201300,0.0,1.0
24,2019-09-24,3.08,3.09,3.06,3.08,3.0577,207900,0.0,1.0
25,2019-09-23,3.07,3.08,3.06,3.07,3.0478,152800,0.0,1.0
26,2019-09-20,3.07,3.09,3.06,3.08,3.0577,154400,0.0,1.0
27,2019-09-19,3.07,3.09,3.06,3.06,3.0379,156200,0.0,1.0
28,2019-09-18,3.07,3.09,3.07,3.07,3.0478,211000,0.0,1.0
29,2019-09-17,3.08,3.08,3.06,3.08,3.0577,199300,0.0,1.0
30,2019-09-16,3.06,3.08,3.06,3.08,3.0577,101300,0.0,1.0
31,2019-09-13,3.06,3.09,3.06,3.06,3.0379,135800,0.0,1.0
32,2019-09-12,3.08,3.08,3.07,3.07,3.0478,108700,0.0,1.0
33,2019-09-11,3.06,3.09,3.06,3.09,3.0676,138900,0.0,1.0
34,2019-09-10,3.07,3.07,3.05,3.07,3.0478,117900,0.0,1.0
35,2019-09-09,3.05,3.07,3.05,3.07,3.0478,98500,0.022,1.0
36,2019-09-06,3.07,3.08,3.06,3.07,3.0259,196900,0.0,1.0
37,2019-09-05,3.07,3.08,3.06,3.06,3.0161,229300,0.0,1.0
38,2019-09-04,3.06,3.07,3.05,3.07,3.0259,150600,0.0,1.0
39,2019-09-03,3.04,3.06,3.03,3.06,3.0161,224100,0.0,1.0
40,2019-08-30,3.04,3.06,3.04,3.04,2.9964,93400,0.0,1.0
41,2019-08-29,3.05,3.06,3.04,3.05,3.0062,84000,0.0,1.0
42,2019-08-28,3.05,3.06,3.04,3.04,2.9964,82900,0.0,1.0
43,2019-08-27,3.06,3.06,3.05,3.06,3.0161,99300,0.0,1.0
44,2019-08-26,3.08,3.08,3.04,3.05,3.0062,187000,0.0,1.0
45,2019-08-23,3.06,3.08,3.06,3.08,3.0358,178000,0.0,1.0
46,2019-08-22,3.06,3.07,3.05,3.07,3.0259,167600,0.0,1.0
47,2019-08-21,3.03,3.05,3.03,3.05,3.0062,55900,0.0,1.0
48,2019-08-20,3.01,3.04,3.01,3.04,2.9964,81200,0.0,1.0
49,2019-08-19,3.02,3.03,3.01,3.01,2.9668,182600,0.0,1.0
50,2019-08-16,3.04,3.04,3.01,3.01,2.9668,150100,0.0,1.0
51,2019-08-15,3.0298,3.03,3.02,3.03,2.9865,111300,0.0,1.0
52,2019-08-14,3.05,3.06,3.0099,3.02,2.9767,213000,0.0,1.0
53,2019-08-13,3.06,3.069,3.05,3.05,3.0062,69300,0.0,1.0
54,2019-08-12,3.06,3.065,3.0301,3.06,3.0161,164600,0.0,1.0
55,2019-08-09,3.05,3.0698,3.05,3.06,3.0161,53700,0.0,1.0
56,2019-08-08,3.05,3.07,3.05,3.06,3.0161,141800,0.0,1.0
57,2019-08-07,3.06,3.06,3.05,3.05,3.0062,105000,0.022,1.0
58,2019-08-06,3.08,3.09,3.07,3.09,3.024,182900,0.0,1.0
59,2019-08-05,3.08,3.08,3.06,3.08,3.0142,469800,0.0,1.0
60,2019-08-02,3.08,3.09,3.08,3.08,3.0142,151600,0.0,1.0
61,2019-08-01,3.08,3.09,3.08,3.09,3.024,88400,0.0,1.0
62,2019-07-31,3.09,3.0901,3.08,3.08,3.0142,121900,0.0,1.0
63,2019-07-30,3.09,3.1,3.08,3.09,3.024,118200,0.0,1.0
64,2019-07-29,3.08,3.09,3.0799,3.09,3.024,125400,0.0,1.0
65,2019-07-26,3.08,3.09,3.08,3.08,3.0142,141800,0.0,1.0
66,2019-07-25,3.09,3.1,3.08,3.08,3.0142,165400,0.0,1.0
67,2019-07-24,3.08,3.1,3.07,3.1,3.0338,220600,0.0,1.0
68,2019-07-23,3.07,3.09,3.07,3.07,3.0044,177100,0.0,1.0
69,2019-07-22,3.07,3.08,3.07,3.08,3.0142,90000,0.0,1.0
70,2019-07-19,3.08,3.08,3.07,3.07,3.0044,95000,0.0,1.0
71,2019-07-18,3.07,3.08,3.07,3.08,3.0142,56600,0.0,1.0
72,2019-07-17,3.07,3.08,3.06,3.07,3.0044,73500,0.0,1.0
73,2019-07-16,3.06,3.0803,3.06,3.08,3.0142,89900,0.0,1.0
74,2019-07-15,3.06,3.07,3.06,3.06,2.9946,116200,0.0,1.0
75,2019-07-12,3.06,3.08,3.06,3.06,2.9946,232300,0.0,1.0
76,2019-07-11,3.07,3.08,3.0599,3.07,3.0044,148900,0.0,1.0
77,2019-07-10,3.06,3.07,3.06,3.07,3.0044,109900,0.0,1.0
78,2019-07-09,3.07,3.07,3.04,3.06,2.9946,174500,0.022,1.0
79,2019-07-08,3.0902,3.09,3.07,3.08,2.9927,191300,0.0,1.0
80,2019-07-05,3.09,3.1,3.0798,3.09,3.0024,194400,0.0,1.0
81,2019-07-03,3.08,3.1,3.08,3.1,3.0121,197600,0.0,1.0
82,2019-07-02,3.07,3.1,3.06,3.08,2.9927,391900,0.0,1.0
83,2019-07-01,3.07,3.08,3.06,3.08,2.9927,191000,0.0,1.0
84,2019-06-28,3.05,3.06,3.04,3.06,2.9732,117000,0.0,1.0
85,2019-06-27,3.0501,3.06,3.04,3.05,2.9635,238700,0.0,1.0
86,2019-06-26,3.04,3.06,3.04,3.06,2.9732,110200,0.0,1.0
87,2019-06-25,3.05,3.0602,3.04,3.04,2.9538,192100,0.0,1.0
88,2019-06-24,3.06,3.07,3.04,3.07,2.9829,211300,0.0,1.0
89,2019-06-21,3.05,3.06,3.04,3.05,2.9635,114000,0.0,1.0
90,2019-06-20,3.06,3.07,3.06,3.06,2.9732,103800,0.0,1.0
91,2019-06-19,3.05,3.06,3.05,3.05,2.9635,63400,0.0,1.0
92,2019-06-18,3.04,3.06,3.04,3.05,2.9635,145000,0.0,1.0
93,2019-06-17,3.04,3.04,3.02,3.04,2.9538,203200,0.0,1.0
94,2019-06-14,3.0297,3.04,3.03,3.03,2.9441,37700,0.0,1.0
95,2019-06-13,3.02,3.04,3.02,3.03,2.9441,95400,0.0,1.0
96,2019-06-12,3.03,3.04,3.02,3.03,2.9441,149800,0.0,1.0
97,2019-06-11,3.0199,3.04,3.02,3.03,2.9441,102800,0.0,1.0
98,2019-06-10,3.01,3.04,2.9999,3.01,2.9246,143400,0.0,1.0
99,2019-06-07,3.01,3.02,3.0,3.01,2.9246,134900,0.022,1.0
100,2019-06-06,3.02,3.03,3.01,3.03,2.9227,129200,0.0,1.0
101,2019-06-05,3.0098,3.03,2.99,3.03,2.9227,172300,0.0,1.0
102,2019-06-04,2.98,3.0,2.97,2.99,2.8841,134600,0.0,1.0
