,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,17.78,17.82,17.71,17.72,17.72,23957,0.0,1.0
1,2019-10-25,17.61,17.73,17.6,17.7,17.7,46200,0.0,1.0
2,2019-10-24,17.7,17.7,17.6,17.63,17.63,46300,0.0,1.0
3,2019-10-23,17.62,17.74,17.56,17.66,17.66,73300,0.0,1.0
4,2019-10-22,17.61,17.7,17.58,17.62,17.62,61600,0.0,1.0
5,2019-10-21,17.51,17.57,17.51,17.57,17.57,40200,0.0,1.0
6,2019-10-18,17.5,17.56,17.47,17.47,17.47,61600,0.0,1.0
7,2019-10-17,17.65,17.68,17.56,17.6,17.6,63700,0.0,1.0
8,2019-10-16,17.59,17.65,17.51,17.59,17.59,63400,0.0,1.0
9,2019-10-15,17.55,17.72,17.55,17.59,17.59,103600,0.0,1.0
10,2019-10-14,17.61,17.64,17.55,17.55,17.55,65700,0.0,1.0
11,2019-10-11,17.58,17.75,17.58,17.62,17.62,76900,0.0,1.0
12,2019-10-10,17.5,17.55,17.44,17.48,17.48,53400,0.0,1.0
13,2019-10-09,17.4,17.5,17.37,17.44,17.44,64900,0.0,1.0
14,2019-10-08,17.4,17.43,17.3,17.38,17.38,52600,0.0,1.0
15,2019-10-07,17.47,17.52,17.42,17.44,17.44,109400,0.0,1.0
16,2019-10-04,17.42,17.52,17.35,17.48,17.48,56800,0.0,1.0
17,2019-10-03,17.35,17.44,17.23,17.37,17.37,86200,0.0,1.0
18,2019-10-02,17.62,17.65,17.29,17.37,17.37,129200,0.0,1.0
19,2019-10-01,17.9,17.97,17.7,17.72,17.72,84700,0.0,1.0
20,2019-09-30,17.91,17.94,17.81,17.82,17.82,108800,0.0,1.0
21,2019-09-27,17.94,17.96,17.77,17.86,17.86,63200,0.0,1.0
22,2019-09-26,17.96,17.96,17.85,17.88,17.88,47300,0.0,1.0
23,2019-09-25,17.92,17.93,17.84,17.9,17.9,52800,0.0,1.0
24,2019-09-24,18.03,18.03,17.85,17.9,17.9,66100,0.0,1.0
25,2019-09-23,18.05,18.05,17.91,17.99,17.99,70900,0.0,1.0
26,2019-09-20,18.11,18.14,18.0,18.09,18.09,81900,0.0,1.0
27,2019-09-19,18.02,18.14,18.02,18.06,18.06,54400,0.0,1.0
28,2019-09-18,18.0,18.05,17.93,18.0,18.0,50400,0.0,1.0
29,2019-09-17,17.96,18.08,17.95,18.03,18.03,43700,0.0,1.0
30,2019-09-16,18.2,18.2,18.05,18.1,18.1,71200,0.0,1.0
31,2019-09-13,18.2,18.22,18.13,18.18,18.18,68400,0.0,1.0
32,2019-09-12,18.1,18.3,18.08,18.2,18.2,71100,0.295,1.0
33,2019-09-11,18.35,18.41,18.31,18.41,18.115,91600,0.0,1.0
34,2019-09-10,18.26,18.3,18.15,18.3,18.0068,89400,0.0,1.0
