,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,41.29,42.02,40.49,42.02,42.02,22265,0.0,1.0
1,2019-10-25,39.37,41.56,38.042,40.99,40.99,107100,0.0,1.0
2,2019-10-24,39.83,40.27,38.75,39.43,39.43,90900,0.0,1.0
3,2019-10-23,39.4,40.485,37.9,39.54,39.54,73200,0.0,1.0
4,2019-10-22,39.66,40.57,38.07,39.32,39.32,87800,0.0,1.0
5,2019-10-21,36.4,41.19,35.85,39.39,39.39,209400,0.0,1.0
6,2019-10-18,35.29,36.59,34.62,36.29,36.29,133200,0.0,1.0
7,2019-10-17,35.65,36.304,34.95,35.48,35.48,241700,0.0,1.0
8,2019-10-16,36.19,36.255,35.3,35.42,35.42,107900,0.0,1.0
9,2019-10-15,36.83,36.84,35.6,36.23,36.23,117200,0.0,1.0
10,2019-10-14,38.08,38.29,35.26,36.75,36.75,236700,0.0,1.0
11,2019-10-11,37.74,39.695,37.74,38.58,38.58,149200,0.0,1.0
12,2019-10-10,36.4,37.96,35.991,37.42,37.42,98200,0.0,1.0
13,2019-10-09,36.92,37.588,36.24,36.43,36.43,92200,0.0,1.0
14,2019-10-08,38.43,38.43,36.121,36.7,36.7,95700,0.0,1.0
15,2019-10-07,40.81,40.86,38.37,38.93,38.93,154200,0.0,1.0
16,2019-10-04,39.18,42.74,39.05,40.87,40.87,248700,0.0,1.0
17,2019-10-03,36.01,38.98,35.4,38.72,38.72,272400,0.0,1.0
18,2019-10-02,34.67,37.08,34.29,36.1,36.1,216000,0.0,1.0
19,2019-10-01,36.34,36.852,33.34,34.66,34.66,291600,0.0,1.0
20,2019-09-30,36.79,37.48,35.27,35.97,35.97,323200,0.0,1.0
21,2019-09-27,37.91,38.585,36.5,36.64,36.64,117100,0.0,1.0
22,2019-09-26,38.39,38.96,36.7,37.7,37.7,123100,0.0,1.0
23,2019-09-25,38.77,39.19,37.76,38.39,38.39,161100,0.0,1.0
24,2019-09-24,39.92,39.92,37.15,38.77,38.77,178900,0.0,1.0
25,2019-09-23,40.86,42.035,38.75,39.58,39.58,133400,0.0,1.0
26,2019-09-20,43.45,44.18,41.01,41.29,41.29,249400,0.0,1.0
27,2019-09-19,49.34,49.719,43.29,43.58,43.58,218800,0.0,1.0
28,2019-09-18,47.57,49.295,46.695,48.78,48.78,174400,0.0,1.0
29,2019-09-17,46.15,48.92,45.333,47.46,47.46,184100,0.0,1.0
30,2019-09-16,45.29,46.43,45.23,45.97,45.97,184000,0.0,1.0
31,2019-09-13,46.21,47.58,43.52,45.0,45.0,223700,0.0,1.0
32,2019-09-12,44.57,46.99,44.4,45.53,45.53,364400,0.0,1.0
33,2019-09-11,43.77,45.0,42.5,44.3,44.3,181900,0.0,1.0
34,2019-09-10,42.24,44.04,41.75,43.48,43.48,195800,0.0,1.0
35,2019-09-09,42.06,43.25,41.26,42.24,42.24,116700,0.0,1.0
36,2019-09-06,42.0,43.04,41.22,41.91,41.91,121200,0.0,1.0
37,2019-09-05,41.91,42.27,41.54,41.96,41.96,103800,0.0,1.0
38,2019-09-04,42.27,42.72,40.99,41.7,41.7,119800,0.0,1.0
39,2019-09-03,41.35,43.48,41.031,41.93,41.93,105600,0.0,1.0
40,2019-08-30,40.85,42.45,39.87,41.81,41.81,82400,0.0,1.0
41,2019-08-29,43.75,45.63,39.55,40.71,40.71,204700,0.0,1.0
42,2019-08-28,45.17,45.565,43.02,43.46,43.46,87700,0.0,1.0
43,2019-08-27,43.3,45.36,42.965,45.02,45.02,128200,0.0,1.0
44,2019-08-26,43.71,44.28,42.09,42.91,42.91,69900,0.0,1.0
45,2019-08-23,45.81,45.98,42.58,43.02,43.02,105100,0.0,1.0
46,2019-08-22,42.86,46.445,42.86,45.99,45.99,219400,0.0,1.0
47,2019-08-21,45.0,45.0,40.8,42.67,42.67,149300,0.0,1.0
48,2019-08-20,43.95,45.0,43.35,45.0,45.0,189100,0.0,1.0
49,2019-08-19,39.5,45.0,39.01,43.77,43.77,379300,0.0,1.0
50,2019-08-16,39.3,39.98,38.64,39.3,39.3,116000,0.0,1.0
51,2019-08-15,37.6599,39.68,37.66,38.93,38.93,148300,0.0,1.0
52,2019-08-14,36.38,39.02,36.18,38.19,38.19,168900,0.0,1.0
53,2019-08-13,37.3,38.98,37.05,37.8,37.8,267300,0.0,1.0
54,2019-08-12,34.86,38.26,34.86,37.32,37.32,209300,0.0,1.0
55,2019-08-09,35.0,38.0,35.0,35.17,35.17,603700,0.0,1.0
56,2019-08-08,31.94,32.96,31.34,32.06,32.06,76300,0.0,1.0
57,2019-08-07,30.2,32.39,29.14,31.68,31.68,147300,0.0,1.0
58,2019-08-06,29.79,31.345,28.73,29.91,29.91,137800,0.0,1.0
59,2019-08-05,31.72,32.789,28.0,29.65,29.65,223700,0.0,1.0
60,2019-08-02,33.48,34.405,31.02,32.4,32.4,149500,0.0,1.0
61,2019-08-01,32.62,35.24,32.62,34.73,34.73,151700,0.0,1.0
62,2019-07-31,34.15,36.197,32.22,32.58,32.58,189100,0.0,1.0
63,2019-07-30,33.44,34.32,33.19,34.14,34.14,128900,0.0,1.0
64,2019-07-29,33.5,34.52,33.11,33.51,33.51,113300,0.0,1.0
65,2019-07-26,35.74,36.41,32.69,33.46,33.46,182400,0.0,1.0
66,2019-07-25,38.35,38.4,35.14,35.5,35.5,158900,0.0,1.0
67,2019-07-24,36.5,38.904,36.2,38.39,38.39,102000,0.0,1.0
68,2019-07-23,36.76,36.854,35.29,36.55,36.55,146500,0.0,1.0
69,2019-07-22,35.929,36.65,35.06,36.53,36.53,187500,0.0,1.0
70,2019-07-19,35.88,36.57,34.57,34.85,34.85,126200,0.0,1.0
71,2019-07-18,38.99,38.99,34.59,36.33,36.33,263400,0.0,1.0
72,2019-07-17,40.72,41.35,38.4,39.14,39.14,245600,0.0,1.0
73,2019-07-16,40.2326,40.75,39.88,40.75,40.75,156100,0.0,1.0
74,2019-07-15,40.0,40.75,39.408,40.23,40.23,135200,0.0,1.0
75,2019-07-12,39.9,40.51,39.28,39.97,39.97,111900,0.0,1.0
76,2019-07-11,39.89,40.523,38.78,39.82,39.82,135900,0.0,1.0
77,2019-07-10,39.5,40.48,38.47,39.97,39.97,258000,0.0,1.0
78,2019-07-09,36.81,39.95,36.8128,39.17,39.17,397900,0.0,1.0
79,2019-07-08,36.74,37.59,35.23,36.51,36.51,164200,0.0,1.0
80,2019-07-05,36.09,37.37,34.39,36.62,36.62,176800,0.0,1.0
81,2019-07-03,33.9793,36.27,33.525,36.07,36.07,87700,0.0,1.0
82,2019-07-02,32.65,33.98,32.65,33.66,33.66,161200,0.0,1.0
83,2019-07-01,31.4712,33.16,30.461,32.42,32.42,183700,0.0,1.0
84,2019-06-28,28.15,31.925,28.01,31.08,31.08,818200,0.0,1.0
85,2019-06-27,26.31,28.45,25.89,28.21,28.21,212600,0.0,1.0
86,2019-06-26,25.32,26.5298,24.99,26.28,26.28,269900,0.0,1.0
87,2019-06-25,26.99,27.08,24.5,25.3,25.3,210200,0.0,1.0
88,2019-06-24,27.15,27.49,26.26,27.24,27.24,219700,0.0,1.0
89,2019-06-21,28.01,28.91,26.38,26.89,26.89,365400,0.0,1.0
90,2019-06-20,31.19,31.37,27.86,28.23,28.23,166100,0.0,1.0
91,2019-06-19,33.001,33.64,30.4,30.94,30.94,132000,0.0,1.0
92,2019-06-18,33.14,34.275,32.35,32.93,32.93,113000,0.0,1.0
93,2019-06-17,31.63,33.3,31.565,32.83,32.83,151900,0.0,1.0
94,2019-06-14,31.11,31.9,30.71,31.41,31.41,134100,0.0,1.0
95,2019-06-13,31.0298,31.98,30.935,31.48,31.48,85700,0.0,1.0
96,2019-06-12,30.76,31.59,29.91,30.87,30.87,51500,0.0,1.0
97,2019-06-11,30.83,31.95,30.02,30.83,30.83,104900,0.0,1.0
98,2019-06-10,29.45,30.74,29.0,30.58,30.58,128300,0.0,1.0
99,2019-06-07,30.5034,30.5,28.76,29.48,29.48,169300,0.0,1.0
100,2019-06-06,30.01,30.63,29.66,30.38,30.38,81000,0.0,1.0
101,2019-06-05,31.17,31.4322,28.76,30.02,30.02,176300,0.0,1.0
102,2019-06-04,32.72,33.0,30.995,31.18,31.18,131200,0.0,1.0
103,2019-06-03,31.24,32.67,30.66,31.85,31.85,199000,0.0,1.0
104,2019-05-31,31.27,32.96,30.79,31.21,31.21,161800,0.0,1.0
105,2019-05-30,32.03,32.91,31.27,31.83,31.83,294200,0.0,1.0
106,2019-05-29,30.01,32.5,30.0,31.1,31.1,298400,0.0,1.0
107,2019-05-28,29.82,31.0,29.5006,30.51,30.51,230100,0.0,1.0
108,2019-05-24,27.51,29.825,27.23,29.64,29.64,163600,0.0,1.0
109,2019-05-23,27.1414,28.71,26.52,27.26,27.26,208000,0.0,1.0
110,2019-05-22,26.8,27.85,26.8,27.49,27.49,122400,0.0,1.0
111,2019-05-21,26.87,27.5,26.19,27.2,27.2,168700,0.0,1.0
112,2019-05-20,26.57,27.3848,26.06,26.71,26.71,142600,0.0,1.0
113,2019-05-17,26.56,26.98,26.13,26.69,26.69,64600,0.0,1.0
114,2019-05-16,26.1,26.96,26.0976,26.75,26.75,41100,0.0,1.0
115,2019-05-15,25.2,27.7192,24.23,25.95,25.95,74500,0.0,1.0
116,2019-05-14,23.63,25.4819,23.63,25.34,25.34,78500,0.0,1.0
117,2019-05-13,24.53,24.9,23.41,23.5,23.5,125800,0.0,1.0
118,2019-05-10,24.41,25.51,23.768,24.97,24.97,118100,0.0,1.0
119,2019-05-09,25.29,25.29,23.99,24.56,24.56,111000,0.0,1.0
120,2019-05-08,26.09,26.4,25.18,25.37,25.37,58000,0.0,1.0
121,2019-05-07,26.6,27.29,25.37,25.91,25.91,74700,0.0,1.0
122,2019-05-06,25.73,26.99,25.494,26.09,26.09,79200,0.0,1.0
123,2019-05-03,24.84,26.0,24.4,25.98,25.98,60000,0.0,1.0
124,2019-05-02,25.1,25.88,24.36,24.79,24.79,108200,0.0,1.0
125,2019-05-01,26.3,26.309,24.35,24.82,24.82,152700,0.0,1.0
126,2019-04-30,27.09,27.12,25.82,26.21,26.21,361400,0.0,1.0
127,2019-04-29,26.07,28.0,25.79,27.08,27.08,68300,0.0,1.0
128,2019-04-26,25.0518,26.703,24.775,26.02,26.02,67100,0.0,1.0
129,2019-04-25,27.23,27.31,24.68,25.12,25.12,98200,0.0,1.0
130,2019-04-24,27.5,28.093,25.8328,27.49,27.49,141400,0.0,1.0
131,2019-04-23,24.55,29.74,23.9,27.84,27.84,264300,0.0,1.0
132,2019-04-22,23.5913,24.63,23.227,24.57,24.57,75100,0.0,1.0
133,2019-04-18,23.7,24.05,23.36,23.58,23.58,130200,0.0,1.0
134,2019-04-17,25.5,25.5,23.17,23.38,23.38,169600,0.0,1.0
135,2019-04-16,23.91,25.55,23.57,25.01,25.01,168600,0.0,1.0
136,2019-04-15,23.55,23.8966,22.57,23.51,23.51,71500,0.0,1.0
137,2019-04-12,24.1,24.4017,22.063,23.55,23.55,98100,0.0,1.0
138,2019-04-11,23.74,24.415,23.436,24.14,24.14,71700,0.0,1.0
139,2019-04-10,23.75,24.05,23.306,23.96,23.96,69500,0.0,1.0
140,2019-04-09,23.5,24.5,23.37,23.79,23.79,73100,0.0,1.0
141,2019-04-08,23.43,23.87,22.78,23.74,23.74,61300,0.0,1.0
142,2019-04-05,23.42,24.728,22.95,23.61,23.61,185600,0.0,1.0
143,2019-04-04,23.3518,23.74,22.5,23.27,23.27,138300,0.0,1.0
144,2019-04-03,23.6682,23.84,22.96,23.25,23.25,50500,0.0,1.0
145,2019-04-02,23.41,24.0699,23.102,23.52,23.52,58600,0.0,1.0
146,2019-04-01,23.75,24.1,22.531,23.54,23.54,109700,0.0,1.0
147,2019-03-29,23.43,23.67,22.25,23.45,23.45,192700,0.0,1.0
148,2019-03-28,22.12,23.99,21.45,23.03,23.03,219600,0.0,1.0
149,2019-03-27,22.32,22.355,21.44,22.07,22.07,71900,0.0,1.0
150,2019-03-26,21.9,22.37,20.99,22.31,22.31,206300,0.0,1.0
151,2019-03-25,21.24,22.345,20.83,21.76,21.76,172300,0.0,1.0
152,2019-03-22,21.58,21.98,20.881,21.32,21.32,201000,0.0,1.0
153,2019-03-21,20.74,21.939,20.5,21.93,21.93,127200,0.0,1.0
154,2019-03-20,20.3,21.26,20.04,20.96,20.96,93400,0.0,1.0
155,2019-03-19,20.04,21.275,19.33,20.65,20.65,220700,0.0,1.0
