,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,255.67,256.85,254.4,256.4,256.4,56225,0.0,1.0
1,2019-10-25,253.2,254.63,251.64,254.07,254.07,192300,0.0,1.0
2,2019-10-24,254.29,254.29,251.54,253.22,253.22,217900,0.0,1.0
3,2019-10-23,250.64,253.13,250.53,253.01,253.01,242900,0.0,1.0
4,2019-10-22,251.27,254.54,249.89,250.64,250.64,346400,0.0,1.0
5,2019-10-21,251.37,252.46,247.73,250.01,250.01,264600,0.0,1.0
6,2019-10-18,251.63,253.81,249.62,249.74,249.74,472200,0.0,1.0
7,2019-10-17,249.73,252.96,248.41,251.77,251.77,277100,0.0,1.0
8,2019-10-16,246.49,249.0,244.87,248.95,248.95,329500,0.0,1.0
9,2019-10-15,245.81,247.73,244.84,246.2,246.2,393100,0.0,1.0
10,2019-10-14,244.98,246.82,243.59,244.02,244.02,228000,0.0,1.0
11,2019-10-11,245.53,247.55,243.73,245.3,245.3,526000,0.0,1.0
12,2019-10-10,240.45,242.99,238.62,241.43,241.43,299600,0.0,1.0
13,2019-10-09,236.63,242.65,235.68,240.92,240.92,407100,0.0,1.0
14,2019-10-08,237.93,237.93,233.09,234.28,234.28,483500,0.0,1.0
15,2019-10-07,240.37,241.39,239.09,239.44,239.44,337600,0.0,1.0
16,2019-10-04,239.0,241.44,237.61,241.04,241.04,248100,0.0,1.0
17,2019-10-03,235.65,239.01,233.25,238.19,238.19,491000,0.0,1.0
18,2019-10-02,238.08,240.24,234.75,235.98,235.98,503400,0.0,1.0
19,2019-10-01,243.26,245.0,237.5,240.07,240.07,488100,0.0,1.0
20,2019-09-30,242.12,244.72,240.44,242.97,242.97,513600,0.0,1.0
21,2019-09-27,239.0,247.0,238.0,242.12,242.12,877800,0.0,1.0
22,2019-09-26,249.8,254.7,239.75,245.71,245.71,1828900,0.0,1.0
23,2019-09-25,267.88,272.79,267.88,270.99,270.99,440300,0.0,1.0
24,2019-09-24,273.43,274.49,267.94,268.32,268.32,536100,0.0,1.0
25,2019-09-23,279.46,279.7,271.87,273.44,273.44,574800,0.0,1.0
26,2019-09-20,286.0,286.13,281.62,282.29,282.29,493500,0.0,1.0
27,2019-09-19,283.8,288.34,282.77,285.01,285.01,275200,0.0,1.0
28,2019-09-18,281.5,289.98,280.52,283.0,283.0,469400,0.0,1.0
29,2019-09-17,277.03,281.27,277.03,281.07,281.07,213600,0.0,1.0
30,2019-09-16,275.78,277.73,274.05,277.41,277.41,234800,0.0,1.0
31,2019-09-13,279.0,279.25,274.36,277.46,277.46,320100,0.0,1.0
32,2019-09-12,276.09,278.58,274.24,276.65,276.65,224800,0.0,1.0
33,2019-09-11,270.1,273.99,268.43,273.96,273.96,327300,0.0,1.0
34,2019-09-10,267.08,269.82,261.93,269.82,269.82,526300,0.0,1.0
35,2019-09-09,277.26,277.56,266.0,268.78,268.78,345600,0.0,1.0
36,2019-09-06,274.15,277.73,274.01,275.62,275.62,262200,0.0,1.0
37,2019-09-05,274.02,276.75,271.47,273.84,273.84,251100,0.0,1.0
38,2019-09-04,272.81,273.09,267.55,270.95,270.95,302500,0.0,1.0
