,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,103.03,103.38,102.01,102.27,102.27,497097,0.0,1.0
1,2019-10-25,102.74,103.43,101.77,102.51,102.51,2602200,0.0,1.0
2,2019-10-24,101.71,103.58,101.28,103.45,103.45,2627300,0.0,1.0
3,2019-10-23,100.49,101.56,100.29,101.1,101.1,3532100,0.0,1.0
4,2019-10-22,104.25,104.66,100.03,100.79,100.79,4292900,0.0,1.0
5,2019-10-21,106.73,106.83,103.21,104.44,104.44,2655700,0.0,1.0
6,2019-10-18,107.16,107.23,104.59,105.67,105.67,4536700,0.0,1.0
7,2019-10-17,106.53,107.11,105.91,106.19,106.19,1999900,0.0,1.0
8,2019-10-16,106.02,106.71,105.02,106.55,106.55,2345600,0.0,1.0
9,2019-10-15,106.85,107.1,105.92,106.89,106.89,2694700,0.0,1.0
10,2019-10-14,105.81,106.66,105.6,106.02,106.02,3337700,0.0,1.0
11,2019-10-11,106.09,106.76,105.43,105.68,105.68,1929900,0.0,1.0
12,2019-10-10,104.04,105.56,103.64,105.14,105.14,2065100,0.0,1.0
13,2019-10-09,103.52,105.09,103.22,104.7,104.7,1964800,0.0,1.0
14,2019-10-08,103.74,104.5,102.17,103.11,103.11,2397600,0.0,1.0
15,2019-10-07,105.0,105.31,104.02,104.59,104.59,2504100,0.0,1.0
16,2019-10-04,103.66,105.86,103.64,105.7,105.7,3355400,0.0,1.0
17,2019-10-03,101.03,103.23,100.18,103.05,103.05,2618300,0.0,1.0
18,2019-10-02,102.27,102.34,99.75,100.96,100.96,3657500,0.0,1.0
19,2019-10-01,103.93,104.58,102.72,103.15,103.15,1978700,0.0,1.0
20,2019-09-30,102.7,103.81,102.67,103.59,103.59,2206300,0.0,1.0
21,2019-09-27,105.71,105.79,102.12,102.61,102.61,3023500,0.0,1.0
22,2019-09-26,104.19,105.33,103.81,105.07,105.07,3610100,0.0,1.0
23,2019-09-25,104.18,104.58,102.33,103.94,103.94,3422600,0.0,1.0
24,2019-09-24,105.34,106.76,103.54,103.76,103.76,6810300,0.0,1.0
25,2019-09-23,103.38,105.24,103.38,105.04,105.04,4122700,0.0,1.0
26,2019-09-20,105.06,106.09,103.88,104.08,104.08,6540000,0.0,1.0
27,2019-09-19,104.02,105.84,104.01,104.91,104.91,4901700,0.0,1.0
28,2019-09-18,105.0,105.0,102.67,104.34,104.34,4558600,0.0,1.0
29,2019-09-17,104.55,105.25,104.06,104.82,104.82,2501100,0.0,1.0
30,2019-09-16,101.78,104.32,101.5,103.62,103.62,2489700,0.0,1.0
31,2019-09-13,103.76,103.96,102.06,102.6,102.6,2856000,0.0,1.0
32,2019-09-12,103.29,104.81,102.93,103.89,103.89,4468600,0.0,1.0
33,2019-09-11,103.3,103.72,101.34,102.0,102.0,4683300,0.0,1.0
34,2019-09-10,105.72,106.19,101.9,103.69,103.69,4909200,0.0,1.0
35,2019-09-09,108.81,109.2,105.92,106.68,106.68,4541700,0.0,1.0
36,2019-09-06,108.67,109.92,108.56,108.62,108.62,4046900,0.0,1.0
37,2019-09-05,107.63,108.82,106.88,108.7,108.7,4913800,0.0,1.0
38,2019-09-04,106.36,106.66,105.76,106.29,106.29,3608400,0.0,1.0
39,2019-09-03,107.09,107.21,105.62,105.84,105.84,2529100,0.0,1.0
40,2019-08-30,108.05,108.32,106.32,106.94,106.94,4353300,0.0,1.0
41,2019-08-29,107.85,108.28,107.32,107.64,107.64,1990900,0.0,1.0
42,2019-08-28,106.38,106.96,105.76,106.75,106.75,1491300,0.0,1.0
43,2019-08-27,107.19,107.34,106.09,106.98,106.98,3451900,0.0,1.0
44,2019-08-26,105.51,106.41,105.04,106.38,106.38,3320100,0.0,1.0
45,2019-08-23,107.81,108.19,104.34,104.68,104.68,4545600,0.0,1.0
46,2019-08-22,107.99,108.54,106.95,108.16,108.16,2818800,0.0,1.0
47,2019-08-21,107.77,108.0,106.93,107.56,107.56,2552600,0.0,1.0
48,2019-08-20,107.54,108.0,106.85,106.99,106.99,4713500,0.0,1.0
