,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,68.66,70.71,68.58,70.5791,70.5791,342824,0.0,1.0
1,2019-10-25,67.66,69.65,67.23,68.56,68.56,430800,0.0,1.0
2,2019-10-24,66.81,68.48,65.26,67.94,67.94,569500,0.0,1.0
3,2019-10-23,65.49,67.32,65.35,66.05,66.05,755000,0.0,1.0
4,2019-10-22,68.0,68.33,65.45,65.63,65.63,719300,0.0,1.0
5,2019-10-21,64.9,68.62,64.58,67.68,67.68,971000,0.0,1.0
6,2019-10-18,67.14,67.93,63.83,65.27,65.27,1510300,0.0,1.0
7,2019-10-17,65.02,68.46,64.79,67.76,67.76,1368100,0.0,1.0
8,2019-10-16,65.22,66.41,63.55,65.02,65.02,1109600,0.0,1.0
9,2019-10-15,64.43,65.85,64.01,65.68,65.68,1290400,0.0,1.0
10,2019-10-14,61.43,65.55,61.12,64.18,64.18,1504000,0.0,1.0
11,2019-10-11,61.31,62.94,60.39,61.56,61.56,917400,0.0,1.0
12,2019-10-10,59.9,61.89,59.81,60.56,60.56,656500,0.0,1.0
13,2019-10-09,60.42,61.58,58.84,60.32,60.32,719300,0.0,1.0
14,2019-10-08,60.06,61.59,59.51,59.88,59.88,951600,0.0,1.0
15,2019-10-07,64.48,65.78,59.85,60.79,60.79,1558000,0.0,1.0
16,2019-10-04,62.81,65.74,62.81,64.67,64.67,2414100,0.0,1.0
17,2019-10-03,60.69,62.79,59.11,62.24,62.24,1597300,0.0,1.0
18,2019-10-02,59.19,61.58,56.33,60.7,60.7,2689200,0.0,1.0
19,2019-10-01,63.75,64.28,59.18,59.49,59.49,1658300,0.0,1.0
20,2019-09-30,62.5,64.99,61.51,63.83,63.83,1810800,0.0,1.0
21,2019-09-27,63.46,66.48,62.15,62.59,62.59,1857200,0.0,1.0
22,2019-09-26,67.13,67.94,62.27,63.4,63.4,2755500,0.0,1.0
23,2019-09-25,72.0,72.47,65.34,67.0,67.0,3272400,0.0,1.0
24,2019-09-24,74.06,74.99,71.57,72.32,72.32,874200,0.0,1.0
25,2019-09-23,73.7,74.54,72.36,73.66,73.66,781900,0.0,1.0
26,2019-09-20,72.47,74.65,71.38,73.93,73.93,1236500,0.0,1.0
27,2019-09-19,73.69,75.21,72.46,72.62,72.62,1140100,0.0,1.0
28,2019-09-18,74.72,75.43,71.51,73.7,73.7,1820100,0.0,1.0
29,2019-09-17,75.02,76.24,74.0,74.73,74.73,1826700,0.0,1.0
30,2019-09-16,77.0,78.16,74.78,74.98,74.98,1334900,0.0,1.0
31,2019-09-13,77.43,78.33,75.24,77.5,77.5,1067300,0.0,1.0
32,2019-09-12,77.0,78.5,75.02,77.05,77.05,1895800,0.0,1.0
33,2019-09-11,80.8,81.09,74.39,76.5,76.5,2566700,0.0,1.0
34,2019-09-10,81.0,81.87,79.67,80.71,80.71,967400,0.0,1.0
35,2019-09-09,81.42,82.56,80.94,81.03,81.03,1408500,0.0,1.0
36,2019-09-06,82.92,83.65,80.13,81.56,81.56,936700,0.0,1.0
37,2019-09-05,82.0,84.18,81.0,82.66,82.66,780000,0.0,1.0
38,2019-09-04,84.19,86.23,80.87,81.25,81.25,1186300,0.0,1.0
39,2019-09-03,85.7,87.0,83.07,83.74,83.74,1163200,0.0,1.0
40,2019-08-30,92.57,94.0,84.5,87.53,87.53,2254700,0.0,1.0
41,2019-08-29,91.93,94.66,91.02,94.04,94.04,577600,0.0,1.0
42,2019-08-28,93.34,93.35,89.73,90.31,90.31,1053600,0.0,1.0
43,2019-08-27,95.52,98.48,93.34,93.93,93.93,916900,0.0,1.0
44,2019-08-26,93.02,95.99,91.48,94.36,94.36,850300,0.0,1.0
45,2019-08-23,97.91,99.43,94.1,94.64,94.64,725500,0.0,1.0
46,2019-08-22,102.02,102.02,95.5,98.62,98.62,1335200,0.0,1.0
47,2019-08-21,103.94,105.84,101.37,104.36,104.36,635600,0.0,1.0
48,2019-08-20,99.33,104.09,98.1,102.26,102.26,704500,0.0,1.0
49,2019-08-19,103.0,103.39,97.92,99.35,99.35,625600,0.0,1.0
50,2019-08-16,100.4,101.88,99.64,101.52,101.52,1102000,0.0,1.0
51,2019-08-15,98.73,99.33,97.04,98.93,98.93,558000,0.0,1.0
52,2019-08-14,99.07,101.84,94.44,98.7,98.7,1120400,0.0,1.0
53,2019-08-13,98.0,101.49,96.19,101.27,101.27,1544200,0.0,1.0
54,2019-08-12,101.12,101.99,96.01,98.63,98.63,1596400,0.0,1.0
55,2019-08-09,105.56,107.175,100.6014,103.08,103.08,2184200,0.0,1.0
56,2019-08-08,109.2,112.2162,106.525,110.3,110.3,1485100,0.0,1.0
57,2019-08-07,105.01,111.69,98.51,109.7,109.7,4432500,0.0,1.0
58,2019-08-06,89.82,91.44,85.73,90.5,90.5,1098700,0.0,1.0
59,2019-08-05,89.88,90.98,85.29,87.22,87.22,879200,0.0,1.0
60,2019-08-02,93.26,93.76,87.05,92.06,92.06,832400,0.0,1.0
61,2019-08-01,94.13,96.49,93.12,94.47,94.47,479900,0.0,1.0
62,2019-07-31,96.34,97.5,92.0,93.99,93.99,471400,0.0,1.0
63,2019-07-30,93.039,97.94,91.63,96.99,96.99,489600,0.0,1.0
64,2019-07-29,97.84,98.75,91.33,92.72,92.72,642300,0.0,1.0
65,2019-07-26,94.39,98.0,93.94,96.97,96.97,410300,0.0,1.0
66,2019-07-25,95.7,96.28,93.16,93.82,93.82,435500,0.0,1.0
67,2019-07-24,93.63,95.7,92.95,95.59,95.59,251900,0.0,1.0
68,2019-07-23,94.22,94.81,92.02,93.67,93.67,258000,0.0,1.0
69,2019-07-22,93.88,97.15,93.17,93.78,93.78,483900,0.0,1.0
70,2019-07-19,93.62,95.61,93.41,93.65,93.65,516800,0.0,1.0
71,2019-07-18,91.78,94.4458,91.26,93.67,93.67,619700,0.0,1.0
