,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,9.85,9.87,9.85,9.85,9.85,7565,0.0,1.0
1,2019-10-25,9.85,9.96,9.82,9.87,9.87,3300,0.0,1.0
2,2019-10-24,9.98,9.98,9.83,9.94,9.94,6500,0.0,1.0
3,2019-10-23,9.91,9.96,9.9,9.9,9.9,13900,0.0,1.0
4,2019-10-22,9.91,9.98,9.86,9.9,9.9,6800,0.0,1.0
5,2019-10-21,9.85,9.92,9.82,9.86,9.86,14200,0.0,1.0
6,2019-10-18,9.85,9.9,9.8,9.85,9.85,13200,0.0,1.0
7,2019-10-17,9.79,9.94,9.77,9.88,9.88,12700,0.0,1.0
8,2019-10-16,9.79,9.9,9.77,9.9,9.9,3400,0.08,1.0
9,2019-10-15,9.95,10.06,9.95,10.06,9.98,26800,0.0,1.0
10,2019-10-14,9.9,10.0,9.9,10.0,9.9205,13100,0.0,1.0
11,2019-10-11,9.9,10.05,9.71,9.88,9.8014,10800,0.0,1.0
12,2019-10-10,9.92,9.95,9.77,9.81,9.732,17000,0.0,1.0
13,2019-10-09,9.85,10.1,9.85,10.0,9.9205,24500,0.0,1.0
14,2019-10-08,9.83,10.1,9.83,9.85,9.7717,10800,0.0,1.0
15,2019-10-07,10.02,10.02,9.75,9.75,9.6725,23200,0.0,1.0
16,2019-10-04,9.95,9.98,9.89,9.98,9.9006,16400,0.0,1.0
17,2019-10-03,9.93,9.96,9.72,9.88,9.8014,20000,0.0,1.0
18,2019-10-02,10.03,10.18,9.9,9.96,9.8808,12600,0.0,1.0
19,2019-10-01,9.96,10.08,9.96,9.99,9.9106,7000,0.0,1.0
20,2019-09-30,10.18,10.18,9.95,9.95,9.8709,7700,0.0,1.0
21,2019-09-27,10.07,10.18,10.04,10.11,10.0296,10200,0.0,1.0
22,2019-09-26,10.09,10.15,10.08,10.15,10.0693,6800,0.0,1.0
23,2019-09-25,10.0,10.1,9.95,10.1,10.0197,4000,0.0,1.0
24,2019-09-24,10.07,10.18,9.98,10.0,9.9205,8600,0.0,1.0
25,2019-09-23,10.01,10.07,9.93,10.02,9.9403,800,0.0,1.0
26,2019-09-20,10.03,10.1,9.9,10.05,9.9701,12800,0.0,1.0
27,2019-09-19,9.9,10.09,9.9,10.02,9.9403,21000,0.0,1.0
28,2019-09-18,10.0,10.06,9.92,9.96,9.8808,24700,0.08,1.0
29,2019-09-17,10.0,10.1,9.97,10.1,9.9403,27600,0.0,1.0
30,2019-09-16,10.05,10.05,10.05,10.05,9.8911,0,0.0,1.0
31,2019-09-13,10.1,10.1,9.96,10.05,9.8911,6700,0.0,1.0
32,2019-09-12,9.97,10.04,9.97,9.99,9.8321,1700,0.0,1.0
33,2019-09-11,9.98,10.05,9.9,9.96,9.8025,13800,0.0,1.0
34,2019-09-10,9.95,10.05,9.71,10.05,9.8911,6800,0.0,1.0
35,2019-09-09,9.96,10.05,9.81,9.98,9.8222,16300,0.0,1.0
36,2019-09-06,9.9,9.91,9.69,9.91,9.7533,45200,0.0,1.0
37,2019-09-05,9.9,9.98,9.85,9.85,9.6943,22600,0.0,1.0
38,2019-09-04,9.75,9.85,9.75,9.85,9.6943,6000,0.0,1.0
39,2019-09-03,9.94,9.99,9.83,9.83,9.6746,20200,0.0,1.0
40,2019-08-30,10.04,10.08,9.79,9.96,9.8025,21900,0.0,1.0
41,2019-08-29,9.92,10.03,9.85,9.85,9.6943,16900,0.0,1.0
42,2019-08-28,9.9,9.98,9.85,9.85,9.6943,23500,0.0,1.0
43,2019-08-27,9.97,10.19,9.85,9.9,9.7435,36300,0.0,1.0
44,2019-08-26,9.86,10.1,9.86,9.97,9.8124,17900,0.0,1.0
45,2019-08-23,10.05,10.05,9.81,9.9,9.7435,14200,0.0,1.0
46,2019-08-22,9.94,10.06,9.85,9.99,9.8321,19700,0.0,1.0
47,2019-08-21,9.86,9.97,9.72,9.96,9.8025,23200,0.08,1.0
