,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,14.11,14.16,14.02,14.07,14.07,45711,0.0,1.0
1,2019-10-25,14.15,14.17,13.98,14.07,14.07,493300,0.0,1.0
2,2019-10-24,14.17,14.28,14.13,14.17,14.17,332300,0.0,1.0
3,2019-10-23,14.05,14.25,13.96,14.16,14.16,292200,0.0,1.0
4,2019-10-22,14.02,14.03,13.64,13.94,13.94,311200,0.0,1.0
5,2019-10-21,13.59,14.06,13.59,14.01,14.01,364100,0.0,1.0
6,2019-10-18,13.4,13.67,13.0,13.51,13.51,1252900,0.0,1.0
7,2019-10-17,13.83,13.94,13.49,13.5,13.5,724300,0.0,1.0
8,2019-10-16,13.94,14.08,13.85,13.92,13.92,366900,0.0,1.0
9,2019-10-15,13.87,14.04,13.67,13.98,13.98,286400,0.0,1.0
10,2019-10-14,14.2,14.2,13.65,13.84,13.84,400700,0.0,1.0
11,2019-10-11,14.14,14.45,14.11,14.2,14.2,285600,0.0,1.0
12,2019-10-10,14.19,14.26,14.08,14.1,14.1,255800,0.0,1.0
13,2019-10-09,14.37,14.38,14.15,14.15,14.15,187400,0.0,1.0
14,2019-10-08,14.38,14.38,14.11,14.23,14.23,315600,0.0,1.0
15,2019-10-07,14.41,14.51,14.33,14.45,14.45,213100,0.0,1.0
16,2019-10-04,14.54,14.63,14.36,14.44,14.44,203900,0.0,1.0
17,2019-10-03,14.53,14.74,14.39,14.53,14.53,229200,0.0,1.0
18,2019-10-02,14.46,14.61,14.33,14.6,14.6,347000,0.0,1.0
19,2019-10-01,14.97,15.14,14.57,14.57,14.57,363000,0.0,1.0
20,2019-09-30,14.82,15.02,14.82,14.88,14.88,345200,0.0,1.0
21,2019-09-27,14.83,15.03,14.72,14.77,14.77,306800,0.28,1.0
22,2019-09-26,15.12,15.24,14.91,15.11,14.83,534100,0.0,1.0
23,2019-09-25,14.89,15.19,14.89,15.1,14.8202,173300,0.0,1.0
24,2019-09-24,15.02,15.07,14.87,14.96,14.6828,347900,0.0,1.0
25,2019-09-23,15.0,15.12,14.86,14.99,14.7122,287300,0.0,1.0
26,2019-09-20,15.02,15.3,14.98,15.08,14.8006,858300,0.0,1.0
27,2019-09-19,15.13,15.27,14.96,14.99,14.7122,233100,0.0,1.0
28,2019-09-18,15.05,15.18,14.89,15.05,14.7711,222500,0.0,1.0
29,2019-09-17,15.09,15.13,14.89,15.03,14.7515,347800,0.0,1.0
30,2019-09-16,15.12,15.25,15.0,15.06,14.7809,432600,0.0,1.0
31,2019-09-13,15.05,15.33,15.03,15.06,14.7809,376400,0.0,1.0
32,2019-09-12,15.34,15.34,14.89,15.01,14.7319,331300,0.0,1.0
33,2019-09-11,15.17,15.42,15.02,15.34,15.0557,557100,0.0,1.0
34,2019-09-10,14.45,15.09,14.37,15.09,14.8104,549400,0.0,1.0
35,2019-09-09,14.12,14.5,14.07,14.48,14.2117,291400,0.0,1.0
36,2019-09-06,14.2,14.29,14.11,14.14,13.878,272000,0.0,1.0
37,2019-09-05,14.03,14.23,13.94,14.15,13.8878,614400,0.0,1.0
38,2019-09-04,13.9,14.01,13.86,13.98,13.7209,402500,0.0,1.0
39,2019-09-03,13.84,13.89,13.64,13.82,13.5639,322400,0.0,1.0
40,2019-08-30,13.93,14.01,13.8,13.9,13.6424,453800,0.0,1.0
41,2019-08-29,13.96,14.09,13.82,13.87,13.613,345900,0.0,1.0
42,2019-08-28,13.69,14.03,13.64,13.9,13.6424,598500,0.0,1.0
43,2019-08-27,13.71,13.77,13.53,13.54,13.2891,301900,0.0,1.0
44,2019-08-26,13.6,13.69,13.38,13.6,13.348,373300,0.0,1.0
45,2019-08-23,13.87,13.92,13.46,13.48,13.2302,681900,0.0,1.0
46,2019-08-22,14.15,14.2,13.82,13.91,13.6522,531000,0.0,1.0
47,2019-08-21,14.61,14.61,14.15,14.16,13.8976,365900,0.0,1.0
48,2019-08-20,14.61,14.68,14.48,14.5,14.2313,302400,0.0,1.0
49,2019-08-19,14.88,14.88,14.62,14.66,14.3883,291500,0.0,1.0
50,2019-08-16,14.7098,14.86,14.63,14.75,14.4767,392700,0.0,1.0
51,2019-08-15,14.81,14.81,14.63,14.67,14.3982,431600,0.0,1.0
52,2019-08-14,14.85,14.85,14.67,14.74,14.4669,330100,0.0,1.0
53,2019-08-13,14.98,15.11,14.962,15.0,14.722,190400,0.0,1.0
54,2019-08-12,14.93,15.025,14.865,14.96,14.6828,307600,0.0,1.0
55,2019-08-09,15.17,15.3495,14.94,15.0,14.722,355300,0.0,1.0
56,2019-08-08,14.97,15.33,14.9,15.25,14.9674,266900,0.0,1.0
57,2019-08-07,14.98,15.02,14.7403,14.91,14.6337,412800,0.0,1.0
58,2019-08-06,14.75,15.06,14.75,14.92,14.6435,339100,0.0,1.0
59,2019-08-05,14.9,14.9,14.11,14.58,14.3098,549900,0.0,1.0
60,2019-08-02,14.53,15.13,14.46,15.02,14.7417,363900,0.0,1.0
61,2019-08-01,15.39,15.5,14.4493,14.53,14.2607,949000,0.0,1.0
62,2019-07-31,16.57,16.79,15.5805,15.62,15.3305,795900,0.0,1.0
63,2019-07-30,16.72,17.01,16.61,16.99,16.6752,314600,0.0,1.0
64,2019-07-29,16.57,16.78,16.57,16.7,16.3905,244900,0.0,1.0
65,2019-07-26,16.34,16.61,16.31,16.5,16.1942,213700,0.0,1.0
66,2019-07-25,16.65,16.71,16.31,16.4,16.0961,246000,0.0,1.0
67,2019-07-24,16.53,16.71,16.43,16.66,16.3513,218700,0.0,1.0
68,2019-07-23,16.29,16.57,16.26,16.49,16.1844,194700,0.0,1.0
69,2019-07-22,16.4,16.4,16.13,16.25,15.9489,325800,0.0,1.0
70,2019-07-19,16.26,16.57,16.26,16.43,16.1255,377700,0.0,1.0
71,2019-07-18,16.33,16.4,16.19,16.32,16.0176,255200,0.0,1.0
72,2019-07-17,16.3,16.37,16.2,16.35,16.047,340100,0.0,1.0
73,2019-07-16,16.25,16.34,16.12,16.3,15.9979,261600,0.0,1.0
74,2019-07-15,16.64,16.65,16.19,16.28,15.9783,343600,0.0,1.0
75,2019-07-12,16.33,16.67,16.26,16.56,16.2531,282300,0.0,1.0
76,2019-07-11,16.7,16.7,16.26,16.32,16.0176,232200,0.0,1.0
77,2019-07-10,16.71,16.71,16.55,16.67,16.3611,226600,0.0,1.0
78,2019-07-09,16.81,16.97,16.6,16.67,16.3611,367400,0.0,1.0
79,2019-07-08,16.9,17.1,16.8,16.92,16.6065,345700,0.0,1.0
80,2019-07-05,16.68,16.98,16.48,16.88,16.5672,276900,0.0,1.0
81,2019-07-03,16.6,16.76,16.6,16.69,16.3807,84900,0.0,1.0
82,2019-07-02,16.36,16.585,16.23,16.56,16.2531,231400,0.0,1.0
83,2019-07-01,16.7,16.74,16.309,16.43,16.1255,174200,0.0,1.0
84,2019-06-28,16.52,16.8,16.47,16.54,16.2335,435900,0.0,1.0
85,2019-06-27,16.05,16.64,16.05,16.61,16.3022,369900,0.28,1.0
86,2019-06-26,16.31,16.57,16.09,16.14,15.5661,376500,0.0,1.0
87,2019-06-25,16.5,16.695,16.265,16.31,15.7301,235700,0.0,1.0
88,2019-06-24,16.84,16.84,16.33,16.45,15.8651,301500,0.0,1.0
89,2019-06-21,17.01,17.01,16.81,16.85,16.2509,527100,0.0,1.0
