,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,1.11,1.13,1.11,1.12,1.12,667,0.0,1.0
1,2019-10-25,1.11,1.12,1.11,1.11,1.11,20600,0.0,1.0
2,2019-10-24,1.1,1.12,1.1,1.11,1.11,16800,0.0,1.0
3,2019-10-23,1.1,1.12,1.1,1.11,1.11,28300,0.0,1.0
4,2019-10-22,1.11,1.12,1.11,1.11,1.11,29200,0.0,1.0
5,2019-10-21,1.12,1.12,1.11,1.12,1.12,23600,0.0,1.0
6,2019-10-18,1.12,1.12,1.12,1.12,1.12,4300,0.0,1.0
7,2019-10-17,1.13,1.13,1.12,1.12,1.12,13400,0.0,1.0
8,2019-10-16,1.12,1.13,1.12,1.13,1.13,3300,0.0,1.0
9,2019-10-15,1.1,1.13,1.1,1.13,1.13,20400,0.0,1.0
10,2019-10-14,1.11,1.12,1.11,1.11,1.11,31200,0.0,1.0
11,2019-10-11,1.12,1.12,1.11,1.11,1.11,76700,0.0,1.0
12,2019-10-10,1.14,1.14,1.12,1.12,1.12,20900,0.0,1.0
13,2019-10-09,1.14,1.14,1.13,1.14,1.14,9300,0.0,1.0
14,2019-10-08,1.14,1.14,1.12,1.14,1.14,9300,0.0,1.0
15,2019-10-07,1.13,1.14,1.11,1.11,1.11,7500,0.0,1.0
16,2019-10-04,1.13,1.13,1.11,1.13,1.13,22700,0.0,1.0
17,2019-10-03,1.12,1.13,1.12,1.13,1.13,26200,0.0,1.0
18,2019-10-02,1.11,1.13,1.11,1.12,1.12,90500,0.0,1.0
19,2019-10-01,1.11,1.13,1.11,1.11,1.11,40300,0.0,1.0
20,2019-09-30,1.13,1.13,1.09,1.12,1.12,27100,0.0,1.0
21,2019-09-27,1.14,1.14,1.13,1.13,1.13,19300,0.0,1.0
22,2019-09-26,1.14,1.15,1.14,1.15,1.15,5300,0.0,1.0
23,2019-09-25,1.13,1.14,1.13,1.14,1.14,10100,0.0,1.0
24,2019-09-24,1.14,1.16,1.13,1.16,1.16,22500,0.0,1.0
25,2019-09-23,1.16,1.16,1.14,1.14,1.14,10400,0.0,1.0
26,2019-09-20,1.14,1.16,1.14,1.16,1.16,36500,0.0,1.0
27,2019-09-19,1.14,1.15,1.14,1.14,1.14,53500,0.0,1.0
28,2019-09-18,1.16,1.16,1.14,1.14,1.14,21800,0.0,1.0
29,2019-09-17,1.14,1.16,1.14,1.15,1.15,53900,0.0,1.0
30,2019-09-16,1.15,1.15,1.14,1.14,1.14,30600,0.0,1.0
31,2019-09-13,1.14,1.15,1.14,1.14,1.14,12900,0.0,1.0
32,2019-09-12,1.15,1.15,1.14,1.14,1.14,16700,0.0,1.0
33,2019-09-11,1.15,1.16,1.14,1.15,1.15,76300,0.0,1.0
34,2019-09-10,1.15,1.16,1.14,1.15,1.15,32900,0.0,1.0
35,2019-09-09,1.15,1.15,1.15,1.15,1.15,38600,0.0,1.0
36,2019-09-06,1.15,1.16,1.15,1.16,1.16,41100,0.0,1.0
37,2019-09-05,1.14,1.14,1.14,1.14,1.14,300,0.0,1.0
38,2019-09-04,1.15,1.15,1.14,1.14,1.14,9000,0.0,1.0
39,2019-09-03,1.15,1.15,1.14,1.14,1.14,39200,0.0,1.0
40,2019-08-30,1.15,1.15,1.15,1.15,1.15,12600,0.0,1.0
41,2019-08-29,1.15,1.16,1.15,1.16,1.16,34500,0.0,1.0
42,2019-08-28,1.15,1.16,1.14,1.15,1.15,23900,0.0,1.0
43,2019-08-27,1.15,1.16,1.14,1.15,1.15,51400,0.0,1.0
44,2019-08-26,1.15,1.18,1.14,1.15,1.15,48100,0.0,1.0
45,2019-08-23,1.13,1.18,1.13,1.15,1.15,153000,0.0,1.0
46,2019-08-22,1.13,1.14,1.1,1.13,1.13,110000,0.0,1.0
47,2019-08-21,1.1,1.12,1.1,1.12,1.12,139800,0.0,1.0
48,2019-08-20,1.0,1.12,1.0,1.1,1.1,335200,0.0,1.0
49,2019-08-19,1.05,1.1,0.98,1.05,1.05,717600,0.0,1.0
50,2019-08-16,0.78,0.85,0.7,0.74,0.74,25800,0.0,1.0
51,2019-08-15,0.78,0.82,0.61,0.75,0.75,17400,0.0,1.0
52,2019-08-14,0.88,0.88,0.77,0.77,0.77,900,0.0,1.0
53,2019-08-13,0.851,0.888,0.68,0.888,0.89,1000,0.0,1.0
54,2019-08-12,0.93,0.93,0.86,0.86,0.86,300,0.0,1.0
55,2019-08-09,0.93,0.93,0.86,0.86,0.86,1100,0.0,1.0
56,2019-08-08,0.89,0.94,0.87,0.93,0.93,4900,0.0,1.0
57,2019-08-07,0.92,0.939,0.92,0.939,0.94,500,0.0,1.0
58,2019-08-06,0.86,0.87,0.85,0.87,0.87,7000,0.0,1.0
59,2019-08-05,0.86,0.86,0.86,0.86,0.86,300,0.0,1.0
60,2019-08-02,0.93,0.94,0.88,0.88,0.88,200,0.0,1.0
61,2019-08-01,0.93,0.94,0.88,0.88,0.88,25800,0.0,1.0
62,2019-07-31,0.93,0.94,0.93,0.94,0.94,1400,0.0,1.0
63,2019-07-30,0.9399,0.94,0.92,0.94,0.94,1400,0.0,1.0
64,2019-07-29,0.95,0.95,0.9,0.9,0.9,800,0.0,1.0
65,2019-07-26,0.93,0.93,0.88,0.92,0.92,14400,0.0,1.0
66,2019-07-25,0.99,0.99,0.91,0.93,0.93,22700,0.0,1.0
67,2019-07-24,0.95,0.95,0.95,0.95,0.95,400,0.0,1.0
68,2019-07-23,0.9,0.92,0.9,0.9,0.9,1800,0.0,1.0
69,2019-07-22,0.89,0.91,0.89,0.91,0.91,3400,0.0,1.0
70,2019-07-19,0.93,0.98,0.93,0.98,0.98,1600,0.0,1.0
71,2019-07-18,0.85,0.98,0.85,0.93,0.93,2500,0.0,1.0
72,2019-07-17,0.88,0.97,0.88,0.96,0.96,2900,0.0,1.0
73,2019-07-16,0.99,0.99,0.99,0.99,0.99,5800,0.0,1.0
74,2019-07-15,0.91,0.99,0.91,0.99,0.99,21800,0.0,1.0
75,2019-07-12,0.99,0.99,0.93,0.93,0.93,1200,0.0,1.0
76,2019-07-11,0.95,0.99,0.93,0.99,0.99,3800,0.0,1.0
77,2019-07-10,0.93,1.0,0.9301,1.0,1.0,16100,0.0,1.0
78,2019-07-09,0.94,0.94,0.94,0.94,0.94,100,0.0,1.0
79,2019-07-08,0.95,0.95,0.93,0.94,0.94,19700,0.0,1.0
80,2019-07-05,0.921,0.99,0.907,0.91,0.91,3300,0.0,1.0
81,2019-07-03,0.987,0.987,0.987,0.987,0.99,2500,0.0,1.0
82,2019-07-02,0.955,0.9901,0.955,0.99,0.99,6600,0.0,1.0
83,2019-07-01,0.979,0.979,0.819,0.91,0.91,10600,0.0,1.0
84,2019-06-28,0.982,0.985,0.98,0.98,0.98,2700,0.0,1.0
85,2019-06-27,0.99,1.0,0.904,0.96,0.96,7200,0.0,1.0
86,2019-06-26,0.93,0.989,0.902,0.965,0.96,11500,0.0,1.0
87,2019-06-25,0.984,0.984,0.864,0.93,0.93,9300,0.0,1.0
88,2019-06-24,0.98,0.98,0.92,0.979,0.98,32700,0.0,1.0
89,2019-06-21,0.985,1.0,0.95,0.993,0.99,4800,0.0,1.0
90,2019-06-20,1.047,1.28,0.955,1.02,1.02,43700,0.0,1.0
91,2019-06-19,1.094,1.094,1.02,1.04,1.04,21600,0.0,1.0
92,2019-06-18,1.093,1.11,1.03,1.06,1.06,2100,0.0,1.0
93,2019-06-17,1.0,1.11,1.0,1.11,1.11,29100,0.0,1.0
94,2019-06-14,1.05,1.093,1.02,1.02,1.02,4700,0.0,1.0
95,2019-06-13,1.032,1.11,1.032,1.11,1.11,1700,0.0,1.0
96,2019-06-12,1.16,1.168,1.01,1.13,1.13,48400,0.0,1.0
97,2019-06-11,1.18,1.18,1.16,1.16,1.16,3700,0.0,1.0
98,2019-06-10,1.16,1.19,1.16,1.16,1.16,5900,0.0,1.0
99,2019-06-07,1.18,1.18,1.17,1.17,1.17,10700,0.0,1.0
100,2019-06-06,1.19,1.19,1.18,1.18,1.18,700,0.0,1.0
101,2019-06-05,1.17,1.17,1.17,1.17,1.17,2700,0.0,1.0
102,2019-06-04,1.22,1.22,1.22,1.22,1.22,100,0.0,1.0
103,2019-06-03,1.13,1.23,1.05,1.22,1.22,6200,0.0,1.0
104,2019-05-31,1.065,1.22,1.065,1.21,1.21,1500,0.0,1.0
105,2019-05-30,1.156,1.2,1.156,1.2,1.2,1600,0.0,1.0
106,2019-05-29,1.24,1.26,1.179,1.224,1.22,5600,0.0,1.0
107,2019-05-28,1.2,1.2502,1.2,1.25,1.25,4400,0.0,1.0
108,2019-05-24,1.19,1.23,1.19,1.23,1.23,9800,0.0,1.0
109,2019-05-23,1.24,1.2399,1.24,1.24,1.24,400,0.0,1.0
110,2019-05-22,1.245,1.2451,1.2,1.21,1.21,1400,0.0,1.0
111,2019-05-21,1.26,1.3,1.18,1.256,1.26,11200,0.0,1.0
112,2019-05-20,1.301,1.365,1.27,1.3,1.3,7500,0.0,1.0
113,2019-05-17,1.33,1.37,1.32,1.35,1.35,6800,0.0,1.0
114,2019-05-16,1.4,1.4,1.32,1.355,1.36,13300,0.0,1.0
115,2019-05-15,1.43,1.43,1.365,1.37,1.37,17200,0.0,1.0
116,2019-05-14,1.49,1.5,1.48,1.49,1.49,6600,0.0,1.0
117,2019-05-13,1.396,1.51,1.396,1.46,1.46,6600,0.0,1.0
118,2019-05-10,1.474,1.52,1.474,1.48,1.48,1400,0.0,1.0
119,2019-05-09,1.5,1.519,1.49,1.49,1.49,4200,0.0,1.0
120,2019-05-08,1.51,1.51,1.49,1.49,1.49,3700,0.0,1.0
121,2019-05-07,1.52,1.52,1.49,1.5,1.5,2800,0.0,1.0
122,2019-05-06,1.49,1.54,1.49,1.5,1.5,2400,0.0,1.0
123,2019-05-03,1.49,1.49,1.49,1.49,1.49,100,0.0,1.0
124,2019-05-02,1.49,1.5299,1.49,1.49,1.49,1000,0.0,1.0
125,2019-05-01,1.48,1.48,1.47,1.475,1.48,3300,0.0,1.0
126,2019-04-30,1.47,1.5,1.46,1.5,1.5,3500,0.0,1.0
127,2019-04-29,1.49,1.49,1.467,1.483,1.48,10200,0.0,1.0
128,2019-04-26,1.46,1.49,1.45,1.47,1.47,16800,0.0,1.0
129,2019-04-25,1.44,1.47,1.435,1.46,1.46,13600,0.0,1.0
130,2019-04-24,1.445,1.46,1.43,1.46,1.46,15800,0.0,1.0
131,2019-04-23,1.46,1.473,1.444,1.445,1.45,9900,0.0,1.0
132,2019-04-22,1.48,1.48,1.45,1.47,1.47,10300,0.0,1.0
133,2019-04-18,1.457,1.468,1.44,1.46,1.46,14600,0.0,1.0
134,2019-04-17,1.459,1.55,1.45,1.47,1.47,26400,0.0,1.0
135,2019-04-16,1.39,1.47,1.39,1.43,1.43,7400,0.0,1.0
136,2019-04-15,1.39,1.39,1.36,1.39,1.39,17000,0.0,1.0
137,2019-04-12,1.31,1.36,1.31,1.36,1.36,400,0.0,1.0
138,2019-04-11,1.367,1.367,1.26,1.28,1.28,13900,0.0,1.0
139,2019-04-10,1.299,1.33,1.21,1.24,1.24,42400,0.0,1.0
140,2019-04-09,1.29,1.319,1.21,1.319,1.32,21100,0.0,1.0
141,2019-04-08,1.29,1.32,1.29,1.3,1.3,13700,0.0,1.0
142,2019-04-05,1.3,1.33,1.27,1.3,1.3,11500,0.0,1.0
143,2019-04-04,1.26,1.34,1.26,1.34,1.34,2100,0.0,1.0
144,2019-04-03,1.26,1.26,1.26,1.26,1.26,300,0.0,1.0
145,2019-04-02,1.281,1.281,1.27,1.27,1.27,500,0.0,1.0
146,2019-04-01,1.23,1.23,1.23,1.23,1.23,100,0.0,1.0
147,2019-03-29,1.25,1.34,1.17,1.23,1.23,11700,0.0,1.0
148,2019-03-28,1.2,1.23,1.184,1.23,1.23,15500,0.0,1.0
149,2019-03-27,1.18,1.18,1.18,1.18,1.18,300,0.0,1.0
150,2019-03-26,1.17,1.18,1.17,1.18,1.18,9500,0.0,1.0
151,2019-03-25,1.23,1.246,1.179,1.179,1.18,7300,0.0,1.0
152,2019-03-22,1.226,1.273,1.1,1.25,1.25,34400,0.0,1.0
153,2019-03-21,1.25,1.25,1.21,1.21,1.21,600,0.0,1.0
154,2019-03-20,1.236,1.25,1.21,1.21,1.21,9200,0.0,1.0
155,2019-03-19,1.26,1.26,1.26,1.26,1.26,100,0.0,1.0
156,2019-03-18,1.26,1.28,1.21,1.256,1.26,4500,0.0,1.0
157,2019-03-15,1.19,1.27,1.163,1.27,1.27,8000,0.0,1.0
158,2019-03-14,1.2,1.22,1.18,1.19,1.19,19200,0.0,1.0
159,2019-03-13,1.25,1.25,1.23,1.25,1.25,20000,0.0,1.0
160,2019-03-12,1.25,1.55,1.2,1.2,1.2,73000,0.0,1.0
161,2019-03-11,1.26,1.2599,1.24,1.24,1.24,6000,0.0,1.0
162,2019-03-08,1.26,1.26,1.26,1.26,1.26,100,0.0,1.0
163,2019-03-07,1.33,1.33,1.26,1.26,1.26,3400,0.0,1.0
164,2019-03-06,1.32,1.32,1.304,1.32,1.32,1700,0.0,1.0
