,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,20.33,20.55,20.2901,20.44,20.44,24797,0.0,1.0
1,2019-10-25,20.36,20.67,20.35,20.35,20.35,52600,0.0,1.0
2,2019-10-24,20.85,20.85,20.16,20.4,20.4,76000,0.0,1.0
3,2019-10-23,20.77,20.99,20.61,20.81,20.81,67800,0.0,1.0
4,2019-10-22,20.46,20.94,20.46,20.8,20.8,88400,0.0,1.0
5,2019-10-21,20.0,20.47,19.99,20.46,20.46,126600,0.0,1.0
6,2019-10-18,19.73,19.98,19.73,19.96,19.96,70600,0.0,1.0
7,2019-10-17,19.77,19.84,19.61,19.83,19.83,92700,0.0,1.0
8,2019-10-16,19.62,19.86,19.59,19.67,19.67,56400,0.0,1.0
9,2019-10-15,19.62,19.7,19.4,19.68,19.68,66700,0.0,1.0
10,2019-10-14,19.4,19.61,19.1,19.58,19.58,69800,0.0,1.0
11,2019-10-11,19.49,19.7,19.31,19.34,19.34,102500,0.0,1.0
12,2019-10-10,19.24,19.31,19.1,19.25,19.25,77800,0.0,1.0
13,2019-10-09,19.11,19.26,18.95,19.2,19.2,88300,0.0,1.0
14,2019-10-08,18.81,19.05,18.71,18.93,18.93,86600,0.0,1.0
15,2019-10-07,18.83,19.06,18.74,18.88,18.88,49400,0.0,1.0
16,2019-10-04,18.82,19.07,18.7,18.95,18.95,70900,0.0,1.0
17,2019-10-03,18.95,19.22,18.62,18.76,18.76,68700,0.0,1.0
18,2019-10-02,19.07,19.17,18.9,19.04,19.04,88900,0.0,1.0
19,2019-10-01,19.38,19.65,19.07,19.18,19.18,111500,0.0,1.0
20,2019-09-30,19.46,19.59,19.27,19.3,19.3,79000,0.0,1.0
21,2019-09-27,19.54,19.65,19.24,19.41,19.41,58000,0.0,1.0
22,2019-09-26,19.47,19.67,19.31,19.37,19.37,79700,0.0,1.0
23,2019-09-25,19.32,19.59,19.15,19.49,19.49,108000,0.0,1.0
24,2019-09-24,19.6,19.73,19.21,19.25,19.25,79200,0.09,1.0
25,2019-09-23,19.43,19.79,19.43,19.63,19.54,71500,0.0,1.0
26,2019-09-20,19.84,20.03,19.48,19.55,19.4604,297300,0.0,1.0
27,2019-09-19,20.05,20.33,19.83,19.84,19.749,98300,0.0,1.0
28,2019-09-18,20.21,20.21,19.8,20.02,19.9282,118400,0.0,1.0
29,2019-09-17,19.79,20.12,19.67,20.06,19.968,92400,0.0,1.0
30,2019-09-16,19.78,19.95,19.65,19.86,19.7689,119400,0.0,1.0
31,2019-09-13,19.45,19.8,19.25,19.73,19.6395,282700,0.0,1.0
32,2019-09-12,19.04,19.63,18.68,19.51,19.4205,110200,0.0,1.0
33,2019-09-11,18.76,19.04,18.45,18.97,18.883,132400,0.0,1.0
34,2019-09-10,18.05,18.68,18.04,18.65,18.5645,96200,0.0,1.0
35,2019-09-09,17.8,18.19,17.73,18.18,18.0966,113500,0.0,1.0
36,2019-09-06,18.17,18.27,17.9,17.91,17.8279,56300,0.0,1.0
37,2019-09-05,17.95,18.37,17.88,18.05,17.9672,103500,0.0,1.0
38,2019-09-04,17.58,17.76,17.51,17.71,17.6288,64500,0.0,1.0
39,2019-09-03,17.51,17.54,17.21,17.45,17.37,78800,0.0,1.0
40,2019-08-30,17.66,17.68,17.43,17.55,17.4695,72500,0.0,1.0
41,2019-08-29,17.54,17.78,17.47,17.58,17.4994,67900,0.0,1.0
42,2019-08-28,17.18,17.46,17.1,17.42,17.3401,99300,0.0,1.0
43,2019-08-27,17.58,17.58,17.11,17.12,17.0415,113300,0.0,1.0
44,2019-08-26,17.57,17.57,17.34,17.5,17.4198,82200,0.0,1.0
45,2019-08-23,17.8,17.92,17.33,17.44,17.36,94400,0.0,1.0
46,2019-08-22,17.79,17.93,17.56,17.9,17.8179,113300,0.0,1.0
47,2019-08-21,17.75,17.9,17.57,17.73,17.6487,103700,0.0,1.0
48,2019-08-20,17.5,17.67,17.4,17.59,17.5094,184500,0.0,1.0
49,2019-08-19,17.68,17.77,17.48,17.5,17.4198,96500,0.0,1.0
50,2019-08-16,17.28,17.6,17.28,17.58,17.4994,133900,0.0,1.0
51,2019-08-15,16.91,17.22,16.88,17.19,17.1112,110700,0.0,1.0
52,2019-08-14,16.85,16.95,16.75,16.88,16.8026,120700,0.0,1.0
53,2019-08-13,17.11,17.48,17.08,17.24,17.161,62600,0.0,1.0
54,2019-08-12,16.94,17.23,16.91,17.11,17.0316,68200,0.0,1.0
55,2019-08-09,16.92,17.19,16.8,17.03,16.9519,112900,0.0,1.0
56,2019-08-08,16.65,17.03,16.6499,16.96,16.8822,251100,0.0,1.0
57,2019-08-07,16.33,16.6,16.2802,16.54,16.4642,71700,0.0,1.0
58,2019-08-06,16.58,16.81,16.3103,16.55,16.4741,281500,0.0,1.0
59,2019-08-05,16.6492,16.82,16.34,16.55,16.4741,81400,0.0,1.0
60,2019-08-02,17.12,17.21,16.99,17.01,16.932,194500,0.0,1.0
61,2019-08-01,17.3103,17.83,17.23,17.27,17.1908,108100,0.0,1.0
62,2019-07-31,17.81,17.9,17.29,17.34,17.2605,133200,0.0,1.0
63,2019-07-30,17.09,17.8887,16.87,17.81,17.7283,150900,0.0,1.0
64,2019-07-29,17.5,17.56,17.11,17.24,17.161,110700,0.0,1.0
65,2019-07-26,17.3978,17.64,17.4,17.54,17.4596,112800,0.0,1.0
66,2019-07-25,17.55,17.88,17.34,17.35,17.2705,92900,0.0,1.0
67,2019-07-24,17.4,17.55,17.1317,17.52,17.4397,156100,0.0,1.0
68,2019-07-23,17.47,17.63,17.35,17.39,17.3103,64200,0.0,1.0
69,2019-07-22,17.47,17.51,17.3,17.43,17.3501,77000,0.0,1.0
70,2019-07-19,17.55,17.75,17.43,17.46,17.3799,86800,0.0,1.0
71,2019-07-18,17.51,17.65,17.44,17.62,17.5392,107200,0.0,1.0
72,2019-07-17,17.63,17.631,17.1,17.52,17.4397,109300,0.0,1.0
73,2019-07-16,17.36,17.7,17.32,17.56,17.4795,59500,0.0,1.0
74,2019-07-15,17.57,17.57,17.23,17.4,17.3202,75200,0.0,1.0
75,2019-07-12,17.27,17.55,17.23,17.51,17.4297,72800,0.0,1.0
76,2019-07-11,17.46,17.58,17.11,17.2,17.1211,63500,0.0,1.0
77,2019-07-10,17.1,17.49,17.1,17.46,17.3799,95100,0.0,1.0
78,2019-07-09,17.04,17.3399,16.86,17.16,17.0813,133400,0.0,1.0
79,2019-07-08,16.97,17.1,16.92,17.09,17.0116,52000,0.0,1.0
80,2019-07-05,16.83,17.02,16.7,16.97,16.8922,51700,0.0,1.0
81,2019-07-03,17.0,17.1,16.93,17.02,16.942,33400,0.0,1.0
82,2019-07-02,17.27,17.27,16.74,17.0,16.9221,93600,0.0,1.0
83,2019-07-01,17.3,17.45,16.85,17.19,17.1112,350200,0.0,1.0
84,2019-06-28,16.89,17.56,16.89,17.43,17.3501,403600,0.0,1.0
85,2019-06-27,16.25,16.959,16.24,16.96,16.8822,169500,0.0,1.0
86,2019-06-26,16.44,16.63,16.06,16.24,16.1655,94400,0.0,1.0
87,2019-06-25,16.6,16.5998,16.34,16.44,16.3646,87300,0.0,1.0
88,2019-06-24,16.81,16.925,16.55,16.62,16.5438,143800,0.08,1.0
89,2019-06-21,16.98,17.076,16.78,16.82,16.6632,190200,0.0,1.0
90,2019-06-20,16.98,17.19,16.81,17.12,16.9605,123300,0.0,1.0
91,2019-06-19,16.83,16.8791,16.6,16.78,16.6236,67700,0.0,1.0
92,2019-06-18,16.65,17.0,16.65,16.75,16.5939,85900,0.0,1.0
93,2019-06-17,16.51,16.63,16.42,16.62,16.4651,73800,0.0,1.0
94,2019-06-14,16.74,16.93,16.42,16.55,16.3958,64700,0.0,1.0
95,2019-06-13,16.749,16.89,16.67,16.73,16.5741,374400,0.0,1.0
96,2019-06-12,16.35,16.82,16.26,16.66,16.5047,87200,0.0,1.0
97,2019-06-11,16.32,16.385,16.14,16.35,16.1976,77400,0.0,1.0
98,2019-06-10,16.28,16.34,16.0288,16.15,15.9995,97200,0.0,1.0
99,2019-06-07,15.84,16.1404,15.84,16.1,15.95,54400,0.0,1.0
100,2019-06-06,15.93,15.93,15.59,15.74,15.5933,48500,0.0,1.0
101,2019-06-05,16.12,16.12,15.86,15.95,15.8014,52500,0.0,1.0
102,2019-06-04,15.91,16.17,15.87,16.16,16.0094,52900,0.0,1.0
103,2019-06-03,15.44,15.87,15.44,15.78,15.6329,88100,0.0,1.0
104,2019-05-31,15.28,15.4607,14.955,15.44,15.2961,157700,0.0,1.0
105,2019-05-30,15.49,15.535,15.2607,15.41,15.2664,120400,0.0,1.0
106,2019-05-29,15.79,15.79,15.28,15.42,15.2763,83300,0.0,1.0
107,2019-05-28,16.2211,16.39,15.91,15.96,15.8113,120300,0.0,1.0
108,2019-05-24,16.39,16.4,16.08,16.23,16.0787,51800,0.0,1.0
109,2019-05-23,16.43,16.43,16.17,16.29,16.1382,79200,0.0,1.0
110,2019-05-22,16.39,16.64,16.31,16.53,16.376,66900,0.0,1.0
111,2019-05-21,16.24,16.5,16.22,16.47,16.3165,60000,0.0,1.0
112,2019-05-20,16.32,16.32,16.04,16.17,16.0193,63100,0.0,1.0
113,2019-05-17,16.39,16.68,16.3,16.41,16.2571,133000,0.0,1.0
114,2019-05-16,16.28,16.67,16.1198,16.4,16.2472,107400,0.0,1.0
115,2019-05-15,16.16,16.2794,15.97,16.27,16.1184,71100,0.0,1.0
116,2019-05-14,16.1,16.31,16.05,16.27,16.1184,94000,0.0,1.0
117,2019-05-13,16.21,16.35,15.945,16.08,15.9301,75700,0.0,1.0
118,2019-05-10,16.23,16.4,16.145,16.4,16.2472,75600,0.0,1.0
119,2019-05-09,15.93,16.4,15.77,16.29,16.1382,100200,0.0,1.0
120,2019-05-08,16.29,16.3,15.92,16.02,15.8707,138800,0.0,1.0
121,2019-05-07,16.1503,16.28,15.525,15.72,15.5735,49400,0.0,1.0
122,2019-05-06,16.05,16.39,16.02,16.21,16.0589,68200,0.0,1.0
123,2019-05-03,15.96,16.3,15.96,16.29,16.1382,101500,0.0,1.0
124,2019-05-02,16.21,16.44,15.8,15.89,15.7419,106400,0.0,1.0
125,2019-05-01,15.74,16.29,15.68,16.28,16.1283,108900,0.0,1.0
126,2019-04-30,16.33,16.42,15.65,15.66,15.5141,290300,0.0,1.0
127,2019-04-29,16.08,16.45,16.015,16.28,16.1283,97100,0.0,1.0
128,2019-04-26,15.8901,16.17,15.56,16.04,15.8905,77500,0.0,1.0
129,2019-04-25,15.71,15.97,15.63,15.88,15.732,111900,0.0,1.0
130,2019-04-24,15.1586,15.79,15.01,15.75,15.6032,167700,0.0,1.0
131,2019-04-23,14.74,15.23,14.652,15.16,15.0187,138100,0.0,1.0
132,2019-04-22,15.01,15.05,14.59,14.67,14.5333,76900,0.0,1.0
133,2019-04-18,14.86,15.27,14.86,15.07,14.9296,126800,0.0,1.0
134,2019-04-17,14.92,15.03,14.665,14.96,14.8206,77500,0.0,1.0
135,2019-04-16,14.78,15.13,14.675,14.86,14.7215,84700,0.0,1.0
136,2019-04-15,14.73,14.784,14.4,14.69,14.5531,60900,0.0,1.0
137,2019-04-12,14.71,14.7998,14.61,14.67,14.5333,56600,0.0,1.0
138,2019-04-11,14.6,14.78,14.54,14.59,14.454,55700,0.0,1.0
139,2019-04-10,14.09,14.6,14.08,14.59,14.454,87900,0.0,1.0
140,2019-04-09,14.07,14.25,14.03,14.05,13.9191,111700,0.0,1.0
141,2019-04-08,14.13,14.2191,14.08,14.12,13.9884,46600,0.0,1.0
142,2019-04-05,14.35,14.44,14.18,14.2,14.0677,84200,0.0,1.0
143,2019-04-04,14.28,14.49,14.21,14.25,14.1172,51400,0.0,1.0
144,2019-04-03,14.01,14.26,13.99,14.24,14.1073,156900,0.0,1.0
145,2019-04-02,14.22,14.22,13.9,13.98,13.8497,106000,0.0,1.0
146,2019-04-01,14.2202,14.545,14.19,14.29,14.1568,176600,0.0,1.0
147,2019-03-29,14.3,14.36,13.96,14.14,14.0082,293800,0.0,1.0
148,2019-03-28,14.27,14.43,14.0199,14.19,14.0578,41500,0.0,1.0
149,2019-03-27,14.25,14.31,14.15,14.23,14.0974,73500,0.0,1.0
150,2019-03-26,14.32,14.47,14.145,14.26,14.1271,55000,0.0,1.0
151,2019-03-25,13.83,14.3787,13.75,14.32,14.1865,96000,0.0,1.0
152,2019-03-22,14.58,14.6485,13.805,13.82,13.6912,77100,0.08,1.0
153,2019-03-21,14.73,15.11,14.61,14.72,14.5036,103500,0.0,1.0
154,2019-03-20,14.93,15.126,14.47,14.75,14.5331,67900,0.0,1.0
155,2019-03-19,15.26,15.26,14.7,14.94,14.7203,80100,0.0,1.0
156,2019-03-18,15.09,15.26,14.9982,15.24,15.0159,64000,0.0,1.0
157,2019-03-15,14.97,15.16,14.91,15.08,14.8583,555500,0.0,1.0
158,2019-03-14,15.3104,15.31,14.96,14.99,14.7696,77100,0.0,1.0
159,2019-03-13,15.46,15.51,14.75,15.36,15.1342,40100,0.0,1.0
160,2019-03-12,15.65,15.8,15.43,15.45,15.2228,43600,0.0,1.0
161,2019-03-11,15.47,15.79,15.295,15.65,15.4199,342400,0.0,1.0
162,2019-03-08,15.41,15.5,15.29,15.42,15.1933,80700,0.0,1.0
163,2019-03-07,15.84,15.87,15.4113,15.42,15.1933,102900,0.0,1.0
164,2019-03-06,16.05,16.05,15.23,15.77,15.5381,83200,0.0,1.0
165,2019-03-05,16.05,16.1,15.73,16.01,15.7746,86600,0.0,1.0
166,2019-03-04,15.55,16.13,15.5,16.05,15.814,150100,0.0,1.0
167,2019-03-01,15.7,15.84,15.51,15.64,15.41,158400,0.0,1.0
168,2019-02-28,15.45,15.75,15.0991,15.69,15.4593,177100,0.0,1.0
169,2019-02-27,15.58,15.84,15.355,15.45,15.2228,157100,0.0,1.0
170,2019-02-26,15.1,15.7089,15.02,15.59,15.3608,197500,0.0,1.0
171,2019-02-25,15.31,15.36,15.02,15.09,14.8681,232300,0.0,1.0
172,2019-02-22,16.2,16.2,15.16,15.26,15.0356,229700,0.0,1.0
173,2019-02-21,16.24,16.32,16.11,16.2,15.9618,45600,0.0,1.0
174,2019-02-20,16.08,16.32,15.91,16.24,16.0012,78100,0.0,1.0
175,2019-02-19,15.76,16.17,15.35,16.09,15.8534,186100,0.0,1.0
176,2019-02-15,15.88,15.94,15.75,15.9,15.6662,78900,0.0,1.0
177,2019-02-14,15.6,15.919,15.57,15.8,15.5677,80200,0.0,1.0
178,2019-02-13,15.63,15.65,15.43,15.61,15.3805,85000,0.0,1.0
179,2019-02-12,15.25,15.88,15.23,15.65,15.4199,145900,0.0,1.0
180,2019-02-11,15.22,15.26,15.03,15.25,15.0258,71200,0.0,1.0
181,2019-02-08,15.42,15.56,15.1993,15.23,15.0061,58100,0.0,1.0
182,2019-02-07,15.44,15.54,15.1917,15.36,15.1342,49300,0.0,1.0
183,2019-02-06,15.24,15.6,14.985,15.53,15.3017,101000,0.0,1.0
184,2019-02-05,15.5799,15.91,14.32,15.18,14.9568,117000,0.0,1.0
185,2019-02-04,13.92,14.62,13.76,14.58,14.3656,260900,0.0,1.0
186,2019-02-01,14.12,14.12,13.6,13.91,13.7055,98200,0.0,1.0
187,2019-01-31,13.76,14.15,13.76,14.13,13.9222,84000,0.0,1.0
188,2019-01-30,13.79,13.82,13.49,13.76,13.5577,66100,0.0,1.0
189,2019-01-29,13.81,13.85,13.685,13.77,13.5675,70900,0.0,1.0
190,2019-01-28,14.13,14.21,13.75,13.8,13.5971,53000,0.0,1.0
191,2019-01-25,14.22,14.33,14.06,14.19,13.9814,43000,0.0,1.0
192,2019-01-24,14.11,14.26,14.01,14.19,13.9814,54600,0.0,1.0
193,2019-01-23,14.36,14.565,14.0,14.11,13.9025,57100,0.0,1.0
194,2019-01-22,14.78,15.17,14.3,14.34,14.1292,69900,0.0,1.0
195,2019-01-18,14.33,14.89,14.32,14.86,14.6415,302000,0.0,1.0
196,2019-01-17,14.21,14.36,14.06,14.32,14.1094,80000,0.0,1.0
197,2019-01-16,14.67,14.77,14.27,14.3,14.0897,99600,0.0,1.0
198,2019-01-15,14.71,14.83,14.57,14.67,14.4543,63600,0.0,1.0
199,2019-01-14,15.2,15.2,14.67,14.68,14.4642,71400,0.0,1.0
200,2019-01-11,15.13,15.32,14.94,15.3,15.075,117700,0.0,1.0
201,2019-01-10,15.24,15.3,15.03,15.21,14.9864,63200,0.0,1.0
202,2019-01-09,15.48,15.48,15.24,15.31,15.0849,54000,0.0,1.0
203,2019-01-08,14.92,15.53,14.92,15.48,15.2524,97900,0.0,1.0
204,2019-01-07,14.83,14.95,14.67,14.91,14.6908,283800,0.0,1.0
205,2019-01-04,14.49,14.87,14.05,14.83,14.6119,288200,0.0,1.0
206,2019-01-03,14.55,14.65,14.005,14.38,14.1686,73900,0.0,1.0
207,2019-01-02,14.07,14.53,13.51,14.44,14.2277,303600,0.0,1.0
208,2018-12-31,14.21,14.73,13.97,14.19,13.9814,100000,0.0,1.0
209,2018-12-28,14.3,14.56,14.14,14.21,14.0011,99200,0.0,1.0
210,2018-12-27,14.2608,14.39,13.91,14.33,14.1193,98700,0.0,1.0
211,2018-12-26,14.05,14.45,13.822,14.45,14.2375,115600,0.0,1.0
212,2018-12-24,14.69,14.69,14.0092,14.02,13.8139,53800,0.0,1.0
213,2018-12-21,15.01,15.12,14.62,14.75,14.5331,228000,0.0,1.0
214,2018-12-20,14.6207,15.22,14.49,15.12,14.8977,152400,0.08,1.0
215,2018-12-19,14.86,15.35,14.67,14.76,14.4642,121300,0.0,1.0
216,2018-12-18,14.62,14.96,14.62,14.94,14.6405,139200,0.0,1.0
217,2018-12-17,14.67,14.8,14.38,14.57,14.278,169300,0.0,1.0
218,2018-12-14,14.54,14.9,14.54,14.68,14.3858,110600,0.0,1.0
219,2018-12-13,14.9,15.09,14.62,14.65,14.3564,104500,0.0,1.0
220,2018-12-12,14.85,15.14,14.61,14.89,14.5915,99800,0.0,1.0
221,2018-12-11,14.87,15.1,14.55,14.7,14.4054,111300,0.0,1.0
222,2018-12-10,14.38,14.75,14.38,14.71,14.4152,201600,0.0,1.0
223,2018-12-07,14.76,14.94,14.43,14.45,14.1604,114000,0.0,1.0
224,2018-12-06,14.59,14.8,14.48,14.79,14.4936,85200,0.0,1.0
225,2018-12-04,15.25,15.29,14.5,14.72,14.425,186100,0.0,1.0
226,2018-12-03,15.4,15.4,15.11,15.29,14.9835,89400,0.0,1.0
227,2018-11-30,15.42,15.4354,15.056,15.26,14.9541,81400,0.0,1.0
228,2018-11-29,15.42,15.58,15.34,15.41,15.1011,66400,0.0,1.0
229,2018-11-28,15.09,15.46,14.93,15.41,15.1011,94300,0.0,1.0
230,2018-11-27,15.47,15.53,15.0294,15.1,14.7973,43300,0.0,1.0
231,2018-11-26,15.74,15.89,15.5,15.55,15.2383,38000,0.0,1.0
232,2018-11-23,15.61,15.8,15.6,15.66,15.3461,27700,0.0,1.0
233,2018-11-21,15.5395,15.9,15.54,15.72,15.4049,46100,0.0,1.0
234,2018-11-20,15.76,15.99,15.49,15.54,15.2285,69200,0.0,1.0
235,2018-11-19,15.8488,16.08,15.78,15.91,15.5911,52000,0.0,1.0
236,2018-11-16,16.1,16.28,15.83,15.86,15.5421,59800,0.0,1.0
237,2018-11-15,15.99,16.64,15.9,16.22,15.8949,46400,0.0,1.0
238,2018-11-14,16.06,16.33,15.99,16.05,15.7283,57400,0.0,1.0
239,2018-11-13,16.05,16.19,15.91,16.0,15.6793,79200,0.0,1.0
240,2018-11-12,15.99,16.26,15.92,15.98,15.6597,53700,0.0,1.0
241,2018-11-09,16.06,16.58,15.9,15.99,15.6695,87900,0.0,1.0
242,2018-11-08,16.4,16.4004,15.965,16.07,15.7479,110900,0.0,1.0
243,2018-11-07,16.0695,16.47,15.99,16.42,16.0909,60200,0.0,1.0
244,2018-11-06,16.51,16.51,15.82,16.04,15.7185,110600,0.0,1.0
245,2018-11-05,16.6,16.85,16.31,16.51,16.1791,45700,0.0,1.0
246,2018-11-02,16.58,16.98,16.52,16.55,16.2183,47200,0.0,1.0
247,2018-11-01,16.48,16.665,16.35,16.49,16.1595,118600,0.0,1.0
248,2018-10-31,16.42,16.55,16.25,16.46,16.1301,105100,0.0,1.0
249,2018-10-30,15.9,16.4012,15.88,16.35,16.0223,69600,0.0,1.0
250,2018-10-29,16.13,16.35,15.75,15.89,15.5715,64400,0.0,1.0
251,2018-10-26,16.33,16.39,15.8716,16.0,15.6793,81100,0.0,1.0
252,2018-10-25,16.15,16.6,16.15,16.43,16.1007,85000,0.0,1.0
253,2018-10-24,16.34,16.52,16.09,16.11,15.7871,104800,0.0,1.0
254,2018-10-23,15.93,16.57,15.77,16.35,16.0223,94800,0.0,1.0
255,2018-10-22,15.89,16.23,15.89,16.13,15.8067,64600,0.0,1.0
256,2018-10-19,15.92,16.05,15.81,15.9,15.5813,58000,0.0,1.0
257,2018-10-18,16.22,16.23,15.9312,15.94,15.6205,55100,0.0,1.0
258,2018-10-17,16.23,16.25,15.94,16.21,15.8851,52700,0.0,1.0
259,2018-10-16,16.09,16.39,15.83,16.27,15.9439,50600,0.0,1.0
260,2018-10-15,15.67,16.17,15.67,16.04,15.7185,114900,0.0,1.0
261,2018-10-12,16.15,16.38,15.66,15.68,15.3657,114800,0.0,1.0
262,2018-10-11,16.17,16.59,16.01,16.05,15.7283,160500,0.0,1.0
263,2018-10-10,16.46,16.65,16.28,16.3,15.9733,81500,0.0,1.0
264,2018-10-09,16.47,16.755,16.44,16.49,16.1595,64500,0.0,1.0
265,2018-10-08,16.52,17.11,16.49,16.51,16.1791,47400,0.0,1.0
266,2018-10-05,16.55,16.95,16.465,16.52,16.1889,136000,0.0,1.0
267,2018-10-04,16.72,16.87,16.53,16.55,16.2183,308300,0.0,1.0
268,2018-10-03,16.41,16.76,16.41,16.76,16.4241,52100,0.0,1.0
269,2018-10-02,16.49,16.5808,16.29,16.47,16.1399,57400,0.0,1.0
270,2018-10-01,16.79,16.937,16.44,16.48,16.1497,63300,0.0,1.0
271,2018-09-28,16.83,16.99,16.72,16.75,16.4143,64600,0.0,1.0
272,2018-09-27,17.12,17.49,16.78,16.82,16.4829,58400,0.0,1.0
273,2018-09-26,17.38,17.5,17.04,17.07,16.7278,55200,0.0,1.0
274,2018-09-25,17.47,17.62,17.3296,17.35,17.0022,96100,0.0,1.0
275,2018-09-24,17.63,17.87,17.39,17.43,17.0806,89600,0.08,1.0
276,2018-09-21,17.45,17.79,17.41,17.77,17.3354,309700,0.0,1.0
277,2018-09-20,17.3507,17.5,17.32,17.47,17.0428,55400,0.0,1.0
278,2018-09-19,17.57,17.65,17.27,17.32,16.8964,52900,0.0,1.0
279,2018-09-18,17.78,17.82,16.965,17.63,17.1988,95700,0.0,1.0
280,2018-09-17,17.82,17.9,17.74,17.78,17.3452,77200,0.0,1.0
281,2018-09-14,17.65,17.9,17.6,17.83,17.394,77100,0.0,1.0
282,2018-09-13,17.59,17.65,17.31,17.61,17.1793,65200,0.0,1.0
283,2018-09-12,17.35,17.6,17.31,17.55,17.1208,155500,0.0,1.0
284,2018-09-11,17.45,17.5995,17.4,17.4,16.9745,49200,0.0,1.0
285,2018-09-10,17.6,17.66,17.45,17.46,17.033,44300,0.0,1.0
