,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,58.8,59.34,58.285,58.4369,58.4369,9626060,0.0,1.0
1,2019-10-25,50.84,51.06,50.49,50.57,50.57,824200,0.0,1.0
2,2019-10-24,50.56,50.9,50.17,50.83,50.83,634600,0.0,1.0
3,2019-10-23,50.34,50.45,49.79,50.26,50.26,813800,0.0,1.0
4,2019-10-22,51.07,51.07,50.2,50.29,50.29,583700,0.0,1.0
5,2019-10-21,50.7,51.02,50.57,50.94,50.94,632800,0.0,1.0
6,2019-10-18,50.62,50.89,50.42,50.76,50.76,563400,0.0,1.0
7,2019-10-17,50.54,50.73,50.34,50.54,50.54,668200,0.0,1.0
8,2019-10-16,50.84,51.11,50.08,50.49,50.49,684100,0.0,1.0
9,2019-10-15,50.98,51.24,50.66,50.89,50.89,926700,0.0,1.0
10,2019-10-14,51.16,51.16,50.64,50.85,50.85,554500,0.0,1.0
11,2019-10-11,51.0,51.62,50.64,51.0,51.0,740000,0.0,1.0
12,2019-10-10,50.9,51.23,50.63,50.84,50.84,1146000,0.0,1.0
13,2019-10-09,51.4,51.46,50.77,50.85,50.85,1422200,0.0,1.0
14,2019-10-08,51.18,51.42,50.4,51.21,51.21,1437600,0.0,1.0
15,2019-10-07,51.0,51.62,50.72,51.42,51.42,799600,0.0,1.0
16,2019-10-04,51.45,51.81,50.98,51.04,51.04,1039800,0.0,1.0
17,2019-10-03,50.96,51.72,50.75,51.4,51.4,703700,0.0,1.0
18,2019-10-02,50.62,51.06,50.29,51.05,51.05,783400,0.0,1.0
19,2019-10-01,51.35,51.45,50.35,50.63,50.63,808600,0.0,1.0
20,2019-09-30,51.21,51.57,51.13,51.33,51.33,974700,0.41,1.0
21,2019-09-27,51.59,51.9,51.21,51.54,51.13,969700,0.0,1.0
22,2019-09-26,51.36,51.48,51.03,51.38,50.9713,670000,0.0,1.0
23,2019-09-25,50.96,51.33,50.86,51.24,50.8324,586800,0.0,1.0
24,2019-09-24,51.46,51.68,50.84,50.93,50.5249,887500,0.0,1.0
25,2019-09-23,50.79,51.43,50.6,51.26,50.8522,766400,0.0,1.0
26,2019-09-20,51.18,51.41,50.7,50.76,50.3562,2374300,0.0,1.0
27,2019-09-19,51.26,51.37,51.0,51.13,50.7233,763500,0.0,1.0
28,2019-09-18,51.56,51.57,50.74,51.06,50.6538,1187400,0.0,1.0
29,2019-09-17,51.22,51.71,51.18,51.34,50.9316,905100,0.0,1.0
30,2019-09-16,50.8,51.56,50.74,51.38,50.9713,646200,0.0,1.0
31,2019-09-13,51.21,51.42,50.5,50.75,50.3463,1013300,0.0,1.0
32,2019-09-12,51.16,51.61,51.0,51.36,50.9514,937400,0.0,1.0
33,2019-09-11,51.01,51.01,50.06,50.69,50.2868,1112500,0.0,1.0
34,2019-09-10,51.3,51.57,50.38,51.08,50.6737,2471200,0.0,1.0
35,2019-09-09,50.77,51.35,50.47,51.31,50.9018,2828400,0.0,1.0
36,2019-09-06,49.07,50.58,49.03,50.49,50.0884,10061200,0.0,1.0
37,2019-09-05,52.73,52.9,51.96,52.08,51.6657,502300,0.0,1.0
38,2019-09-04,52.95,52.98,52.44,52.66,52.2411,928900,0.0,1.0
39,2019-09-03,51.98,52.62,51.77,52.49,52.0724,436900,0.0,1.0
40,2019-08-30,52.16,52.25,51.82,52.12,51.7054,407800,0.0,1.0
41,2019-08-29,51.74,52.46,51.53,52.01,51.5963,752400,0.0,1.0
42,2019-08-28,51.22,51.53,51.07,51.38,50.9713,565500,0.0,1.0
43,2019-08-27,51.92,52.17,51.25,51.27,50.8621,725900,0.0,1.0
44,2019-08-26,51.64,51.74,51.1,51.53,51.1201,610100,0.0,1.0
45,2019-08-23,52.02,52.37,51.14,51.27,50.8621,485000,0.0,1.0
46,2019-08-22,52.07,52.33,51.76,52.17,51.755,230600,0.0,1.0
47,2019-08-21,51.88,52.23,51.62,52.04,51.626,459700,0.0,1.0
48,2019-08-20,52.88,52.88,51.6,51.65,51.2391,553200,0.0,1.0
49,2019-08-19,52.43,52.82,52.18,52.8,52.38,608600,0.0,1.0
50,2019-08-16,51.42,52.26,50.48,52.1,51.6855,543400,0.0,1.0
51,2019-08-15,50.73,51.38,50.48,51.32,50.9117,709700,0.0,1.0
52,2019-08-14,51.12,51.43,50.45,50.46,50.0586,1401600,0.0,1.0
53,2019-08-13,51.7,52.095,51.4,51.54,51.13,773700,0.0,1.0
54,2019-08-12,51.96,52.2,51.5247,51.72,51.3086,464300,0.0,1.0
55,2019-08-09,52.13,52.36,51.41,52.13,51.7153,730700,0.0,1.0
56,2019-08-08,51.51,52.44,51.23,52.28,51.8641,897700,0.0,1.0
57,2019-08-07,50.81,51.645,50.16,51.43,51.0209,530900,0.0,1.0
58,2019-08-06,50.37,51.43,50.23,51.06,50.6538,727900,0.0,1.0
59,2019-08-05,50.46,50.603,49.47,50.24,49.8403,996700,0.0,1.0
60,2019-08-02,52.0812,52.17,50.8,50.81,50.4058,1453000,0.0,1.0
61,2019-08-01,52.43,52.82,52.13,52.29,51.874,994500,0.0,1.0
62,2019-07-31,52.82,53.1,51.98,52.3,51.884,676400,0.0,1.0
63,2019-07-30,52.61,53.37,51.92,52.8,52.38,882800,0.0,1.0
64,2019-07-29,52.77,53.39,52.65,53.13,52.7074,562300,0.0,1.0
65,2019-07-26,52.6,53.03,52.41,52.67,52.251,498700,0.0,1.0
66,2019-07-25,52.79,52.79,52.2227,52.53,52.1121,1010500,0.0,1.0
67,2019-07-24,52.8,53.05,52.49,52.92,52.499,954100,0.0,1.0
68,2019-07-23,51.84,52.91,51.5,52.8,52.38,1392800,0.0,1.0
69,2019-07-22,51.09,51.78,50.55,51.58,51.1697,890200,0.0,1.0
70,2019-07-19,51.45,51.6181,50.62,50.77,50.3661,1032100,0.0,1.0
71,2019-07-18,51.0,51.61,50.781,51.46,51.0506,588300,0.0,1.0
72,2019-07-17,51.05,51.31,50.63,51.08,50.6737,736800,0.0,1.0
73,2019-07-16,50.76,51.28,50.54,51.0,50.5943,485200,0.0,1.0
74,2019-07-15,51.05,51.19,50.7564,50.79,50.386,756000,0.0,1.0
75,2019-07-12,50.9,51.0,50.6305,50.87,50.4653,549700,0.0,1.0
76,2019-07-11,51.75,51.75,50.67,50.94,50.5348,1300800,0.0,1.0
77,2019-07-10,51.91,51.91,51.48,51.72,51.3086,568400,0.0,1.0
78,2019-07-09,51.43,51.65,51.26,51.58,51.1697,491500,0.0,1.0
79,2019-07-08,51.41,51.65,51.2,51.49,51.0804,464600,0.0,1.0
80,2019-07-05,51.15,51.65,50.46,51.55,51.1399,460300,0.0,1.0
81,2019-07-03,51.07,51.64,50.85,51.57,51.1598,356000,0.0,1.0
82,2019-07-02,50.16,51.04,50.16,50.9,50.4951,796700,0.0,1.0
83,2019-07-01,50.53,50.53,49.37,50.08,49.6816,673500,0.0,1.0
84,2019-06-28,49.52,50.065,49.39,50.04,49.6419,1320300,0.41,1.0
85,2019-06-27,49.52,49.91,49.263,49.91,49.1062,684700,0.0,1.0
86,2019-06-26,49.98,49.98,48.82,49.27,48.4765,940000,0.0,1.0
87,2019-06-25,50.52,50.7,49.89,49.94,49.1357,690500,0.0,1.0
88,2019-06-24,51.0315,51.03,50.31,50.37,49.5588,380100,0.0,1.0
89,2019-06-21,50.91,50.91,50.37,50.85,50.0311,1603700,0.0,1.0
90,2019-06-20,51.07,51.41,50.81,51.16,50.3361,599200,0.0,1.0
91,2019-06-19,50.5946,50.86,50.14,50.75,49.9327,579700,0.0,1.0
92,2019-06-18,50.81,51.07,50.11,50.65,49.8343,737100,0.0,1.0
93,2019-06-17,50.38,50.59,50.12,50.53,49.7162,525100,0.0,1.0
94,2019-06-14,50.2,50.42,49.995,50.24,49.4309,802200,0.0,1.0
95,2019-06-13,49.73,50.27,49.65,50.17,49.362,524600,0.0,1.0
96,2019-06-12,49.45,49.79,49.19,49.61,48.8111,686900,0.0,1.0
97,2019-06-11,49.59,49.69,49.0,49.47,48.6733,553300,0.0,1.0
98,2019-06-10,49.45,49.75,49.11,49.46,48.6635,562600,0.0,1.0
99,2019-06-07,49.32,49.54,48.95,49.45,48.6536,537100,0.0,1.0
100,2019-06-06,48.66,49.14,48.4,48.99,48.201,603600,0.0,1.0
101,2019-06-05,48.0,48.76,47.755,48.69,47.9059,630800,0.0,1.0
102,2019-06-04,47.83,47.83,46.91,47.65,46.8826,636200,0.0,1.0
103,2019-06-03,47.59,47.84,47.22,47.75,46.981,759300,0.0,1.0
104,2019-05-31,47.04,47.6701,46.82,47.47,46.7055,885600,0.0,1.0
105,2019-05-30,47.11,47.46,47.02,47.18,46.4202,436900,0.0,1.0
106,2019-05-29,47.66,47.67,46.87,47.11,46.3513,616600,0.0,1.0
107,2019-05-28,48.63,48.73,47.82,47.82,47.0499,975300,0.0,1.0
108,2019-05-24,48.63,48.85,48.36,48.42,47.6402,605300,0.0,1.0
109,2019-05-23,48.2,48.39,47.831,48.38,47.6009,628500,0.0,1.0
110,2019-05-22,48.66,48.66,48.22,48.53,47.7485,435500,0.0,1.0
111,2019-05-21,47.58,48.71,47.56,48.65,47.8665,1513400,0.0,1.0
112,2019-05-20,47.84,47.9725,47.195,47.39,46.6268,618800,0.0,1.0
113,2019-05-17,48.1,48.2,47.73,48.07,47.2959,1469700,0.0,1.0
114,2019-05-16,48.1,48.43,48.02,48.21,47.4336,1140300,0.0,1.0
115,2019-05-15,47.76,48.327,47.44,48.0,47.227,715500,0.0,1.0
116,2019-05-14,47.82,47.96,47.47,47.66,46.8925,1306100,0.0,1.0
117,2019-05-13,47.67,48.06,47.52,47.68,46.9121,1149600,0.0,1.0
118,2019-05-10,48.08,48.47,47.8,48.1,47.3254,1321500,0.0,1.0
119,2019-05-09,48.05,48.265,47.68,48.08,47.3057,1595300,0.0,1.0
120,2019-05-08,48.65,48.94,48.12,48.15,47.3746,603600,0.0,1.0
121,2019-05-07,49.48,49.5,48.16,48.59,47.8075,583500,0.0,1.0
122,2019-05-06,49.24,49.74,49.05,49.64,48.8406,573000,0.0,1.0
123,2019-05-03,49.43,49.677,48.97,49.5,48.7028,712600,0.0,1.0
124,2019-05-02,49.72,50.23,49.11,49.19,48.3978,696400,0.0,1.0
125,2019-05-01,49.83,50.48,49.61,49.77,48.9685,1190900,0.0,1.0
126,2019-04-30,49.01,49.821,48.21,49.64,48.8406,1438900,0.0,1.0
127,2019-04-29,49.18,49.39,48.7,48.86,48.0731,619700,0.0,1.0
128,2019-04-26,49.07,49.415,48.962,49.33,48.5356,455100,0.0,1.0
129,2019-04-25,48.83,49.1,48.58,48.93,48.142,411600,0.0,1.0
130,2019-04-24,48.54,49.13,48.54,49.02,48.2306,545900,0.0,1.0
131,2019-04-23,47.95,48.62,47.83,48.51,47.7288,642000,0.0,1.0
132,2019-04-22,48.15,48.285,47.27,47.75,46.981,483900,0.0,1.0
133,2019-04-18,48.02,48.62,47.98,48.36,47.5812,623900,0.0,1.0
134,2019-04-17,48.15,48.41,47.56,47.96,47.1876,774800,0.0,1.0
135,2019-04-16,49.19,49.25,47.69,47.98,47.2073,749900,0.0,1.0
136,2019-04-15,49.77,49.77,48.93,49.14,48.3486,536700,0.0,1.0
137,2019-04-12,49.07,49.76,48.77,49.75,48.9488,823700,0.0,1.0
138,2019-04-11,49.32,49.69,48.86,49.15,48.3585,694400,0.0,1.0
139,2019-04-10,48.85,49.33,48.77,49.28,48.4864,641000,0.0,1.0
140,2019-04-09,48.98,49.15,48.63,48.67,47.8862,546400,0.0,1.0
141,2019-04-08,49.36,49.502,48.85,49.0,48.2109,432600,0.0,1.0
142,2019-04-05,49.19,49.42,48.97,49.35,48.5552,556100,0.0,1.0
143,2019-04-04,49.61,49.61,48.93,49.21,48.4175,542000,0.0,1.0
144,2019-04-03,49.16,49.51,48.76,49.51,48.7127,742500,0.0,1.0
145,2019-04-02,49.072,49.16,48.47,49.16,48.3683,853200,0.0,1.0
146,2019-04-01,48.48,49.01,48.13,49.01,48.2207,931200,0.0,1.0
147,2019-03-29,48.78,48.89,48.29,48.42,47.6402,1044000,0.41,1.0
148,2019-03-28,48.76,49.14,48.49,49.09,47.896,504000,0.0,1.0
149,2019-03-27,49.19,49.23,48.39,48.59,47.4082,790300,0.0,1.0
150,2019-03-26,48.43,49.04,48.19,49.04,47.8473,627500,0.0,1.0
151,2019-03-25,48.19,48.29,47.82,48.25,47.0765,691500,0.0,1.0
152,2019-03-22,48.65,48.91,48.03,48.11,46.9399,920200,0.0,1.0
153,2019-03-21,47.8473,48.73,47.64,48.64,47.457,957300,0.0,1.0
154,2019-03-20,47.85,48.345,47.56,47.89,46.7252,1065500,0.0,1.0
155,2019-03-19,48.36,48.36,47.8498,47.9,46.735,457400,0.0,1.0
156,2019-03-18,48.64,48.78,47.99,48.27,47.096,596100,0.0,1.0
157,2019-03-15,48.72,48.9,48.51,48.59,47.4082,1150100,0.0,1.0
158,2019-03-14,48.82,48.82,48.48,48.65,47.4667,642000,0.0,1.0
159,2019-03-13,48.7,49.01,48.56,48.7,47.5155,789600,0.0,1.0
160,2019-03-12,48.9,49.08,48.53,48.62,47.4375,795200,0.0,1.0
161,2019-03-11,48.35,48.81,48.01,48.79,47.6033,566200,0.0,1.0
162,2019-03-08,47.81,48.205,47.785,48.14,46.9691,1086300,0.0,1.0
163,2019-03-07,48.0,48.48,47.6768,47.81,46.6472,1103100,0.0,1.0
164,2019-03-06,48.16,48.35,47.83,47.91,46.7447,411300,0.0,1.0
165,2019-03-05,47.74,48.33,47.61,48.1,46.9301,567300,0.0,1.0
166,2019-03-04,47.56,47.83,47.19,47.76,46.5984,823700,0.0,1.0
167,2019-03-01,47.4,47.54,46.72,47.44,46.2862,799700,0.0,1.0
168,2019-02-28,47.54,48.18,47.23,47.33,46.1788,1195100,0.0,1.0
169,2019-02-27,47.71,47.71,47.0038,47.55,46.3935,765300,0.0,1.0
170,2019-02-26,47.87,47.94,47.58,47.83,46.6667,686700,0.0,1.0
171,2019-02-25,47.69,47.92,47.34,47.76,46.5984,772200,0.0,1.0
172,2019-02-22,47.69,48.05,47.54,47.59,46.4325,702200,0.0,1.0
173,2019-02-21,47.54,47.76,47.23,47.68,46.5203,673900,0.0,1.0
174,2019-02-20,47.59,47.625,47.03,47.55,46.3935,598800,0.0,1.0
175,2019-02-19,47.48,47.9,47.43,47.59,46.4325,717500,0.0,1.0
176,2019-02-15,47.66,47.86,47.37,47.54,46.3837,772500,0.0,1.0
177,2019-02-14,47.4,47.8971,47.28,47.48,46.3252,826700,0.0,1.0
178,2019-02-13,47.02,47.49,46.9,47.38,46.2276,715800,0.0,1.0
179,2019-02-12,47.46,47.517,46.865,47.14,45.9935,884100,0.0,1.0
180,2019-02-11,47.68,47.78,47.36,47.42,46.2667,1174700,0.0,1.0
181,2019-02-08,47.57,48.14,47.3,47.57,46.413,839800,0.0,1.0
182,2019-02-07,47.03,47.91,46.74,47.8,46.6374,725500,0.0,1.0
183,2019-02-06,47.0,47.22,46.45,47.07,45.9252,920900,0.0,1.0
184,2019-02-05,47.4,47.83,46.03,47.13,45.9837,1700400,0.0,1.0
185,2019-02-04,46.59,47.25,46.35,47.24,46.091,726600,0.0,1.0
186,2019-02-01,47.07,47.23,45.77,46.68,45.5447,1132100,0.0,1.0
187,2019-01-31,46.53,47.1815,46.16,47.14,45.9935,1344100,0.0,1.0
188,2019-01-30,46.22,46.8963,46.12,46.64,45.5056,1251300,0.0,1.0
189,2019-01-29,45.96,46.33,45.93,46.25,45.1251,582400,0.0,1.0
190,2019-01-28,45.42,46.045,45.2,46.03,44.9105,876500,0.0,1.0
191,2019-01-25,45.0996,45.62,45.09,45.62,44.5104,637800,0.0,1.0
192,2019-01-24,44.68,45.15,44.48,44.97,43.8762,666700,0.0,1.0
