,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,2.99,3.01,2.98,3.0,3.0,3131455,0.0,1.0
1,2019-10-25,3.0,3.08,2.99,3.05,3.05,6396200,0.0,1.0
2,2019-10-24,3.07,3.07,3.0,3.05,3.05,8013300,0.0,1.0
3,2019-10-23,3.07,3.08,3.05,3.05,3.05,6980100,0.0,1.0
4,2019-10-22,3.1,3.12,2.99,3.04,3.04,14464000,0.0,1.0
5,2019-10-21,3.15,3.16,3.12,3.13,3.13,5888900,0.0,1.0
6,2019-10-18,3.07,3.1,3.05,3.08,3.08,7925700,0.0,1.0
7,2019-10-17,3.13,3.16,3.06,3.07,3.07,12125500,0.0,1.0
8,2019-10-16,3.09,3.11,3.07,3.08,3.08,6969100,0.0,1.0
9,2019-10-15,2.94,3.13,2.94,3.07,3.07,14986100,0.0,1.0
10,2019-10-14,2.83,2.9,2.83,2.89,2.89,9638200,0.0,1.0
11,2019-10-11,2.94,2.98,2.9,2.93,2.93,15041500,0.0,1.0
12,2019-10-10,2.47,2.61,2.46,2.61,2.61,10137900,0.0,1.0
13,2019-10-09,2.45,2.45,2.43,2.44,2.44,3277100,0.0,1.0
14,2019-10-08,2.47,2.48,2.44,2.46,2.46,5340900,0.0,1.0
15,2019-10-07,2.53,2.53,2.5,2.5,2.5,4056000,0.0,1.0
16,2019-10-04,2.51,2.55,2.5,2.55,2.55,4365900,0.0,1.0
17,2019-10-03,2.52,2.54,2.49,2.52,2.52,5628900,0.0,1.0
18,2019-10-02,2.53,2.53,2.49,2.5,2.5,3955300,0.0,1.0
19,2019-10-01,2.61,2.61,2.56,2.58,2.58,4198800,0.0,1.0
20,2019-09-30,2.66,2.66,2.62,2.64,2.64,3715600,0.0,1.0
21,2019-09-27,2.65,2.67,2.63,2.66,2.66,2858100,0.0,1.0
22,2019-09-26,2.61,2.63,2.59,2.62,2.62,2902000,0.0,1.0
23,2019-09-25,2.6,2.62,2.57,2.61,2.61,5016300,0.0,1.0
24,2019-09-24,2.65,2.66,2.62,2.63,2.63,3337800,0.0,1.0
25,2019-09-23,2.65,2.68,2.64,2.67,2.67,3862000,0.0,1.0
26,2019-09-20,2.73,2.74,2.69,2.7,2.7,7973200,0.0,1.0
27,2019-09-19,2.66,2.69,2.66,2.66,2.66,3421600,0.0,1.0
28,2019-09-18,2.61,2.64,2.6,2.62,2.62,6133500,0.0,1.0
29,2019-09-17,2.62,2.64,2.61,2.64,2.64,4468000,0.0,1.0
