,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,21.89,21.89,21.89,21.84,21.84,13,0.0,1.0
1,2019-10-25,21.89,22.17,21.84,21.84,21.84,25300,0.0,1.0
2,2019-10-24,22.2,22.2,22.17,22.17,22.17,1200,0.0,1.0
3,2019-10-23,22.7,22.7,22.01,22.2,22.2,11500,0.0,1.0
4,2019-10-22,22.76,22.97,22.56,22.8,22.8,7600,0.0,1.0
5,2019-10-21,22.48,23.19,22.43,23.01,23.01,8800,0.0,1.0
6,2019-10-18,22.1,22.38,22.1,22.36,22.36,5200,0.0,1.0
7,2019-10-17,21.98,22.18,21.89,22.17,22.17,9100,0.0,1.0
8,2019-10-16,21.94,22.0,21.58,21.99,21.99,4000,0.0,1.0
9,2019-10-15,21.95,22.08,21.75,22.0,22.0,7400,0.0,1.0
10,2019-10-14,21.75,21.98,21.52,21.82,21.82,5800,0.0,1.0
11,2019-10-11,21.94,22.08,21.83,21.83,21.83,9200,0.0,1.0
12,2019-10-10,21.56,21.98,21.56,21.57,21.57,3000,0.0,1.0
13,2019-10-09,21.21,21.97,21.21,21.46,21.46,12900,0.0,1.0
14,2019-10-08,21.25,21.43,21.04,21.04,21.04,4000,0.0,1.0
15,2019-10-07,21.43,21.43,21.25,21.25,21.25,3500,0.0,1.0
16,2019-10-04,21.36,21.44,21.3,21.3,21.3,3700,0.0,1.0
17,2019-10-03,21.45,21.73,21.45,21.47,21.47,3500,0.0,1.0
18,2019-10-02,21.77,21.78,21.45,21.45,21.45,5300,0.0,1.0
19,2019-10-01,21.87,21.87,21.47,21.47,21.47,2900,0.0,1.0
20,2019-09-30,22.09,22.1,21.83,21.83,21.83,11400,0.0,1.0
21,2019-09-27,22.01,22.21,21.96,22.02,22.02,16800,0.0,1.0
22,2019-09-26,22.52,22.52,22.31,22.35,22.35,4300,0.0,1.0
23,2019-09-25,22.4,22.64,22.24,22.25,22.25,14400,0.0,1.0
24,2019-09-24,22.43,22.63,22.43,22.43,22.43,4700,0.0,1.0
25,2019-09-23,22.1,22.48,22.1,22.48,22.48,11000,0.0,1.0
26,2019-09-20,21.99,22.76,21.8,22.35,22.35,69600,0.0,1.0
27,2019-09-19,22.1,22.19,22.01,22.01,22.01,5800,0.0,1.0
28,2019-09-18,22.11,22.26,22.0,22.1,22.1,12000,0.0,1.0
29,2019-09-17,21.5,22.23,21.5,22.1,22.1,17300,0.0,1.0
30,2019-09-16,21.69,21.99,21.69,21.86,21.86,5800,0.0,1.0
31,2019-09-13,22.06,22.24,21.8,22.08,22.08,12700,0.0,1.0
32,2019-09-12,21.37,22.1,21.37,21.93,21.93,11900,0.0,1.0
33,2019-09-11,21.55,21.93,21.07,21.77,21.77,12800,0.0,1.0
34,2019-09-10,21.14,21.68,21.09,21.4,21.4,15200,0.0,1.0
35,2019-09-09,21.09,21.39,20.69,21.19,21.19,5800,0.0,1.0
36,2019-09-06,21.29,21.48,21.03,21.03,21.03,6500,0.0,1.0
37,2019-09-05,21.25,21.48,21.16,21.16,21.16,6600,0.0,1.0
38,2019-09-04,21.27,21.27,21.11,21.2,21.2,2400,0.0,1.0
39,2019-09-03,21.13,21.5,20.85,21.08,21.08,15900,0.0,1.0
40,2019-08-30,21.25,21.25,21.02,21.15,21.15,12400,0.0,1.0
41,2019-08-29,21.26,21.54,21.21,21.21,21.21,14400,0.0,1.0
42,2019-08-28,21.47,21.47,20.96,21.21,21.21,3300,0.0,1.0
43,2019-08-27,21.45,21.8,21.38,21.38,21.38,18100,0.0,1.0
44,2019-08-26,21.45,21.5,21.25,21.44,21.44,2600,0.0,1.0
45,2019-08-23,21.41,21.41,21.16,21.25,21.25,14300,0.0,1.0
46,2019-08-22,21.32,21.32,21.25,21.25,21.25,3500,0.0,1.0
47,2019-08-21,21.16,21.55,21.16,21.31,21.31,11400,0.0,1.0
48,2019-08-20,21.36,21.36,20.95,21.19,21.19,4900,0.0,1.0
49,2019-08-19,21.1,21.54,21.0,21.45,21.45,11600,0.0,1.0
50,2019-08-16,20.32,21.09,20.32,21.09,21.09,24700,0.0,1.0
51,2019-08-15,20.53,20.5301,20.1,20.1,20.1,4300,0.0,1.0
52,2019-08-14,20.3,20.31,20.15,20.15,20.15,5200,0.0,1.0
53,2019-08-13,20.58,20.72,20.35,20.46,20.46,7700,0.0,1.0
54,2019-08-12,20.14,20.14,20.1191,20.12,20.12,1000,0.0,1.0
55,2019-08-09,20.46,20.5,20.12,20.13,20.13,4500,0.0,1.0
56,2019-08-08,20.62,20.85,20.35,20.35,20.35,9500,0.0,1.0
57,2019-08-07,20.5,20.62,20.1,20.34,20.34,5500,0.0,1.0
58,2019-08-06,20.62,20.68,20.5,20.5,20.5,3800,0.0,1.0
59,2019-08-05,20.96,20.96,20.5,20.5,20.5,8700,0.0,1.0
60,2019-08-02,21.07,21.25,20.61,21.0,21.0,4900,0.0,1.0
61,2019-08-01,21.74,21.74,21.2,21.2,21.2,7500,0.0,1.0
62,2019-07-31,21.97,21.9781,21.1,21.24,21.24,13100,0.0,1.0
63,2019-07-30,21.83,22.14,21.83,21.85,21.85,18200,0.0,1.0
64,2019-07-29,21.71,21.83,21.71,21.73,21.73,6800,0.0,1.0
65,2019-07-26,21.82,21.83,21.58,21.58,21.58,7900,0.0,1.0
66,2019-07-25,21.89,21.89,21.51,21.51,21.51,4200,0.0,1.0
67,2019-07-24,21.81,21.89,21.56,21.62,21.62,11300,0.0,1.0
68,2019-07-23,21.36,21.89,21.36,21.89,21.89,2500,0.0,1.0
69,2019-07-22,21.76,21.88,21.72,21.75,21.75,8000,0.0,1.0
70,2019-07-19,21.72,21.93,21.16,21.83,21.83,5800,0.0,1.0
71,2019-07-18,21.75,21.93,21.75,21.88,21.88,6400,0.0,1.0
72,2019-07-17,21.76,21.76,21.76,21.76,21.76,6700,0.0,1.0
73,2019-07-16,21.85,21.93,21.5,21.84,21.84,4400,0.0,1.0
74,2019-07-15,21.88,21.93,21.51,21.84,21.84,3000,0.0,1.0
75,2019-07-12,21.88,22.2302,21.65,21.65,21.65,6200,0.0,1.0
76,2019-07-11,21.81,21.9,21.5,21.87,21.87,3000,0.0,1.0
77,2019-07-10,21.04,21.7,21.04,21.5,21.5,4700,0.0,1.0
78,2019-07-09,21.77,21.8,21.77,21.77,21.77,1500,0.0,1.0
79,2019-07-08,21.82,21.8196,21.51,21.73,21.73,1100,0.0,1.0
80,2019-07-05,21.79,22.18,21.718,21.81,21.81,4100,0.0,1.0
81,2019-07-03,21.9291,21.93,21.93,21.93,21.93,800,0.0,1.0
82,2019-07-02,21.71,21.92,21.71,21.92,21.92,1400,0.0,1.0
83,2019-07-01,21.89,21.92,21.61,21.62,21.62,6600,0.0,1.0
84,2019-06-28,21.03,22.01,21.03,22.01,22.01,43500,0.0,1.0
85,2019-06-27,20.54,21.06,20.47,21.06,21.06,15000,0.0,1.0
86,2019-06-26,20.7,20.93,20.65,20.65,20.65,900,0.0,1.0
87,2019-06-25,20.65,20.94,20.65,20.65,20.65,1400,0.0,1.0
88,2019-06-24,20.7999,20.956,20.615,20.7,20.7,2500,0.0,1.0
89,2019-06-21,20.63,21.06,20.63,20.9,20.9,11300,0.0,1.0
90,2019-06-20,20.85,20.97,20.683,20.83,20.83,1600,0.0,1.0
91,2019-06-19,20.86,20.86,20.86,20.86,20.86,3400,0.0,1.0
92,2019-06-18,20.92,21.04,20.53,20.95,20.95,3400,0.0,1.0
93,2019-06-17,20.5,20.775,20.4,20.74,20.74,10600,0.0,1.0
94,2019-06-14,20.45,20.45,20.22,20.22,20.22,1900,0.0,1.0
95,2019-06-13,20.48,20.51,20.26,20.48,20.48,2600,0.0,1.0
96,2019-06-12,20.1,20.2,20.1,20.2,20.2,600,0.0,1.0
97,2019-06-11,20.2,20.2,20.15,20.15,20.15,3300,0.0,1.0
98,2019-06-10,20.09,20.34,20.09,20.26,20.26,3100,0.0,1.0
99,2019-06-07,20.32,20.458,19.62,19.93,19.93,9000,0.0,1.0
100,2019-06-06,20.0,20.31,19.31,19.77,19.77,11500,0.0,1.0
101,2019-06-05,20.68,20.68,20.0,20.0,20.0,3500,0.0,1.0
102,2019-06-04,20.1,20.53,20.1,20.19,20.19,3800,0.0,1.0
103,2019-06-03,20.205,20.205,19.94,19.94,19.94,4000,0.0,1.0
104,2019-05-31,20.32,20.32,19.9,19.9,19.9,4700,0.0,1.0
105,2019-05-30,20.27,20.42,19.6,20.42,20.42,4900,0.0,1.0
106,2019-05-29,20.0,20.464,19.85,20.03,20.03,6600,0.0,1.0
107,2019-05-28,20.25,20.5,20.0,20.12,20.12,8000,0.0,1.0
108,2019-05-24,20.04,20.31,20.04,20.3,20.3,3000,0.0,1.0
109,2019-05-23,19.94,19.99,19.85,19.86,19.86,4400,0.0,1.0
110,2019-05-22,20.0,20.01,19.845,20.0,20.0,10300,0.0,1.0
111,2019-05-21,20.0,20.16,19.95,20.14,20.14,5600,0.0,1.0
112,2019-05-20,19.53,19.93,19.5,19.93,19.93,5400,0.0,1.0
113,2019-05-17,19.9906,20.31,19.62,19.62,19.62,6000,0.0,1.0
114,2019-05-16,20.2,20.2,20.0,20.17,20.17,6100,0.0,1.0
115,2019-05-15,21.1,21.1,20.13,20.2,20.2,4400,0.0,1.0
116,2019-05-14,20.18,20.53,20.17,20.53,20.53,6000,0.0,1.0
117,2019-05-13,21.0,21.0,20.14,20.14,20.14,3800,0.0,1.0
118,2019-05-10,21.16,21.42,20.95,21.1,21.1,3600,0.0,1.0
119,2019-05-09,21.19,21.25,20.95,21.25,21.25,7700,0.0,1.0
120,2019-05-08,21.0,21.68,20.999,21.4,21.4,10000,0.0,1.0
121,2019-05-07,21.4,21.4,20.66,20.66,20.66,2500,0.0,1.0
122,2019-05-06,21.44,21.8,20.5,21.34,21.34,31800,0.0,1.0
123,2019-05-03,21.3585,21.76,21.36,21.76,21.76,4800,0.0,1.0
124,2019-05-02,21.0014,21.36,20.99,21.36,21.36,7000,0.0,1.0
125,2019-05-01,21.0486,21.2,20.86,21.15,21.15,6700,0.0,1.0
126,2019-04-30,21.3,21.3,21.19,21.19,21.19,8100,0.0,1.0
127,2019-04-29,21.1,21.3,21.1,21.3,21.3,10500,0.0,1.0
128,2019-04-26,20.97,21.11,20.97,21.1,21.1,4000,0.0,1.0
129,2019-04-25,21.09,21.1,21.05,21.07,21.07,5700,0.0,1.0
130,2019-04-24,21.07,21.1,20.904,21.0,21.0,4900,0.0,1.0
131,2019-04-23,21.06,21.08,20.85,21.08,21.08,6800,0.0,1.0
132,2019-04-22,20.89,21.1,20.65,20.7,20.7,7900,0.0,1.0
133,2019-04-18,20.26,20.89,20.26,20.89,20.89,5300,0.0,1.0
134,2019-04-17,20.83,20.83,20.36,20.36,20.36,4800,0.0,1.0
135,2019-04-16,20.85,20.85,20.6783,20.79,20.79,6200,0.0,1.0
136,2019-04-15,20.65,20.85,20.49,20.79,20.79,10600,0.0,1.0
137,2019-04-12,20.5,20.59,20.5,20.5,20.5,4400,0.0,1.0
138,2019-04-11,20.55,20.573,20.34,20.36,20.36,7500,0.0,1.0
139,2019-04-10,20.4,20.525,20.16,20.29,20.29,5100,0.0,1.0
140,2019-04-09,20.6,20.5995,20.37,20.37,20.37,5400,0.0,1.0
141,2019-04-08,20.395,20.86,20.395,20.6,20.6,3400,0.0,1.0
142,2019-04-05,20.24,20.65,20.24,20.65,20.65,3500,0.0,1.0
143,2019-04-04,20.3,20.3,20.3,20.3,20.3,1000,0.0,1.0
144,2019-04-03,20.33,20.65,20.33,20.65,20.65,700,0.0,1.0
145,2019-04-02,20.27,20.36,20.2503,20.33,20.33,1900,0.0,1.0
146,2019-04-01,20.2,20.51,20.12,20.14,20.14,4100,0.0,1.0
147,2019-03-29,20.33,20.33,20.08,20.12,20.12,7000,0.0,1.0
148,2019-03-28,20.17,20.45,20.0008,20.45,20.45,34700,0.0,1.0
149,2019-03-27,20.13,20.25,20.05,20.19,20.19,3300,0.0,1.0
150,2019-03-26,20.49,20.49,20.05,20.48,20.48,1700,0.0,1.0
151,2019-03-25,20.51,20.568,20.11,20.35,20.35,1800,0.0,1.0
152,2019-03-22,20.38,20.9404,20.0,20.0,20.0,10100,0.0,1.0
153,2019-03-21,20.73,20.7506,20.4,20.4,20.4,5600,0.0,1.0
154,2019-03-20,20.89,20.89,20.47,20.66,20.66,2200,0.0,1.0
155,2019-03-19,20.77,20.77,20.77,20.77,20.77,500,0.0,1.0
156,2019-03-18,20.24,20.6,19.95,20.49,20.49,2600,0.0,1.0
157,2019-03-15,19.9,21.14,19.506,20.34,20.34,26900,0.0,1.0
158,2019-03-14,19.95,20.5,19.9,19.9,19.9,2200,0.0,1.0
159,2019-03-13,20.32,20.32,19.669,19.81,19.81,10100,0.0,1.0
160,2019-03-12,20.275,20.4806,20.18,20.18,20.18,2700,0.0,1.0
161,2019-03-11,20.562,20.74,20.3,20.5,20.5,5100,0.0,1.0
162,2019-03-08,20.41,20.6598,20.3,20.31,20.31,3900,0.0,1.0
163,2019-03-07,20.5,20.71,20.4009,20.4,20.4,3700,0.0,1.0
164,2019-03-06,20.838,20.838,20.55,20.56,20.56,7900,0.0,1.0
165,2019-03-05,21.0454,21.046,20.78,20.78,20.78,1100,0.0,1.0
166,2019-03-04,20.8,20.9795,20.77,20.77,20.77,2800,0.0,1.0
167,2019-03-01,20.79,21.046,20.76,20.76,20.76,2500,0.0,1.0
168,2019-02-28,20.93,21.08,20.76,20.76,20.76,3400,0.0,1.0
169,2019-02-27,20.92,21.14,20.88,20.88,20.88,1600,0.0,1.0
170,2019-02-26,20.79,21.14,20.79,20.87,20.87,2100,0.0,1.0
171,2019-02-25,21.14,21.15,20.77,20.77,20.77,3900,0.0,1.0
172,2019-02-22,20.9698,21.11,20.88,21.11,21.11,3000,0.0,1.0
173,2019-02-21,21.01,21.01,21.01,21.01,21.01,1600,0.0,1.0
174,2019-02-20,21.18,21.18,20.7605,20.76,20.76,2900,0.0,1.0
175,2019-02-19,21.111,21.18,20.76,21.12,21.12,9200,0.0,1.0
176,2019-02-15,20.92,21.0805,20.92,21.02,21.02,6800,0.0,1.0
177,2019-02-14,21.02,21.08,20.75,20.75,20.75,3600,0.0,1.0
178,2019-02-13,20.5,20.93,20.48,20.93,20.93,5500,0.0,1.0
179,2019-02-12,20.508,20.88,20.508,20.75,20.75,4200,0.0,1.0
180,2019-02-11,20.54,20.54,20.54,20.54,20.54,1300,0.0,1.0
181,2019-02-08,20.8189,20.88,20.61,20.7,20.7,3900,0.0,1.0
182,2019-02-07,20.53,20.8792,20.5,20.63,20.63,19400,0.0,1.0
183,2019-02-06,20.5,20.85,20.0,20.47,20.47,2800,0.0,1.0
184,2019-02-05,20.05,20.8,19.77,20.5,20.5,3500,0.0,1.0
185,2019-02-04,20.36,20.36,20.36,20.36,20.36,1400,0.0,1.0
