,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,1.69,1.7414,1.69,1.72,1.72,6880,0.0,1.0
1,2019-10-25,1.73,1.78,1.67,1.7,1.7,34500,0.0,1.0
2,2019-10-24,1.73,1.8,1.71,1.72,1.72,6200,0.0,1.0
3,2019-10-23,1.75,1.8,1.73,1.73,1.73,14100,0.0,1.0
4,2019-10-22,1.84,1.84,1.75,1.75,1.75,21500,0.0,1.0
5,2019-10-21,1.78,1.85,1.78,1.82,1.82,8900,0.0,1.0
6,2019-10-18,1.78,1.79,1.73,1.77,1.77,31300,0.0,1.0
7,2019-10-17,1.79,1.81,1.78,1.78,1.78,3500,0.0,1.0
8,2019-10-16,1.82,1.82,1.76,1.79,1.79,7500,0.0,1.0
9,2019-10-15,1.84,1.9,1.81,1.82,1.82,5200,0.0,1.0
10,2019-10-14,1.83,1.89,1.83,1.86,1.86,2900,0.02,1.0
11,2019-10-11,1.79,1.89,1.79,1.85,1.83,17300,0.02,1.0
12,2019-10-10,1.83,1.84,1.81,1.82,1.7805,16400,0.0,1.0
13,2019-10-09,1.81,1.85,1.8,1.84,1.8001,23700,0.0,1.0
14,2019-10-08,1.84,1.84,1.8,1.82,1.7805,5100,0.0,1.0
15,2019-10-07,1.8,1.85,1.79,1.82,1.7805,15800,0.0,1.0
16,2019-10-04,1.74,1.79,1.69,1.79,1.7512,27400,0.0,1.0
17,2019-10-03,1.82,1.82,1.7,1.74,1.7023,63000,0.0,1.0
18,2019-10-02,1.87,1.87,1.81,1.81,1.7708,31300,0.0,1.0
19,2019-10-01,1.87,1.92,1.87,1.89,1.849,3300,0.0,1.0
20,2019-09-30,1.88,1.9,1.8,1.88,1.8392,43900,0.0,1.0
21,2019-09-27,1.83,1.92,1.83,1.89,1.849,7100,0.0,1.0
22,2019-09-26,1.92,1.99,1.85,1.87,1.8295,15900,0.0,1.0
23,2019-09-25,1.95,2.01,1.93,1.94,1.8979,10700,0.0,1.0
24,2019-09-24,1.99,2.0,1.93,1.95,1.9077,55100,0.0,1.0
25,2019-09-23,1.92,2.04,1.9,2.02,1.9762,10400,0.0,1.0
