,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,1.62,1.64,1.6,1.6,1.6,1007158,0.0,1.0
1,2019-10-25,1.68,1.68,1.59,1.64,1.64,2618600,0.0,1.0
2,2019-10-24,1.59,1.63,1.575,1.63,1.63,2593800,0.0,1.0
3,2019-10-23,1.6,1.615,1.565,1.6,1.6,1543400,0.0,1.0
4,2019-10-22,1.53,1.59,1.525,1.58,1.58,2301100,0.0,1.0
5,2019-10-21,1.64,1.65,1.51,1.53,1.53,2840400,0.0,1.0
6,2019-10-18,1.55,1.61,1.547,1.6,1.6,2459900,0.0,1.0
7,2019-10-17,1.5,1.58,1.48,1.56,1.56,4981000,0.0,1.0
8,2019-10-16,1.51,1.53,1.48,1.49,1.49,3178800,0.0,1.0
9,2019-10-15,1.6,1.63,1.48,1.49,1.49,5954400,0.0,1.0
10,2019-10-14,1.62,1.63,1.6,1.6,1.6,896700,0.0,1.0
11,2019-10-11,1.65,1.66,1.59,1.61,1.61,2157100,0.0,1.0
12,2019-10-10,1.64,1.7,1.6,1.68,1.68,1803100,0.0,1.0
13,2019-10-09,1.71,1.72,1.62,1.64,1.64,2934000,0.0,1.0
14,2019-10-08,1.61,1.72,1.61,1.7,1.7,3822500,0.0,1.0
15,2019-10-07,1.56,1.63,1.56,1.59,1.59,2008300,0.0,1.0
16,2019-10-04,1.59,1.62,1.56,1.59,1.59,3666400,0.0,1.0
17,2019-10-03,1.6,1.66,1.58,1.59,1.59,2937600,0.0,1.0
18,2019-10-02,1.62,1.63,1.56,1.59,1.59,3264900,0.0,1.0
19,2019-10-01,1.56,1.64,1.54,1.55,1.55,3612200,0.0,1.0
20,2019-09-30,1.64,1.665,1.54,1.56,1.56,5394800,0.0,1.0
21,2019-09-27,1.65,1.735,1.64,1.66,1.66,3603900,0.0,1.0
22,2019-09-26,1.74,1.78,1.68,1.68,1.68,2857300,0.0,1.0
23,2019-09-25,1.87,1.87,1.7,1.74,1.74,4532500,0.0,1.0
24,2019-09-24,1.86,1.91,1.82,1.88,1.88,3911900,0.0,1.0
25,2019-09-23,1.8,1.87,1.79,1.86,1.86,3615800,0.0,1.0
26,2019-09-20,1.71,1.79,1.7,1.77,1.77,7758700,0.0,1.0
27,2019-09-19,1.7,1.74,1.67,1.69,1.69,3217800,0.0,1.0
28,2019-09-18,1.75,1.76,1.612,1.68,1.68,4414300,0.0,1.0
29,2019-09-17,1.75,1.77,1.705,1.73,1.73,2995800,0.0,1.0
30,2019-09-16,1.69,1.78,1.655,1.71,1.71,5045600,0.0,1.0
31,2019-09-13,1.7,1.75,1.63,1.63,1.63,5316300,0.0,1.0
32,2019-09-12,1.81,1.86,1.65,1.67,1.67,7835800,0.0,1.0
33,2019-09-11,1.8,1.85,1.77,1.78,1.78,3685500,0.0,1.0
34,2019-09-10,1.79,1.86,1.75,1.75,1.75,6407600,0.0,1.0
35,2019-09-09,1.83,1.86,1.76,1.81,1.81,3914600,0.0,1.0
36,2019-09-06,1.91,1.94,1.82,1.83,1.83,3134800,0.0,1.0
37,2019-09-05,2.03,2.045,1.86,1.91,1.91,5643200,0.0,1.0
38,2019-09-04,2.03,2.1,2.01,2.07,2.07,3456500,0.0,1.0
39,2019-09-03,2.05,2.1,2.0,2.02,2.02,4216900,0.0,1.0
40,2019-08-30,2.01,2.08,1.981,2.03,2.03,2925900,0.0,1.0
41,2019-08-29,2.09,2.09,1.96,2.01,2.01,4301000,0.0,1.0
42,2019-08-28,2.07,2.14,2.05,2.09,2.09,3480000,0.0,1.0
43,2019-08-27,2.01,2.1,2.0,2.08,2.08,5517900,0.0,1.0
44,2019-08-26,1.98,2.04,1.915,2.0,2.0,4310000,0.0,1.0
45,2019-08-23,1.86,1.97,1.83,1.96,1.96,5006600,0.0,1.0
46,2019-08-22,1.855,1.87,1.81,1.83,1.83,1102400,0.0,1.0
47,2019-08-21,1.79,1.87,1.75,1.83,1.83,2402600,0.0,1.0
48,2019-08-20,1.74,1.83,1.725,1.8,1.8,3333600,0.0,1.0
49,2019-08-19,1.73,1.88,1.67,1.69,1.69,3688700,0.0,1.0
50,2019-08-16,1.82,1.88,1.74,1.75,1.75,3833700,0.0,1.0
51,2019-08-15,1.81,1.88,1.77,1.85,1.85,3510700,0.0,1.0
52,2019-08-14,1.91,1.93,1.79,1.8,1.8,4687200,0.0,1.0
53,2019-08-13,1.97,1.99,1.765,1.85,1.85,5224300,0.0,1.0
54,2019-08-12,1.92,2.04,1.9,1.95,1.95,4269700,0.0,1.0
55,2019-08-09,2.02,2.05,1.93,1.93,1.93,2961400,0.0,1.0
56,2019-08-08,1.96,2.07,1.92,2.03,2.03,3478900,0.0,1.0
57,2019-08-07,1.97,2.08,1.96,1.98,1.98,7672000,0.0,1.0
58,2019-08-06,1.95,1.96,1.88,1.91,1.91,3371900,0.0,1.0
59,2019-08-05,1.93,2.01,1.88,1.94,1.94,6118200,0.0,1.0
60,2019-08-02,1.82,1.89,1.79,1.85,1.85,2570000,0.0,1.0
61,2019-08-01,1.7,1.82,1.68,1.81,1.81,4000500,0.0,1.0
62,2019-07-31,1.83,1.86,1.7,1.73,1.73,6291600,0.0,1.0
63,2019-07-30,1.86,1.89,1.83,1.85,1.85,2169700,0.0,1.0
64,2019-07-29,1.84,1.88,1.78,1.85,1.85,2571200,0.0,1.0
65,2019-07-26,1.85,1.89,1.8,1.82,1.82,1960900,0.0,1.0
66,2019-07-25,1.96,1.96,1.82,1.84,1.84,4331200,0.0,1.0
67,2019-07-24,1.82,1.96,1.82,1.96,1.96,4236600,0.0,1.0
68,2019-07-23,1.87,1.9,1.75,1.79,1.79,2809700,0.0,1.0
69,2019-07-22,1.88,1.9,1.83,1.84,1.84,2889000,0.0,1.0
70,2019-07-19,1.95,2.0,1.82,1.87,1.87,5359400,0.0,1.0
71,2019-07-18,1.85,2.0,1.82,1.98,1.98,7176900,0.0,1.0
72,2019-07-17,1.75,1.86,1.67,1.86,1.86,4819000,0.0,1.0
73,2019-07-16,1.71,1.8,1.69,1.71,1.71,3348100,0.0,1.0
74,2019-07-15,1.75,1.75,1.71,1.73,1.73,1235800,0.0,1.0
75,2019-07-12,1.7,1.74,1.69,1.73,1.73,2154300,0.0,1.0
76,2019-07-11,1.72,1.75,1.65,1.68,1.68,2020900,0.0,1.0
77,2019-07-10,1.64,1.71,1.62,1.7,1.7,2833900,0.0,1.0
78,2019-07-09,1.62,1.64,1.57,1.59,1.59,2698400,0.0,1.0
79,2019-07-08,1.73,1.74,1.61,1.61,1.61,2934300,0.0,1.0
80,2019-07-05,1.72,1.79,1.68,1.7,1.7,4611500,0.0,1.0
81,2019-07-03,1.82,1.85,1.745,1.85,1.85,2332900,0.0,1.0
82,2019-07-02,1.67,1.81,1.65,1.79,1.79,3353500,0.0,1.0
83,2019-07-01,1.69,1.73,1.64,1.65,1.65,2171600,0.0,1.0
84,2019-06-28,1.73,1.78,1.71,1.75,1.75,1646200,0.0,1.0
85,2019-06-27,1.75,1.77,1.69,1.72,1.72,2432900,0.0,1.0
86,2019-06-26,1.78,1.84,1.75,1.77,1.77,3045200,0.0,1.0
87,2019-06-25,1.82,1.85,1.75,1.84,1.84,3514200,0.0,1.0
88,2019-06-24,1.82,1.83,1.74,1.82,1.82,4330100,0.0,1.0
