,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,17.22,17.5,16.9484,17.0174,17.0174,42349,0.0,1.0
1,2019-10-25,17.16,17.39,17.06,17.15,17.15,34000,0.0,1.0
2,2019-10-24,17.24,17.39,17.03,17.21,17.21,26200,0.0,1.0
3,2019-10-23,17.46,17.66,17.0,17.22,17.22,52600,0.0,1.0
4,2019-10-22,17.59,17.78,17.37,17.53,17.53,36500,0.0,1.0
5,2019-10-21,17.62,17.98,17.33,17.45,17.45,23500,0.0,1.0
6,2019-10-18,17.74,17.96,17.47,17.55,17.55,21600,0.0,1.0
7,2019-10-17,17.53,17.99,17.25,17.78,17.78,32100,0.0,1.0
8,2019-10-16,17.6,17.8,17.24,17.44,17.44,31300,0.0,1.0
9,2019-10-15,17.96,18.05,17.61,17.62,17.62,28200,0.0,1.0
10,2019-10-14,17.5,18.01,17.25,17.96,17.96,38300,0.0,1.0
11,2019-10-11,18.06,18.06,17.04,17.37,17.37,57900,0.0,1.0
12,2019-10-10,18.07,18.31,17.52,17.97,17.97,23500,0.0,1.0
13,2019-10-09,18.02,18.16,17.76,18.07,18.07,22700,0.0,1.0
14,2019-10-08,18.68,18.68,17.85,17.97,17.97,28200,0.0,1.0
15,2019-10-07,18.95,19.27,18.6,18.79,18.79,38600,0.0,1.0
16,2019-10-04,18.12,19.38,18.02,18.93,18.93,66100,0.0,1.0
17,2019-10-03,17.71,18.15,17.25,17.96,17.96,48200,0.0,1.0
18,2019-10-02,17.53,18.096,16.8,17.75,17.75,82700,0.0,1.0
19,2019-10-01,18.05,18.2,17.26,17.49,17.49,44100,0.0,1.0
20,2019-09-30,18.02,18.14,17.66,18.03,18.03,26700,0.0,1.0
21,2019-09-27,18.1,18.1,17.0,17.6,17.6,67500,0.0,1.0
22,2019-09-26,18.5,18.59,17.56,18.08,18.08,111800,0.0,1.0
23,2019-09-25,18.32,18.96,17.442,18.42,18.42,169600,0.0,1.0
24,2019-09-24,19.05,19.5,17.45,18.34,18.34,148700,0.0,1.0
25,2019-09-23,18.75,19.3,18.681,19.0,19.0,76500,0.0,1.0
26,2019-09-20,18.8,19.176,18.265,18.9,18.9,179100,0.0,1.0
27,2019-09-19,18.46,19.16,17.94,18.89,18.89,181100,0.0,1.0
28,2019-09-18,17.36,18.58,17.36,18.29,18.29,226300,0.0,1.0
