,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,62.73,63.4,62.61,62.72,62.72,10623,0.0,1.0
1,2019-10-25,61.22,63.84,61.22,62.48,62.48,93100,0.0,1.0
2,2019-10-24,62.73,62.73,60.9,61.55,61.55,53600,0.0,1.0
3,2019-10-23,62.12,63.12,62.04,62.43,62.43,49500,0.0,1.0
4,2019-10-22,61.44,63.03,61.44,62.13,62.13,58600,0.0,1.0
5,2019-10-21,61.7,63.17,61.6,61.63,61.63,60800,0.0,1.0
6,2019-10-18,61.2,62.36,60.57,60.95,60.95,64800,0.0,1.0
7,2019-10-17,60.68,62.0,60.68,61.55,61.55,73700,0.0,1.0
8,2019-10-16,59.77,60.92,59.53,60.43,60.43,48500,0.0,1.0
9,2019-10-15,59.63,60.61,58.89,60.0,60.0,58400,0.0,1.0
10,2019-10-14,60.61,61.06,59.35,59.59,59.59,61700,0.0,1.0
11,2019-10-11,60.45,62.21,60.2,60.61,60.61,64700,0.0,1.0
12,2019-10-10,58.39,59.63,58.39,59.36,59.36,66600,0.0,1.0
13,2019-10-09,59.66,59.88,58.43,58.52,58.52,55000,0.0,1.0
14,2019-10-08,59.87,59.87,58.55,58.98,58.98,64500,0.0,1.0
15,2019-10-07,60.73,60.95,60.09,60.4,60.4,66500,0.0,1.0
16,2019-10-04,61.03,61.5,60.13,60.85,60.85,66000,0.0,1.0
17,2019-10-03,60.71,61.33,60.22,61.04,61.04,57000,0.0,1.0
18,2019-10-02,61.48,61.48,60.1,60.68,60.68,69500,0.0,1.0
19,2019-10-01,65.3,65.49,60.99,61.76,61.76,84100,0.0,1.0
20,2019-09-30,64.82,65.32,64.45,65.12,65.12,72200,0.0,1.0
21,2019-09-27,64.34,65.29,64.29,64.7,64.7,53500,0.0,1.0
22,2019-09-26,65.1,65.12,63.98,64.09,64.09,40100,0.0,1.0
23,2019-09-25,64.2,65.61,64.2,65.16,65.16,66100,0.0,1.0
24,2019-09-24,64.49,65.68,63.74,63.95,63.95,100400,0.0,1.0
25,2019-09-23,62.41,65.11,62.41,64.68,64.68,74100,0.0,1.0
26,2019-09-20,64.49,64.54,62.33,62.86,62.86,197000,0.0,1.0
27,2019-09-19,64.83,65.51,64.28,64.52,64.52,65700,0.0,1.0
28,2019-09-18,65.74,65.74,64.0,64.87,64.87,85900,0.0,1.0
29,2019-09-17,65.8,66.28,65.26,65.65,65.65,86100,0.0,1.0
30,2019-09-16,67.48,67.66,65.64,65.8,65.8,99700,0.0,1.0
31,2019-09-13,67.86,68.88,67.38,67.83,67.83,113900,0.0,1.0
32,2019-09-12,66.53,67.51,65.73,67.11,67.11,85800,0.0,1.0
33,2019-09-11,65.97,67.05,65.23,66.93,66.93,100400,0.0,1.0
34,2019-09-10,63.98,66.36,63.24,65.69,65.69,80300,0.0,1.0
35,2019-09-09,62.75,64.13,62.57,63.67,63.67,81900,0.0,1.0
36,2019-09-06,63.37,63.82,62.32,62.54,62.54,59900,0.0,1.0
37,2019-09-05,62.68,64.46,62.28,63.65,63.65,69700,0.0,1.0
38,2019-09-04,62.01,62.56,61.53,61.66,61.66,68900,0.0,1.0
39,2019-09-03,63.58,63.93,61.49,61.62,61.62,86200,0.0,1.0
40,2019-08-30,64.7,65.34,63.38,63.78,63.78,95400,0.0,1.0
41,2019-08-29,65.34,66.15,64.4,64.5,64.5,84500,0.0,1.0
42,2019-08-28,64.83,65.89,64.39,64.45,64.45,73500,0.0,1.0
43,2019-08-27,65.85,65.92,64.37,65.0,65.0,79500,0.0,1.0
44,2019-08-26,64.36,65.37,63.93,65.27,65.27,60700,0.0,1.0
45,2019-08-23,65.4,66.15,63.42,63.7,63.7,89300,0.0,1.0
46,2019-08-22,66.8,66.81,65.39,65.89,65.89,69000,0.0,1.0
47,2019-08-21,67.0,67.37,65.99,66.42,66.42,77300,0.0,1.0
48,2019-08-20,67.83,67.83,66.02,66.1,66.1,73600,0.0,1.0
49,2019-08-19,67.99,69.26,63.73,67.82,67.82,101600,0.0,1.0
50,2019-08-16,65.16,67.18,63.73,67.06,67.06,112300,0.0,1.0
51,2019-08-15,64.77,65.2,63.7279,64.7,64.7,71400,0.45,1.0
52,2019-08-14,66.04,66.525,64.84,65.33,64.88,78400,0.0,1.0
53,2019-08-13,65.83,67.87,65.7928,67.01,66.5484,88400,0.0,1.0
54,2019-08-12,67.1,67.59,65.67,65.83,65.3766,83300,0.0,1.0
55,2019-08-09,68.69,69.11,67.0,67.45,66.9854,96800,0.0,1.0
56,2019-08-08,70.1,71.1,67.26,68.86,68.3857,124300,0.0,1.0
57,2019-08-07,64.22,72.95,63.5,69.4,68.922,247200,0.0,1.0
58,2019-08-06,61.02,62.07,59.91,61.95,61.5233,145800,0.0,1.0
59,2019-08-05,61.5,62.33,59.67,61.08,60.6593,97800,0.0,1.0
60,2019-08-02,64.07,64.5,61.28,62.33,61.9007,101200,0.0,1.0
61,2019-08-01,65.48,66.08,63.74,64.28,63.8372,116500,0.0,1.0
62,2019-07-31,65.25,67.0,64.9215,65.71,65.2574,133200,0.0,1.0
63,2019-07-30,62.95,65.49,62.11,65.15,64.7012,93000,0.0,1.0
64,2019-07-29,63.61,64.16,63.0477,63.37,62.9335,80600,0.0,1.0
65,2019-07-26,63.9,64.4012,63.36,63.85,63.4102,48200,0.0,1.0
66,2019-07-25,65.19,65.79,63.01,63.73,63.291,83500,0.0,1.0
67,2019-07-24,63.86,65.37,63.7634,65.06,64.6119,121700,0.0,1.0
68,2019-07-23,63.81,64.85,63.23,64.11,63.6684,64000,0.0,1.0
69,2019-07-22,64.06,64.82,63.32,63.76,63.3208,41700,0.0,1.0
70,2019-07-19,63.45,64.86,63.4524,63.93,63.4896,65600,0.0,1.0
71,2019-07-18,62.6744,63.71,62.16,63.64,63.2016,60000,0.0,1.0
72,2019-07-17,64.01,64.01,62.75,62.82,62.3873,49800,0.0,1.0
73,2019-07-16,63.49,65.7525,63.28,64.03,63.589,76100,0.0,1.0
74,2019-07-15,66.55,66.55,63.6,63.8,63.3605,78200,0.0,1.0
75,2019-07-12,66.13,67.02,65.8902,66.52,66.0618,57500,0.0,1.0
76,2019-07-11,67.87,68.2,65.75,66.2,65.744,123000,0.0,1.0
77,2019-07-10,66.81,68.6,66.05,67.68,67.2138,219600,0.0,1.0
78,2019-07-09,66.5,67.21,65.95,66.59,66.1313,134000,0.0,1.0
79,2019-07-08,67.29,67.67,66.32,67.06,66.5981,103100,0.0,1.0
80,2019-07-05,66.86,67.82,66.38,67.57,67.1046,46200,0.0,1.0
81,2019-07-03,66.64,67.22,65.92,67.08,66.618,38800,0.0,1.0
82,2019-07-02,66.95,67.15,65.8,66.5,66.0419,95300,0.0,1.0
83,2019-07-01,68.13,68.16,66.56,67.0,66.5385,86200,0.0,1.0
84,2019-06-28,66.33,68.09,66.19,67.55,67.0847,177300,0.0,1.0
85,2019-06-27,64.8,66.4,64.23,66.31,65.8532,83300,0.0,1.0
86,2019-06-26,65.22,65.22,63.5,64.71,64.2643,96400,0.0,1.0
87,2019-06-25,61.92,65.8504,61.82,65.07,64.6218,92500,0.0,1.0
88,2019-06-24,62.15,62.745,61.15,61.8,61.3743,92000,0.0,1.0
89,2019-06-21,62.45,63.07,61.34,62.2,61.7716,164900,0.0,1.0
90,2019-06-20,62.9,63.49,62.1361,62.88,62.4469,68000,0.0,1.0
91,2019-06-19,61.81,63.1227,61.27,62.18,61.7517,48600,0.0,1.0
92,2019-06-18,61.59,62.8,61.5602,61.83,61.4041,42000,0.0,1.0
93,2019-06-17,60.56,61.46,60.0,61.21,60.7884,41400,0.0,1.0
94,2019-06-14,61.77,62.22,60.41,60.45,60.0336,55500,0.0,1.0
95,2019-06-13,61.51,62.64,60.83,62.04,61.6127,68200,0.0,1.0
96,2019-06-12,61.1,61.815,60.7,61.21,60.7884,40000,0.0,1.0
97,2019-06-11,60.47,61.28,60.02,61.19,60.7685,76000,0.0,1.0
98,2019-06-10,60.63,60.93,59.55,59.78,59.3682,42600,0.0,1.0
99,2019-06-07,59.11,60.84,58.95,60.3,59.8846,54700,0.0,1.0
100,2019-06-06,59.61,60.815,58.71,58.82,58.4148,81800,0.0,1.0
101,2019-06-05,60.78,61.06,59.43,59.88,59.4675,42400,0.0,1.0
102,2019-06-04,59.74,60.88,59.62,60.78,60.3613,47700,0.0,1.0
103,2019-06-03,57.1,59.545,57.1,59.03,58.6234,69800,0.0,1.0
104,2019-05-31,57.01,57.52,56.674,57.16,56.7663,57800,0.0,1.0
105,2019-05-30,58.42,59.62,57.11,57.73,57.3324,59100,0.0,1.0
106,2019-05-29,57.95,58.54,57.5,58.13,57.7296,66600,0.0,1.0
107,2019-05-28,59.66,59.69,58.17,58.33,57.9282,86900,0.0,1.0
108,2019-05-24,59.2222,59.84,58.38,59.69,59.2788,50600,0.0,1.0
109,2019-05-23,59.04,59.47,58.75,58.96,58.5539,66900,0.0,1.0
110,2019-05-22,59.99,60.67,59.46,59.67,59.259,43100,0.0,1.0
111,2019-05-21,58.86,60.81,58.8595,60.17,59.7555,68000,0.0,1.0
112,2019-05-20,58.62,59.215,58.51,58.73,58.3255,72600,0.0,1.0
113,2019-05-17,59.09,59.6277,58.92,59.05,58.6433,105500,0.0,1.0
114,2019-05-16,59.67,60.105,59.44,59.71,59.2987,55800,0.45,1.0
115,2019-05-15,60.0,60.455,58.93,59.86,59.0008,66600,0.0,1.0
116,2019-05-14,60.34,60.885,59.89,60.66,59.7893,60700,0.0,1.0
117,2019-05-13,61.14,61.23,60.0,60.18,59.3162,76600,0.0,1.0
118,2019-05-10,62.96,63.35,61.75,62.37,61.4748,63600,0.0,1.0
119,2019-05-09,63.23,63.73,62.7,63.09,62.1844,67100,0.0,1.0
120,2019-05-08,63.4,64.91,63.35,63.82,62.9039,110400,0.0,1.0
121,2019-05-07,64.21,64.47,62.6,63.4,62.49,111200,0.0,1.0
122,2019-05-06,65.18,65.765,64.06,64.82,63.8896,86200,0.0,1.0
123,2019-05-03,65.41,68.62,63.79,66.91,65.9496,270300,0.0,1.0
124,2019-05-02,67.25,67.25,64.43,64.82,63.8896,89700,0.0,1.0
125,2019-05-01,67.85,67.86,66.95,67.22,66.2551,139900,0.0,1.0
126,2019-04-30,67.64,68.18,67.46,67.85,66.8761,110100,0.0,1.0
127,2019-04-29,66.97,68.07,66.9414,67.66,66.6888,60400,0.0,1.0
128,2019-04-26,66.02,67.26,65.91,67.0,66.0383,38000,0.0,1.0
129,2019-04-25,65.34,66.47,64.98,65.8,64.8555,53300,0.0,1.0
130,2019-04-24,65.7,66.58,65.27,65.61,64.6682,58200,0.0,1.0
131,2019-04-23,65.15,66.255,65.15,65.81,64.8654,56200,0.0,1.0
132,2019-04-22,65.93,66.15,64.79,65.15,64.2149,34500,0.0,1.0
133,2019-04-18,65.99,66.4639,65.46,66.24,65.2892,48100,0.0,1.0
134,2019-04-17,66.6,66.931,65.8,66.19,65.2399,55400,0.0,1.0
135,2019-04-16,65.68,66.45,65.22,66.26,65.3089,58200,0.0,1.0
136,2019-04-15,66.8,66.92,65.88,65.96,65.0132,24700,0.0,1.0
137,2019-04-12,66.98,67.075,66.41,66.53,65.575,36400,0.0,1.0
138,2019-04-11,66.85,67.25,66.46,66.53,65.575,47400,0.0,1.0
139,2019-04-10,65.8663,67.0,65.3,66.66,65.7032,79600,0.0,1.0
140,2019-04-09,66.68,66.68,65.5,65.7,64.757,44400,0.0,1.0
141,2019-04-08,66.32,67.41,66.27,66.83,65.8707,56000,0.0,1.0
142,2019-04-05,66.6464,67.5,66.25,66.48,65.5258,110900,0.0,1.0
143,2019-04-04,66.6,67.3472,66.4,66.51,65.5553,68400,0.0,1.0
144,2019-04-03,66.64,67.03,66.15,66.79,65.8313,65800,0.0,1.0
145,2019-04-02,66.25,66.61,65.28,66.22,65.2695,59800,0.0,1.0
146,2019-04-01,64.99,66.31,64.6,66.28,65.3286,69000,0.0,1.0
147,2019-03-29,65.29,65.415,64.0,64.36,63.4362,63900,0.0,1.0
148,2019-03-28,63.9,65.02,63.41,64.98,64.0473,48600,0.0,1.0
149,2019-03-27,64.02,64.82,62.9,63.97,63.0518,63000,0.0,1.0
150,2019-03-26,63.18,64.48,63.18,64.2,63.2785,142100,0.0,1.0
151,2019-03-25,62.92,62.92,61.77,62.64,61.7409,128000,0.0,1.0
152,2019-03-22,65.27,65.28,63.12,63.19,62.283,101700,0.0,1.0
153,2019-03-21,64.67,66.03,64.67,65.31,64.3726,111000,0.0,1.0
154,2019-03-20,64.83,65.51,63.845,64.58,63.653,196300,0.0,1.0
155,2019-03-19,64.31,64.83,63.81,64.63,63.7023,77800,0.0,1.0
156,2019-03-18,63.65,64.38,63.01,64.13,63.2095,70800,0.0,1.0
157,2019-03-15,63.48,64.17,63.3,63.65,62.7364,119600,0.0,1.0
158,2019-03-14,63.48,63.5322,62.754,63.28,62.3717,99900,0.0,1.0
159,2019-03-13,63.91,64.36,63.26,63.68,62.7659,62100,0.0,1.0
160,2019-03-12,64.23,64.65,63.4507,63.88,62.9631,109500,0.0,1.0
161,2019-03-11,63.4726,64.96,63.47,64.38,63.4559,96100,0.0,1.0
162,2019-03-08,64.01,64.66,63.3925,63.78,62.8645,46700,0.0,1.0
163,2019-03-07,65.07,65.25,64.12,64.37,63.446,88300,0.0,1.0
164,2019-03-06,67.39,67.39,64.91,65.01,64.0769,90100,0.0,1.0
165,2019-03-05,67.37,67.97,67.06,67.53,66.5607,43800,0.0,1.0
166,2019-03-04,67.9,68.239,67.23,67.35,66.3833,83000,0.0,1.0
167,2019-03-01,68.36,68.545,67.8,67.9,66.9254,126000,0.0,1.0
168,2019-02-28,69.64,69.64,67.34,67.58,66.61,183000,0.0,1.0
169,2019-02-27,70.14,70.77,69.41,69.69,68.6897,79000,0.0,1.0
170,2019-02-26,70.45,71.24,69.587,70.45,69.4388,216800,0.0,1.0
171,2019-02-25,70.34,71.01,69.58,70.6,69.5866,134400,0.0,1.0
172,2019-02-22,70.0,70.69,69.52,70.17,69.1628,63200,0.0,1.0
173,2019-02-21,70.43,71.09,69.29,69.85,68.8474,51200,0.0,1.0
174,2019-02-20,70.22,71.34,70.22,70.74,69.7246,88700,0.0,1.0
175,2019-02-19,71.03,71.41,69.92,70.53,69.5176,80000,0.0,1.0
176,2019-02-15,68.48,72.81,68.335,71.37,70.3456,146600,0.0,1.0
