,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,1.04,1.04,1.04,1.04,1.04,14,0.0,1.0
1,2019-10-25,1.05,1.05,1.03,1.05,1.05,1700,0.0,1.0
2,2019-10-24,1.05,1.05,1.05,1.05,1.05,1000,0.0,1.0
3,2019-10-23,1.04,1.04,1.01,1.02,1.02,24400,0.0,1.0
4,2019-10-22,1.05,1.05,1.03,1.05,1.05,8000,0.0,1.0
5,2019-10-21,1.04,1.05,1.03,1.03,1.03,5700,0.0,1.0
6,2019-10-18,1.07,1.07,1.03,1.03,1.03,11100,0.0,1.0
7,2019-10-17,1.08,1.09,1.07,1.07,1.07,1700,0.0,1.0
8,2019-10-16,1.03,1.1,1.03,1.09,1.09,115300,0.0,1.0
9,2019-10-15,1.03,1.06,1.0,1.0,1.0,425900,0.0,1.0
10,2019-10-14,1.05,1.05,1.01,1.05,1.05,3900,0.0,1.0
11,2019-10-11,1.0,1.05,1.0,1.03,1.03,174700,0.0,1.0
12,2019-10-10,1.0,1.04,0.99,0.99,0.99,194500,0.0,1.0
13,2019-10-09,1.03,1.05,0.98,1.0,1.0,403800,0.0,1.0
14,2019-10-08,1.08,1.1,1.03,1.06,1.06,22600,0.0,1.0
15,2019-10-07,1.11,1.11,1.05,1.05,1.05,3700,0.0,1.0
16,2019-10-04,1.1,1.1,1.1,1.1,1.1,200,0.0,1.0
17,2019-10-03,1.1,1.1,1.05,1.08,1.08,5400,0.0,1.0
18,2019-10-02,1.1,1.12,1.05,1.05,1.05,9500,0.0,1.0
19,2019-10-01,1.1,1.12,1.09,1.1,1.1,14000,0.0,1.0
20,2019-09-30,1.09,1.12,1.09,1.1,1.1,2500,0.0,1.0
21,2019-09-27,1.09,1.12,1.09,1.09,1.09,22300,0.0,1.0
22,2019-09-26,1.1,1.1,1.09,1.1,1.1,12100,0.0,1.0
23,2019-09-25,1.07,1.1,1.04,1.1,1.1,65500,0.0,1.0
24,2019-09-24,1.13,1.13,1.02,1.03,1.03,39400,0.0,1.0
