,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,2.7,2.83,2.54,2.58,2.58,47661,0.0,1.0
1,2019-10-25,2.71,2.93,2.64,2.65,2.65,116200,0.0,1.0
2,2019-10-24,2.95,2.95,2.61,2.67,2.67,181000,0.0,1.0
3,2019-10-23,2.79,2.97,2.79,2.9,2.9,188100,0.0,1.0
4,2019-10-22,2.8,2.87,2.51,2.86,2.86,247500,0.0,1.0
5,2019-10-21,2.88,2.92,2.8,2.81,2.81,84300,0.0,1.0
6,2019-10-18,3.05,3.09,2.72,2.82,2.82,271300,0.0,1.0
7,2019-10-17,3.17,3.2,3.01,3.07,3.07,112300,0.0,1.0
8,2019-10-16,3.13,3.25,3.02,3.11,3.11,115700,0.0,1.0
9,2019-10-15,2.95,3.23,2.95,3.15,3.15,173200,0.0,1.0
10,2019-10-14,3.25,3.31,2.83,2.95,2.95,350900,0.0,1.0
11,2019-10-11,2.85,3.1,2.85,3.06,3.06,215500,0.0,1.0
12,2019-10-10,2.93,3.05,2.73,2.84,2.84,226200,0.0,1.0
13,2019-10-09,2.83,3.03,2.83,2.91,2.91,280400,0.0,1.0
14,2019-10-08,3.01,3.01,2.81,2.84,2.84,210200,0.0,1.0
15,2019-10-07,3.1,3.12,2.85,2.99,2.99,235500,0.0,1.0
16,2019-10-04,3.13,3.13,2.85,3.06,3.06,386800,0.0,1.0
17,2019-10-03,3.18,3.18,2.91,2.93,2.93,556500,0.0,1.0
18,2019-10-02,3.18,3.4,3.01,3.07,3.07,298700,0.0,1.0
19,2019-10-01,3.23,3.37,3.16,3.25,3.25,179900,0.0,1.0
20,2019-09-30,3.52,3.52,3.14,3.23,3.23,388300,0.0,1.0
21,2019-09-27,3.56,3.8,3.52,3.52,3.52,198500,0.0,1.0
22,2019-09-26,3.95,3.97,3.6,3.65,3.65,303100,0.0,1.0
23,2019-09-25,3.86,4.08,3.85,4.01,4.01,183800,0.0,1.0
24,2019-09-24,4.36,4.48,3.86,3.97,3.97,330600,0.0,1.0
25,2019-09-23,4.3,4.8,4.3,4.39,4.39,1000700,0.0,1.0
26,2019-09-20,4.05,4.21,3.92,4.15,4.15,245100,0.0,1.0
27,2019-09-19,4.2,4.21,4.03,4.05,4.05,139500,0.0,1.0
28,2019-09-18,4.26,4.37,4.06,4.17,4.17,204400,0.0,1.0
29,2019-09-17,4.41,4.43,4.2,4.23,4.23,170200,0.0,1.0
30,2019-09-16,4.56,5.08,4.16,4.38,4.38,664300,0.0,1.0
31,2019-09-13,4.35,4.62,4.25,4.56,4.56,269600,0.0,1.0
32,2019-09-12,4.62,4.66,4.31,4.35,4.35,142000,0.0,1.0
33,2019-09-11,4.64,4.75,4.39,4.63,4.63,336100,0.0,1.0
34,2019-09-10,4.1,4.64,4.1,4.6,4.6,566900,0.0,1.0
35,2019-09-09,3.91,4.12,3.78,4.07,4.07,341100,0.0,1.0
36,2019-09-06,3.8,4.01,3.73,3.86,3.86,188500,0.0,1.0
37,2019-09-05,3.96,3.97,3.77,3.8,3.8,222500,0.0,1.0
38,2019-09-04,3.67,3.99,3.61,3.92,3.92,233500,0.0,1.0
39,2019-09-03,3.72,3.81,3.53,3.6,3.6,286600,0.0,1.0
40,2019-08-30,3.8,3.9,3.66,3.71,3.71,232500,0.0,1.0
41,2019-08-29,4.06,4.06,3.66,3.77,3.77,444700,0.0,1.0
42,2019-08-28,3.46,4.27,3.4,4.05,4.05,797600,0.0,1.0
43,2019-08-27,3.76,3.9,3.4,3.43,3.43,502700,0.0,1.0
44,2019-08-26,4.5,4.5,3.63,3.83,3.83,1088600,0.0,1.0
45,2019-08-23,4.93,5.09,4.73,4.86,4.86,158900,0.0,1.0
46,2019-08-22,5.1,5.11,4.84,4.93,4.93,214500,0.0,1.0
47,2019-08-21,5.16,5.29,4.95,5.04,5.04,323000,0.0,1.0
48,2019-08-20,5.23,5.62,4.95,5.16,5.16,1582600,0.0,1.0
49,2019-08-19,4.75,5.35,4.75,5.18,5.18,557500,0.0,1.0
50,2019-08-16,4.6,4.84,4.51,4.7,4.7,262800,0.0,1.0
51,2019-08-15,4.57,4.8,4.51,4.59,4.59,201400,0.0,1.0
52,2019-08-14,4.67,4.71,4.5,4.58,4.58,181700,0.0,1.0
53,2019-08-13,4.61,4.85,4.5998,4.68,4.68,129600,0.0,1.0
54,2019-08-12,4.65,4.69,4.43,4.65,4.65,151200,0.0,1.0
55,2019-08-09,4.74,4.82,4.25,4.66,4.66,268900,0.0,1.0
56,2019-08-08,4.16,5.11,3.96,4.73,4.73,1028000,0.0,1.0
57,2019-08-07,4.17,4.21,3.84,3.96,3.96,373300,0.0,1.0
58,2019-08-06,4.3,4.36,3.96,4.16,4.16,280900,0.0,1.0
59,2019-08-05,4.53,4.58,4.2,4.28,4.28,294300,0.0,1.0
60,2019-08-02,4.87,4.87,4.54,4.62,4.62,273700,0.0,1.0
61,2019-08-01,4.7597,5.15,4.74,4.92,4.92,265000,0.0,1.0
62,2019-07-31,4.82,5.02,4.76,4.76,4.76,183100,0.0,1.0
63,2019-07-30,4.65,4.83,4.55,4.82,4.82,132100,0.0,1.0
64,2019-07-29,4.5,4.67,4.45,4.64,4.64,100900,0.0,1.0
65,2019-07-26,4.25,4.75,4.2,4.6,4.6,507800,0.0,1.0
66,2019-07-25,4.39,4.43,4.16,4.18,4.18,177800,0.0,1.0
67,2019-07-24,4.13,4.45,4.07,4.39,4.39,404500,0.0,1.0
68,2019-07-23,4.5,4.5,4.14,4.21,4.21,299100,0.0,1.0
69,2019-07-22,5.37,5.45,4.38,4.47,4.47,672700,0.0,1.0
70,2019-07-19,5.42,5.49,5.29,5.33,5.33,182300,0.0,1.0
71,2019-07-18,5.39,5.45,5.29,5.44,5.44,112900,0.0,1.0
72,2019-07-17,5.5,5.57,5.29,5.41,5.41,169800,0.0,1.0
73,2019-07-16,5.6895,5.72,5.48,5.5,5.5,135900,0.0,1.0
74,2019-07-15,5.65,5.77,5.51,5.7,5.7,149300,0.0,1.0
75,2019-07-12,5.6,5.785,5.527,5.64,5.64,139700,0.0,1.0
76,2019-07-11,5.64,5.69,5.46,5.59,5.59,84400,0.0,1.0
77,2019-07-10,5.56,5.675,5.33,5.61,5.61,211600,0.0,1.0
78,2019-07-09,5.5,5.536,5.4,5.52,5.52,145700,0.0,1.0
79,2019-07-08,5.72,5.72,5.41,5.44,5.44,273200,0.0,1.0
80,2019-07-05,5.52,5.593,5.43,5.52,5.52,103900,0.0,1.0
81,2019-07-03,5.4,5.56,5.295,5.55,5.55,82500,0.0,1.0
82,2019-07-02,5.59,5.5902,5.26,5.41,5.41,205500,0.0,1.0
83,2019-07-01,5.77,5.86,5.51,5.6,5.6,223400,0.0,1.0
84,2019-06-28,5.75,5.9,5.68,5.7,5.7,894000,0.0,1.0
85,2019-06-27,5.73,5.84,5.67,5.74,5.74,119800,0.0,1.0
86,2019-06-26,5.52,5.87,5.4,5.71,5.71,174700,0.0,1.0
87,2019-06-25,5.54,5.75,5.38,5.52,5.52,104000,0.0,1.0
88,2019-06-24,5.84,5.95,5.31,5.57,5.57,392400,0.0,1.0
89,2019-06-21,5.85,6.02,5.71,5.9,5.9,187100,0.0,1.0
90,2019-06-20,5.96,6.09,5.8,5.86,5.86,343200,0.0,1.0
91,2019-06-19,5.9,5.97,5.71,5.88,5.88,152500,0.0,1.0
92,2019-06-18,6.19,6.19,5.77,5.93,5.93,274800,0.0,1.0
93,2019-06-17,5.82,6.3,5.82,6.11,6.11,431100,0.0,1.0
94,2019-06-14,5.89,5.98,5.69,5.81,5.81,247100,0.0,1.0
95,2019-06-13,5.55,5.954,5.4,5.92,5.92,340200,0.0,1.0
96,2019-06-12,5.55,5.85,5.22,5.54,5.54,246000,0.0,1.0
97,2019-06-11,5.8,6.01,5.52,5.63,5.63,421100,0.0,1.0
98,2019-06-10,5.88,6.6485,5.79,5.86,5.86,886800,0.0,1.0
99,2019-06-07,5.58,6.01,5.3,5.84,5.84,331400,0.0,1.0
100,2019-06-06,5.77,6.41,5.42,5.53,5.53,532200,0.0,1.0
101,2019-06-05,5.65,6.25,5.455,5.59,5.59,565500,0.0,1.0
102,2019-06-04,6.13,6.14,4.96,5.55,5.55,1136000,0.0,1.0
103,2019-06-03,6.3498,6.72,5.98,6.1,6.1,516800,0.0,1.0
104,2019-05-31,6.06,6.31,6.03,6.27,6.27,284600,0.0,1.0
105,2019-05-30,6.21,6.325,5.98,6.1,6.1,370000,0.0,1.0
106,2019-05-29,6.44,6.55,6.14,6.27,6.27,337800,0.0,1.0
107,2019-05-28,6.65,6.8,6.51,6.51,6.51,160300,0.0,1.0
108,2019-05-24,6.73,6.89,6.48,6.63,6.63,235800,0.0,1.0
109,2019-05-23,6.47,6.9,6.3,6.67,6.67,444900,0.0,1.0
110,2019-05-22,7.07,7.07,6.32,6.59,6.59,533400,0.0,1.0
111,2019-05-21,7.0,7.22,6.93,7.06,7.06,150800,0.0,1.0
112,2019-05-20,7.5,7.64,6.875,6.91,6.91,549600,0.0,1.0
113,2019-05-17,7.84,7.9,7.62,7.66,7.66,325200,0.0,1.0
114,2019-05-16,8.25,8.29,7.87,7.9,7.9,364900,0.0,1.0
115,2019-05-15,7.77,8.16,7.55,8.1,8.1,216400,0.0,1.0
116,2019-05-14,7.88,8.06,7.6,7.94,7.94,207300,0.0,1.0
117,2019-05-13,7.58,8.12,7.58,7.92,7.92,255400,0.0,1.0
118,2019-05-10,8.22,8.89,7.6399,7.86,7.86,525700,0.0,1.0
119,2019-05-09,8.39,8.553,8.14,8.22,8.22,121600,0.0,1.0
120,2019-05-08,8.26,8.6,8.13,8.42,8.42,192300,0.0,1.0
121,2019-05-07,8.5,8.61,8.1,8.26,8.26,288800,0.0,1.0
122,2019-05-06,8.5,8.74,8.25,8.64,8.64,184200,0.0,1.0
123,2019-05-03,9.83,9.83,7.53,8.57,8.57,1046700,0.0,1.0
124,2019-05-02,8.96,11.0,8.96,9.69,9.69,1010700,0.0,1.0
125,2019-05-01,9.08,9.498,8.95,9.08,9.08,411500,0.0,1.0
126,2019-04-30,9.15,9.28,8.71,9.04,9.04,291700,0.0,1.0
127,2019-04-29,9.15,9.17,8.9,9.11,9.11,85600,0.0,1.0
128,2019-04-26,9.02,9.6,8.88,9.11,9.11,213200,0.0,1.0
129,2019-04-25,8.7402,9.3,8.63,9.04,9.04,418100,0.0,1.0
130,2019-04-24,8.5,8.72,8.3,8.6,8.6,129100,0.0,1.0
131,2019-04-23,8.18,8.625,8.1178,8.44,8.44,269100,0.0,1.0
132,2019-04-22,7.99,8.44,7.99,8.1,8.1,182400,0.0,1.0
133,2019-04-18,8.2,8.5,7.865,8.05,8.05,461000,0.0,1.0
134,2019-04-17,8.47,8.49,7.926,8.18,8.18,528000,0.0,1.0
135,2019-04-16,8.63,8.8099,8.19,8.44,8.44,475400,0.0,1.0
136,2019-04-15,8.81,9.03,8.46,8.61,8.61,424700,0.0,1.0
137,2019-04-12,9.04,9.11,8.63,8.81,8.81,488000,0.0,1.0
138,2019-04-11,9.47,9.64,9.01,9.04,9.04,348600,0.0,1.0
139,2019-04-10,9.23,9.84,9.17,9.44,9.44,1493300,0.0,1.0
