,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,27.03,27.19,26.88,26.88,26.88,13300,0.0,1.0
1,2019-10-25,26.99,27.46,26.76,26.95,26.95,106700,0.0,1.0
2,2019-10-24,27.11,27.37,26.93,27.06,27.06,75600,0.0,1.0
3,2019-10-23,26.4,27.12,26.4,27.12,27.12,68400,0.0,1.0
4,2019-10-22,26.12,26.5,25.81,26.48,26.48,54800,0.0,1.0
5,2019-10-21,25.82,26.54,25.59,26.02,26.02,114100,0.0,1.0
6,2019-10-18,25.78,26.02,25.36,25.6,25.6,68900,0.0,1.0
7,2019-10-17,26.01,26.01,25.2,25.88,25.88,74700,0.0,1.0
8,2019-10-16,24.91,25.98,24.8,25.91,25.91,96900,0.0,1.0
9,2019-10-15,25.99,25.99,24.75,25.0,25.0,94000,0.0,1.0
10,2019-10-14,25.63,26.23,25.35,25.81,25.81,68600,0.0,1.0
11,2019-10-11,25.99,26.15,25.38,25.56,25.56,55000,0.0,1.0
12,2019-10-10,25.91,25.91,25.3,25.75,25.75,77700,0.0,1.0
13,2019-10-09,26.0,26.5,25.43,25.95,25.95,150800,0.0,1.0
14,2019-10-08,24.47,25.59,24.02,25.32,25.32,82300,0.0,1.0
15,2019-10-07,24.35,25.0,24.08,24.58,24.58,105100,0.0,1.0
16,2019-10-04,23.22,24.51,23.08,24.44,24.44,92000,0.0,1.0
17,2019-10-03,23.05,23.35,22.08,23.17,23.17,86400,0.0,1.0
18,2019-10-02,22.74,23.19,22.33,23.04,23.04,99200,0.0,1.0
19,2019-10-01,23.56,23.65,22.89,23.09,23.09,91900,0.0,1.0
20,2019-09-30,23.46,23.75,22.93,23.49,23.49,86700,0.0,1.0
21,2019-09-27,22.03,23.48,22.01,23.43,23.43,116100,0.0,1.0
22,2019-09-26,23.37,23.64,21.24,22.01,22.01,158000,0.0,1.0
23,2019-09-25,22.0,23.95,21.8,23.6,23.6,208400,0.0,1.0
24,2019-09-24,22.65,22.99,22.1,22.15,22.15,239100,0.0,1.0
25,2019-09-23,21.14,22.76,21.14,22.54,22.54,203800,0.0,1.0
26,2019-09-20,20.68,21.36,20.55,21.35,21.35,183300,0.0,1.0
27,2019-09-19,20.12,20.83,19.95,20.65,20.65,86700,0.0,1.0
28,2019-09-18,20.15,20.49,19.59,20.12,20.12,100900,0.0,1.0
29,2019-09-17,20.09,20.44,19.35,19.65,19.65,205200,0.0,1.0
30,2019-09-16,19.9,20.28,19.62,19.96,19.96,145900,0.0,1.0
31,2019-09-13,19.99,20.28,19.78,19.99,19.99,148200,0.0,1.0
32,2019-09-12,19.89,20.08,19.47,19.78,19.78,125100,0.0,1.0
33,2019-09-11,18.9,19.9,18.68,19.85,19.85,241300,0.0,1.0
34,2019-09-10,17.33,18.9,16.97,18.79,18.79,176100,0.0,1.0
35,2019-09-09,17.5,17.63,17.11,17.42,17.42,102400,0.0,1.0
36,2019-09-06,16.48,17.6,16.34,17.5,17.5,120700,0.0,1.0
37,2019-09-05,16.5,16.75,16.16,16.44,16.44,285100,0.0,1.0
38,2019-09-04,16.63,16.75,16.28,16.51,16.51,91400,0.0,1.0
39,2019-09-03,16.5,16.67,16.08,16.44,16.44,135100,0.0,1.0
40,2019-08-30,16.83,17.16,16.47,16.53,16.53,94700,0.0,1.0
41,2019-08-29,16.42,16.72,16.41,16.58,16.58,75000,0.0,1.0
42,2019-08-28,16.42,16.56,16.05,16.19,16.19,101600,0.0,1.0
43,2019-08-27,16.65,16.83,15.87,16.38,16.38,109100,0.0,1.0
44,2019-08-26,16.32,16.35,15.96,16.15,16.15,109000,0.0,1.0
