,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,0.0,0.0,0.0,9.95,9.95,0,0.0,1.0
1,2019-10-25,9.95,9.95,9.95,9.95,9.95,0,0.0,1.0
2,2019-10-24,9.95,9.95,9.95,9.95,9.95,0,0.0,1.0
3,2019-10-23,9.94,9.95,9.94,9.95,9.95,500,0.0,1.0
4,2019-10-22,9.9,9.9,9.9,9.9,9.9,100000,0.0,1.0
5,2019-10-21,9.9,9.9,9.9,9.9,9.9,0,0.0,1.0
6,2019-10-18,9.9,9.9,9.9,9.9,9.9,0,0.0,1.0
7,2019-10-17,9.9,9.9,9.9,9.9,9.9,0,0.0,1.0
8,2019-10-16,9.9,9.9,9.9,9.9,9.9,0,0.0,1.0
9,2019-10-15,9.9,9.9,9.9,9.9,9.9,100,0.0,1.0
10,2019-10-14,9.96,9.96,9.89,9.9,9.9,36600,0.0,1.0
11,2019-10-11,10.26,10.26,9.96,9.99,9.99,1000,0.0,1.0
12,2019-10-10,9.87,9.87,9.85,9.87,9.87,119100,0.0,1.0
13,2019-10-09,9.9,9.9,9.9,9.9,9.9,0,0.0,1.0
14,2019-10-08,9.85,9.9,9.85,9.9,9.9,250300,0.0,1.0
15,2019-10-07,10.04,10.04,9.85,9.85,9.85,22100,0.0,1.0
16,2019-10-04,9.91,9.91,9.91,9.91,9.91,200,0.0,1.0
17,2019-10-03,9.91,9.93,9.88,9.88,9.88,371100,0.0,1.0
18,2019-10-02,9.85,9.93,9.85,9.93,9.93,800,0.0,1.0
19,2019-10-01,9.85,9.93,9.85,9.91,9.91,361800,0.0,1.0
20,2019-09-30,9.93,9.93,9.93,9.93,9.93,0,0.0,1.0
21,2019-09-27,9.93,9.93,9.93,9.93,9.93,0,0.0,1.0
22,2019-09-26,9.9,9.93,9.9,9.93,9.93,5100,0.0,1.0
23,2019-09-25,9.92,9.92,9.85,9.92,9.92,411300,0.0,1.0
24,2019-09-24,9.9,9.93,9.87,9.87,9.87,5700,0.0,1.0
25,2019-09-23,9.88,9.88,9.88,9.88,9.88,100,0.0,1.0
26,2019-09-20,9.88,9.88,9.88,9.88,9.88,0,0.0,1.0
27,2019-09-19,9.89,9.93,9.88,9.88,9.88,32100,0.0,1.0
28,2019-09-18,9.9,9.93,9.9,9.93,9.93,300,0.0,1.0
29,2019-09-17,9.91,9.91,9.89,9.89,9.89,23100,0.0,1.0
