,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,25.2,25.47,24.97,25.24,25.24,241275,0.0,1.0
1,2019-10-25,25.2,25.39,24.95,25.05,25.05,906900,0.0,1.0
2,2019-10-24,25.41,25.51,25.21,25.3,25.3,578100,0.0,1.0
3,2019-10-23,25.29,25.53,25.25,25.44,25.44,521900,0.0,1.0
4,2019-10-22,25.57,25.65,25.31,25.39,25.39,700500,0.0,1.0
5,2019-10-21,25.46,25.78,25.46,25.57,25.57,593900,0.0,1.0
6,2019-10-18,25.27,25.48,25.2,25.27,25.27,712400,0.0,1.0
7,2019-10-17,25.27,25.41,25.09,25.34,25.34,588600,0.0,1.0
8,2019-10-16,25.43,25.51,24.99,25.14,25.14,773100,0.0,1.0
9,2019-10-15,25.18,25.74,25.18,25.45,25.45,934500,0.0,1.0
10,2019-10-14,25.02,25.18,24.92,25.11,25.11,1022000,0.0,1.0
11,2019-10-11,25.28,25.6,25.09,25.11,25.11,1069500,0.0,1.0
12,2019-10-10,24.8,25.14,24.74,24.88,24.88,820800,0.0,1.0
13,2019-10-09,24.55,24.83,24.34,24.7,24.7,942400,0.0,1.0
14,2019-10-08,24.7,24.88,24.39,24.4,24.4,931200,0.0,1.0
15,2019-10-07,25.08,25.11,24.87,24.95,24.95,735100,0.0,1.0
16,2019-10-04,24.71,25.16,24.71,25.13,25.13,802100,0.0,1.0
17,2019-10-03,24.92,25.15,24.58,24.71,24.71,1595600,0.0,1.0
18,2019-10-02,25.3,25.44,24.92,25.03,25.03,1084100,0.0,1.0
19,2019-10-01,25.59,25.93,25.45,25.53,25.53,908500,0.0,1.0
20,2019-09-30,25.88,25.97,25.5,25.51,25.51,1207200,0.0,1.0
21,2019-09-27,26.02,26.16,25.76,25.81,25.81,632100,0.0,1.0
22,2019-09-26,25.98,26.18,25.88,25.88,25.88,734000,0.0,1.0
23,2019-09-25,25.92,26.23,25.87,26.0,26.0,851100,0.0,1.0
24,2019-09-24,26.22,26.35,25.96,25.98,25.98,614500,0.0,1.0
25,2019-09-23,25.82,26.22,25.82,26.12,26.12,545700,0.0,1.0
26,2019-09-20,26.12,26.25,25.84,25.85,25.85,1980200,0.0,1.0
27,2019-09-19,26.36,26.42,26.08,26.11,26.11,744900,0.0,1.0
28,2019-09-18,26.27,26.45,26.16,26.39,26.39,388500,0.0,1.0
29,2019-09-17,26.29,26.38,26.07,26.35,26.35,589400,0.0,1.0
30,2019-09-16,25.79,26.28,25.79,26.26,26.26,981000,0.0,1.0
31,2019-09-13,26.27,26.38,25.89,25.95,25.95,1144400,0.0,1.0
32,2019-09-12,26.07,26.42,25.99,26.12,26.12,597200,0.0,1.0
33,2019-09-11,26.08,26.22,25.76,26.12,26.12,884000,0.0,1.0
34,2019-09-10,26.13,26.43,25.89,26.12,26.12,1117300,0.0,1.0
35,2019-09-09,25.78,26.35,25.6,26.25,26.25,1399500,0.0,1.0
36,2019-09-06,26.85,27.14,26.55,26.56,26.56,742900,0.0,1.0
37,2019-09-05,26.55,26.86,26.55,26.69,26.69,410000,0.0,1.0
38,2019-09-04,25.83,26.28,25.83,26.28,26.28,726700,0.0,1.0
39,2019-09-03,25.92,26.05,25.51,25.6,25.6,916100,0.0,1.0
40,2019-08-30,26.29,26.36,25.96,26.11,26.11,677500,0.0,1.0
41,2019-08-29,26.02,26.32,26.0,26.16,26.16,493100,0.0,1.0
42,2019-08-28,25.39,25.8,25.34,25.77,25.77,557600,0.0,1.0
43,2019-08-27,25.9,25.91,25.44,25.48,25.48,547100,0.0,1.0
44,2019-08-26,25.72,25.79,25.46,25.71,25.71,728900,0.0,1.0
45,2019-08-23,25.89,26.22,25.4,25.49,25.49,1543000,0.0,1.0
46,2019-08-22,26.2,26.36,25.9,26.12,26.12,1154500,0.0,1.0
47,2019-08-21,26.42,26.48,26.14,26.16,26.16,1190000,0.0,1.0
48,2019-08-20,26.49,26.49,26.17,26.2,26.2,641800,0.0,1.0
49,2019-08-19,26.56,26.58,26.27,26.52,26.52,649800,0.0,1.0
50,2019-08-16,26.07,26.38,25.73,26.29,26.29,564600,0.0,1.0
51,2019-08-15,25.93,26.02,25.73,25.92,25.92,1021400,0.0,1.0
52,2019-08-14,26.1,26.11,25.63,25.86,25.86,1472700,0.0,1.0
53,2019-08-13,26.19,26.57,26.13,26.37,26.37,812300,0.0,1.0
54,2019-08-12,26.46,26.46,26.06,26.18,26.18,638300,0.0,1.0
55,2019-08-09,26.95,27.06,26.5796,26.74,26.74,468300,0.0,1.0
56,2019-08-08,26.62,27.075,26.57,26.94,26.94,624300,0.0,1.0
57,2019-08-07,25.71,26.425,25.61,26.42,26.42,927500,0.0,1.0
58,2019-08-06,25.73,26.11,25.73,26.06,26.06,853500,0.0,1.0
59,2019-08-05,25.69,25.93,25.4,25.64,25.64,2342500,0.0,1.0
60,2019-08-02,26.17,26.2612,25.81,26.13,26.13,1074200,0.22,1.0
61,2019-08-01,26.97,27.09,26.35,26.53,26.31,1203900,0.0,1.0
62,2019-07-31,27.43,27.56,26.62,26.91,26.6868,1755900,0.0,1.0
63,2019-07-30,27.07,27.51,27.0,27.44,27.2125,669600,0.0,1.0
64,2019-07-29,27.47,27.55,27.24,27.26,27.0339,958400,0.0,1.0
65,2019-07-26,27.68,27.75,27.25,27.4,27.1728,1278100,0.0,1.0
66,2019-07-25,27.38,27.63,27.22,27.48,27.2521,1971000,0.0,1.0
67,2019-07-24,26.01,27.63,25.9,27.51,27.2819,3045500,0.0,1.0
68,2019-07-23,25.23,25.9,25.21,25.72,25.5067,2056600,0.0,1.0
69,2019-07-22,25.301,25.38,25.1,25.25,25.0406,1137400,0.0,1.0
70,2019-07-19,25.66,25.87,25.37,25.4,25.1894,967600,0.0,1.0
71,2019-07-18,25.1,25.86,25.1,25.71,25.4968,1288700,0.0,1.0
72,2019-07-17,25.3,25.49,25.19,25.25,25.0406,1122500,0.0,1.0
73,2019-07-16,25.74,25.76,25.45,25.55,25.3381,1669900,0.0,1.0
74,2019-07-15,26.05,26.1,25.45,25.6,25.3877,1496200,0.0,1.0
75,2019-07-12,25.87,26.0,25.8,25.96,25.7447,1275900,0.0,1.0
76,2019-07-11,25.62,26.0,25.6,25.8,25.5861,1409400,0.0,1.0
77,2019-07-10,25.5,25.81,25.46,25.53,25.3183,1073400,0.0,1.0
78,2019-07-09,25.34,25.55,25.17,25.42,25.2092,1553400,0.0,1.0
79,2019-07-08,25.4,25.54,25.2603,25.34,25.1299,771400,0.0,1.0
80,2019-07-05,25.4129,25.65,25.4,25.5,25.2885,1214100,0.0,1.0
81,2019-07-03,25.15,25.65,25.15,25.41,25.1993,910700,0.0,1.0
82,2019-07-02,24.82,25.115,24.78,25.05,24.8423,1563300,0.0,1.0
83,2019-07-01,24.92,25.31,24.51,24.81,24.6043,2423400,0.0,1.0
84,2019-06-28,23.6004,23.97,23.59,23.96,23.7613,1699600,0.0,1.0
85,2019-06-27,23.45,23.62,23.36,23.51,23.315,592200,0.0,1.0
86,2019-06-26,23.44,23.62,23.37,23.44,23.2456,1093700,0.0,1.0
87,2019-06-25,23.26,23.45,23.19,23.37,23.1762,984600,0.0,1.0
88,2019-06-24,23.53,23.665,23.19,23.28,23.087,1293300,0.0,1.0
89,2019-06-21,23.53,23.6711,23.43,23.53,23.3349,1333100,0.0,1.0
90,2019-06-20,23.46,23.66,23.355,23.58,23.3845,1273600,0.0,1.0
91,2019-06-19,23.3,23.485,23.28,23.43,23.2357,913800,0.0,1.0
92,2019-06-18,22.9907,23.44,22.96,23.27,23.077,1109800,0.0,1.0
93,2019-06-17,23.15,23.29,23.03,23.08,22.8886,790600,0.0,1.0
94,2019-06-14,23.33,23.33,23.1,23.16,22.9679,751200,0.0,1.0
95,2019-06-13,23.48,23.58,23.255,23.36,23.1663,744900,0.0,1.0
96,2019-06-12,23.49,23.54,23.24,23.34,23.1465,855400,0.0,1.0
97,2019-06-11,23.37,23.545,23.27,23.48,23.2853,788200,0.0,1.0
98,2019-06-10,23.36,23.505,23.2121,23.25,23.0572,924500,0.0,1.0
99,2019-06-07,23.19,23.3,23.1087,23.26,23.0671,952600,0.0,1.0
100,2019-06-06,23.28,23.28,22.96,23.16,22.9679,1190400,0.0,1.0
101,2019-06-05,23.15,23.32,23.09,23.14,22.9481,719500,0.0,1.0
102,2019-06-04,22.83,23.19,22.8,23.18,22.9878,1159200,0.0,1.0
103,2019-06-03,22.42,22.71,22.33,22.56,22.3729,1287700,0.0,1.0
104,2019-05-31,22.31,22.5,22.311,22.39,22.2043,1274800,0.0,1.0
105,2019-05-30,22.82,23.0231,22.495,22.56,22.3729,1244600,0.0,1.0
106,2019-05-29,22.55,22.815,22.4,22.77,22.5812,1448100,0.0,1.0
107,2019-05-28,22.6,23.31,22.55,22.55,22.363,2235500,0.0,1.0
108,2019-05-24,21.36,22.62,21.36,22.58,22.3928,3489500,0.0,1.0
109,2019-05-23,20.72,20.72,20.495,20.62,20.449,958100,0.0,1.0
110,2019-05-22,21.0296,21.09,20.9,20.94,20.7664,389800,0.0,1.0
111,2019-05-21,21.04,21.33,21.04,21.13,20.9548,700100,0.0,1.0
112,2019-05-20,20.66,21.04,20.59,20.92,20.7465,574800,0.0,1.0
113,2019-05-17,20.65,20.89,20.64,20.79,20.6176,733900,0.0,1.0
114,2019-05-16,20.84,21.0401,20.795,20.89,20.7168,878000,0.0,1.0
115,2019-05-15,20.78,21.06,20.65,20.81,20.6374,844900,0.0,1.0
116,2019-05-14,20.8,21.16,20.7996,20.98,20.806,594100,0.0,1.0
117,2019-05-13,21.02,21.05,20.68,20.72,20.5482,1033100,0.0,1.0
118,2019-05-10,21.16,21.465,21.085,21.25,21.0738,991800,0.0,1.0
119,2019-05-09,21.04,21.32,20.845,21.3,21.1234,1132400,0.2,1.0
120,2019-05-08,21.22,21.63,21.1,21.39,21.0143,1356800,0.0,1.0
121,2019-05-07,21.31,21.47,21.105,21.25,20.8767,525500,0.0,1.0
122,2019-05-06,21.0,21.645,20.96,21.59,21.2108,943700,0.0,1.0
123,2019-05-03,21.6994,22.07,21.56,21.65,21.2697,1356900,0.0,1.0
