,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,11.43,11.64,11.22,11.49,11.49,26782,0.0,1.0
1,2019-10-25,11.24,11.5,11.18,11.32,11.32,60000,0.0,1.0
2,2019-10-24,11.09,11.72,11.06,11.29,11.29,77600,0.0,1.0
3,2019-10-23,11.25,11.56,11.18,11.56,11.56,52100,0.0,1.0
4,2019-10-22,11.11,11.41,11.05,11.34,11.34,40700,0.0,1.0
5,2019-10-21,11.28,11.4,11.0,11.07,11.07,80200,0.0,1.0
6,2019-10-18,11.29,11.44,11.13,11.23,11.23,43500,0.0,1.0
7,2019-10-17,11.37,11.55,11.32,11.37,11.37,55800,0.0,1.0
8,2019-10-16,11.52,11.63,11.27,11.36,11.36,36700,0.0,1.0
9,2019-10-15,11.41,11.61,11.37,11.47,11.47,57200,0.0,1.0
10,2019-10-14,11.47,11.47,11.26,11.42,11.42,33600,0.0,1.0
11,2019-10-11,11.28,11.74,11.18,11.6,11.6,68400,0.0,1.0
12,2019-10-10,11.36,11.38,11.11,11.21,11.21,61900,0.0,1.0
13,2019-10-09,11.25,11.5,11.19,11.35,11.35,47200,0.0,1.0
14,2019-10-08,11.38,11.43,11.07,11.15,11.15,68500,0.0,1.0
15,2019-10-07,11.39,11.53,11.35,11.41,11.41,45900,0.0,1.0
16,2019-10-04,11.21,11.4,11.12,11.39,11.39,43700,0.0,1.0
17,2019-10-03,11.31,11.31,11.12,11.21,11.21,38900,0.0,1.0
18,2019-10-02,11.51,11.69,11.14,11.31,11.31,58500,0.0,1.0
19,2019-10-01,11.99,12.1,11.57,11.57,11.57,40400,0.0,1.0
20,2019-09-30,12.19,12.29,11.93,11.94,11.94,53800,0.0,1.0
21,2019-09-27,12.19,12.31,11.89,12.18,12.18,90600,0.0,1.0
22,2019-09-26,12.42,12.42,12.15,12.23,12.23,60800,0.0,1.0
23,2019-09-25,11.87,12.57,11.87,12.52,12.52,125300,0.0,1.0
24,2019-09-24,11.76,11.98,11.69,11.87,11.87,100300,0.0,1.0
25,2019-09-23,11.74,11.79,11.72,11.76,11.76,78900,0.0,1.0
26,2019-09-20,11.99,12.0,11.74,11.82,11.82,191000,0.0,1.0
27,2019-09-19,12.09,12.11,11.99,11.99,11.99,83200,0.0,1.0
28,2019-09-18,12.23,12.24,12.0,12.09,12.09,60000,0.0,1.0
29,2019-09-17,12.29,12.33,12.14,12.24,12.24,76300,0.0,1.0
30,2019-09-16,12.42,12.47,12.26,12.34,12.34,78000,0.0,1.0
31,2019-09-13,12.4,12.52,12.24,12.48,12.48,112500,0.0,1.0
32,2019-09-12,12.43,12.45,12.2,12.37,12.37,81700,0.0,1.0
33,2019-09-11,11.96,12.48,11.7,12.42,12.42,91200,0.0,1.0
34,2019-09-10,11.69,12.08,11.64,11.91,11.91,101200,0.0,1.0
35,2019-09-09,11.39,11.8,11.21,11.68,11.68,107000,0.0,1.0
36,2019-09-06,11.56,11.67,11.31,11.31,11.31,79900,0.0,1.0
37,2019-09-05,11.46,11.6,11.31,11.56,11.56,118200,0.0,1.0
38,2019-09-04,11.55,11.59,11.36,11.41,11.41,92400,0.0,1.0
39,2019-09-03,11.73,11.83,11.47,11.54,11.54,103000,0.0,1.0
40,2019-08-30,11.47,11.93,11.47,11.75,11.75,138900,0.0,1.0
41,2019-08-29,11.54,11.78,11.49,11.49,11.49,108000,0.0,1.0
42,2019-08-28,11.38,11.77,11.38,11.48,11.48,123900,0.0,1.0
43,2019-08-27,11.88,12.31,11.42,11.44,11.44,159800,0.0,1.0
44,2019-08-26,11.93,12.15,11.8,11.85,11.85,107600,0.0,1.0
45,2019-08-23,11.92,12.34,11.81,11.85,11.85,125600,0.0,1.0
46,2019-08-22,12.11,12.39,12.06,12.06,12.06,101900,0.0,1.0
47,2019-08-21,12.12,12.16,11.95,12.07,12.07,107600,0.0,1.0
48,2019-08-20,11.93,12.29,11.75,12.0,12.0,130300,0.0,1.0
49,2019-08-19,11.55,12.22,11.55,11.96,11.96,181500,0.0,1.0
50,2019-08-16,11.38,11.52,11.12,11.47,11.47,1254100,0.0,1.0
51,2019-08-15,11.65,11.76,11.32,11.37,11.37,266400,0.125,1.0
52,2019-08-14,11.82,11.895,11.685,11.72,11.595,245100,0.0,1.0
53,2019-08-13,11.57,12.38,11.43,11.97,11.8423,251600,0.0,1.0
54,2019-08-12,11.65,11.7592,11.48,11.64,11.5159,228700,0.0,1.0
55,2019-08-09,11.96,12.02,11.66,11.67,11.5455,205200,0.0,1.0
56,2019-08-08,11.99,12.08,11.9,11.99,11.8621,135400,0.0,1.0
57,2019-08-07,12.16,12.2,11.92,11.94,11.8127,124700,0.0,1.0
58,2019-08-06,12.3,12.44,12.01,12.24,12.1095,177900,0.0,1.0
59,2019-08-05,12.2,12.31,12.02,12.24,12.1095,172700,0.0,1.0
60,2019-08-02,11.93,12.33,11.87,12.26,12.1292,203400,0.0,1.0
61,2019-08-01,12.99,13.06,11.9295,12.07,11.9413,517500,0.0,1.0
62,2019-07-31,14.16,14.19,12.86,12.99,12.8515,289500,0.0,1.0
63,2019-07-30,14.49,14.63,14.1,14.11,13.9595,89000,0.0,1.0
64,2019-07-29,14.89,14.89,14.4701,14.48,14.3256,69000,0.0,1.0
65,2019-07-26,14.74,15.03,14.12,14.92,14.7609,81200,0.0,1.0
66,2019-07-25,14.79,15.06,14.19,14.73,14.5729,134400,0.0,1.0
67,2019-07-24,14.06,14.81,14.0,14.78,14.6224,124300,0.0,1.0
68,2019-07-23,14.1,14.23,13.63,14.12,13.9694,190500,0.0,1.0
69,2019-07-22,14.7,14.7,14.0402,14.12,13.9694,164900,0.0,1.0
70,2019-07-19,14.8,15.07,14.57,14.61,14.4542,76800,0.0,1.0
71,2019-07-18,14.9,15.04,14.66,14.88,14.7213,42600,0.0,1.0
72,2019-07-17,15.0,15.01,14.8,14.97,14.8103,77300,0.0,1.0
73,2019-07-16,15.18,15.18,14.83,14.95,14.7906,75700,0.0,1.0
74,2019-07-15,15.4508,15.45,15.16,15.19,15.028,40100,0.0,1.0
75,2019-07-12,15.46,15.46,15.31,15.4,15.2358,77900,0.0,1.0
76,2019-07-11,15.3,15.57,15.17,15.4,15.2358,85000,0.0,1.0
77,2019-07-10,15.38,15.43,15.21,15.27,15.1071,76000,0.0,1.0
78,2019-07-09,15.34,15.4006,15.14,15.24,15.0775,67600,0.0,1.0
79,2019-07-08,15.32,15.5,15.31,15.35,15.1863,32900,0.0,1.0
80,2019-07-05,15.22,15.5,15.18,15.48,15.3149,49600,0.0,1.0
81,2019-07-03,15.22,15.22,15.04,15.14,14.9785,15400,0.0,1.0
82,2019-07-02,15.32,15.37,15.12,15.22,15.0577,55400,0.0,1.0
83,2019-07-01,15.09,15.2408,14.91,15.23,15.0676,79400,0.0,1.0
84,2019-06-28,15.05,15.43,14.86,15.04,14.8796,162900,0.0,1.0
85,2019-06-27,15.0898,15.11,14.72,15.02,14.8598,77300,0.0,1.0
86,2019-06-26,14.909,15.085,14.909,15.0,14.84,124300,0.0,1.0
87,2019-06-25,14.61,14.84,14.535,14.75,14.5927,108100,0.0,1.0
88,2019-06-24,14.45,14.93,14.45,14.6,14.4443,158100,0.0,1.0
89,2019-06-21,14.76,14.76,14.36,14.45,14.2959,204600,0.0,1.0
90,2019-06-20,15.16,15.34,14.78,14.84,14.6817,78500,0.0,1.0
91,2019-06-19,15.03,15.11,14.805,15.08,14.9192,60500,0.0,1.0
92,2019-06-18,14.93,15.05,14.755,15.04,14.8796,89600,0.0,1.0
93,2019-06-17,14.4597,14.83,14.46,14.82,14.6619,122300,0.0,1.0
94,2019-06-14,14.53,14.67,14.38,14.54,14.3849,57100,0.0,1.0
95,2019-06-13,14.4697,14.72,14.36,14.55,14.3948,84500,0.0,1.0
96,2019-06-12,14.55,14.66,14.36,14.4,14.2464,83000,0.0,1.0
97,2019-06-11,14.77,15.07,14.46,14.49,14.3355,99100,0.0,1.0
98,2019-06-10,14.85,14.93,14.6216,14.72,14.563,67700,0.0,1.0
99,2019-06-07,14.83,15.08,14.73,14.84,14.6817,52400,0.0,1.0
