,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,2.42,2.46,2.29,2.36,2.36,75188,0.0,1.0
1,2019-10-25,2.47,2.48,2.3,2.42,2.42,186700,0.0,1.0
2,2019-10-24,2.39,2.45,2.33,2.45,2.45,286600,0.0,1.0
3,2019-10-23,2.34,2.43,2.28,2.39,2.39,569500,0.0,1.0
4,2019-10-22,2.15,2.28,2.04,2.24,2.24,238600,0.0,1.0
5,2019-10-21,2.1,2.2,2.1,2.14,2.14,275500,0.0,1.0
6,2019-10-18,2.15,2.17,1.97,2.14,2.14,353500,0.0,1.0
7,2019-10-17,2.25,2.28,2.15,2.17,2.17,184100,0.0,1.0
8,2019-10-16,2.15,2.27,2.12,2.23,2.23,177200,0.0,1.0
9,2019-10-15,2.22,2.34,2.1,2.17,2.17,426200,0.0,1.0
10,2019-10-14,2.44,2.57,2.18,2.22,2.22,1313400,0.0,1.0
11,2019-10-11,2.12,2.5,2.1,2.37,2.37,1823800,0.0,1.0
12,2019-10-10,1.98,2.12,1.83,2.11,2.11,648100,0.0,1.0
13,2019-10-09,1.99,2.09,1.89,1.99,1.99,1034300,0.0,1.0
14,2019-10-08,1.72,2.01,1.64,1.96,1.96,876800,0.0,1.0
15,2019-10-07,1.67,1.78,1.58,1.74,1.74,230200,0.0,1.0
16,2019-10-04,1.56,1.77,1.55,1.67,1.67,329100,0.0,1.0
17,2019-10-03,1.46,1.6,1.44,1.58,1.58,207700,0.0,1.0
18,2019-10-02,1.53,1.72,1.34,1.47,1.47,809100,0.0,1.0
19,2019-10-01,1.85,1.86,1.36,1.55,1.55,1631900,0.0,1.0
20,2019-09-30,2.06,2.07,1.81,1.88,1.88,1060500,0.0,1.0
21,2019-09-27,1.94,2.15,1.85,2.08,2.08,1097600,0.0,1.0
22,2019-09-26,1.8,2.0,1.69,1.96,1.96,1036800,0.0,1.0
23,2019-09-25,1.7,1.96,1.6,1.88,1.88,1508200,0.0,1.0
24,2019-09-24,1.46,1.71,1.43,1.68,1.68,991200,0.0,1.0
25,2019-09-23,1.42,1.5,1.3,1.42,1.42,892900,0.0,1.0
26,2019-09-20,1.09,1.44,1.08,1.44,1.44,2294200,0.0,1.0
27,2019-09-19,0.9,1.1,0.84,1.07,1.07,539100,0.0,1.0
28,2019-09-18,0.92,0.98,0.83,0.9,0.9,161300,0.0,1.0
29,2019-09-17,0.86,1.01,0.86,0.92,0.92,436200,0.0,1.0
30,2019-09-16,0.82,0.86,0.82,0.85,0.85,128700,0.0,1.0
31,2019-09-13,0.83,0.86,0.82,0.83,0.83,145700,0.0,1.0
32,2019-09-12,0.83,0.83,0.83,0.83,0.83,72900,0.0,1.0
33,2019-09-11,0.78,0.83,0.78,0.83,0.83,120800,0.0,1.0
34,2019-09-10,0.75,0.82,0.75,0.81,0.81,151300,0.0,1.0
35,2019-09-09,0.79,0.79,0.75,0.79,0.79,89300,0.0,1.0
36,2019-09-06,0.78,0.8,0.77,0.79,0.79,104300,0.0,1.0
37,2019-09-05,0.77,0.83,0.77,0.78,0.78,512100,0.0,1.0
38,2019-09-04,0.78,0.78,0.75,0.78,0.78,16500,0.0,1.0
39,2019-09-03,0.78,0.78,0.75,0.78,0.78,33700,0.0,1.0
40,2019-08-30,0.76,0.78,0.76,0.77,0.77,51900,0.0,1.0
41,2019-08-29,0.75,0.78,0.75,0.76,0.76,55700,0.0,1.0
42,2019-08-28,0.77,0.77,0.74,0.76,0.76,24800,0.0,1.0
43,2019-08-27,0.78,0.78,0.74,0.75,0.75,28700,0.0,1.0
44,2019-08-26,0.72,0.78,0.72,0.77,0.77,128400,0.0,1.0
45,2019-08-23,0.68,0.75,0.68,0.72,0.72,190300,0.0,1.0
46,2019-08-22,0.74,0.78,0.7,0.78,0.78,311800,0.0,1.0
47,2019-08-21,0.68,0.7,0.66,0.69,0.69,44700,0.0,1.0
48,2019-08-20,0.68,0.7,0.66,0.68,0.68,23900,0.0,1.0
49,2019-08-19,0.71,0.71,0.64,0.7,0.7,80600,0.0,1.0
50,2019-08-16,0.67,0.71,0.67,0.7,0.7,29400,0.0,1.0
51,2019-08-15,0.67,0.7,0.67,0.67,0.67,43100,0.0,1.0
52,2019-08-14,0.66,0.7,0.66,0.66,0.66,42700,0.0,1.0
53,2019-08-13,0.68,0.7,0.66,0.69,0.69,36500,0.0,1.0
54,2019-08-12,0.69,0.71,0.66,0.68,0.68,20200,0.0,1.0
55,2019-08-09,0.72,0.72,0.66,0.66,0.66,14300,0.0,1.0
