,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,157.06,158.03,156.61,157.77,157.77,75790,0.0,1.0
1,2019-10-25,157.93,158.09,156.75,157.43,157.43,390000,0.0,1.0
2,2019-10-24,154.43,159.57,152.44,158.46,158.46,588400,0.0,1.0
3,2019-10-23,155.43,156.85,154.92,155.0,155.0,494800,0.0,1.0
4,2019-10-22,157.03,157.35,155.5,155.58,155.58,382700,0.0,1.0
5,2019-10-21,155.47,156.89,154.18,156.67,156.67,487400,0.0,1.0
6,2019-10-18,153.44,156.35,153.42,155.79,155.79,613700,0.0,1.0
7,2019-10-17,153.0,154.1,152.73,153.29,153.29,525400,0.0,1.0
8,2019-10-16,152.7,153.08,150.97,153.0,153.0,381300,0.0,1.0
9,2019-10-15,152.59,153.57,151.47,153.37,153.37,420100,0.0,1.0
10,2019-10-14,152.26,152.73,151.63,152.59,152.59,223700,0.0,1.0
11,2019-10-11,153.96,153.96,151.89,152.1,152.1,438900,0.0,1.0
12,2019-10-10,152.0,153.73,151.63,152.82,152.82,320300,0.0,1.0
13,2019-10-09,153.17,153.55,151.11,152.53,152.53,352800,0.0,1.0
14,2019-10-08,152.57,153.12,151.14,152.18,152.18,388300,0.0,1.0
15,2019-10-07,151.73,153.26,151.23,152.63,152.63,369100,0.0,1.0
16,2019-10-04,151.26,152.43,151.19,152.25,152.25,331200,0.0,1.0
17,2019-10-03,149.1,151.71,148.74,150.93,150.93,520900,0.0,1.0
18,2019-10-02,148.6,149.65,146.82,149.12,149.12,426400,0.0,1.0
19,2019-10-01,148.25,149.03,146.36,148.55,148.55,447700,0.0,1.0
20,2019-09-30,148.15,149.35,147.9,148.45,148.45,464000,0.0,1.0
21,2019-09-27,150.83,151.39,146.77,148.28,148.28,394600,0.75,1.0
22,2019-09-26,150.69,151.84,150.15,151.29,150.54,469100,0.0,1.0
23,2019-09-25,151.12,151.48,149.33,150.54,149.7937,508300,0.0,1.0
24,2019-09-24,149.41,151.88,149.41,150.85,150.1022,805700,0.0,1.0
25,2019-09-23,149.83,150.67,149.13,149.17,148.4305,810000,0.0,1.0
26,2019-09-20,148.39,150.0,147.68,149.83,149.0872,2073500,0.0,1.0
27,2019-09-19,148.32,148.64,147.47,147.95,147.2166,651400,0.0,1.0
28,2019-09-18,149.44,149.69,145.63,147.77,147.0374,830900,0.0,1.0
29,2019-09-17,147.95,149.82,146.87,148.35,147.6146,632800,0.0,1.0
30,2019-09-16,145.58,147.91,145.04,147.06,146.331,610100,0.0,1.0
31,2019-09-13,145.6,147.1,144.48,145.66,144.9379,1067700,0.0,1.0
32,2019-09-12,145.8,147.67,143.35,145.94,145.2165,564700,0.0,1.0
33,2019-09-11,139.93,144.59,139.07,144.55,143.8334,744100,0.0,1.0
34,2019-09-10,143.34,143.34,136.86,140.45,139.7537,798500,0.0,1.0
35,2019-09-09,149.0,149.05,143.34,143.84,143.1269,749300,0.0,1.0
36,2019-09-06,148.52,149.9,148.52,149.51,148.7688,400100,0.0,1.0
37,2019-09-05,150.29,150.29,148.04,148.29,147.5549,507300,0.0,1.0
38,2019-09-04,150.59,151.64,149.39,150.69,149.943,458800,0.0,1.0
39,2019-09-03,147.66,150.31,147.2,149.66,148.9181,495300,0.0,1.0
40,2019-08-30,148.22,148.81,147.23,147.8,147.0673,380300,0.0,1.0
41,2019-08-29,148.27,148.41,147.16,147.8,147.0673,495100,0.0,1.0
42,2019-08-28,148.55,149.15,147.4,147.6,146.8683,464700,0.0,1.0
43,2019-08-27,147.98,149.49,147.63,148.66,147.923,808300,0.0,1.0
44,2019-08-26,148.15,149.36,145.78,147.3,146.5698,413200,0.0,1.0
45,2019-08-23,148.12,149.54,147.82,147.82,147.0872,499900,0.0,1.0
46,2019-08-22,147.03,148.15,146.14,148.06,147.326,255200,0.0,1.0
47,2019-08-21,147.0,147.79,146.19,146.83,146.1021,411500,0.0,1.0
48,2019-08-20,146.96,147.04,145.67,146.7,145.9727,435500,0.0,1.0
49,2019-08-19,146.54,147.44,145.51,146.72,145.9927,406500,0.0,1.0
50,2019-08-16,145.1195,146.59,141.82,146.03,145.3061,513000,0.0,1.0
51,2019-08-15,142.05,145.1096,141.82,144.84,144.122,548400,0.0,1.0
52,2019-08-14,142.66,143.65,141.66,142.1,141.3956,474200,0.0,1.0
53,2019-08-13,142.37,143.097,141.17,142.75,142.0423,553800,0.0,1.0
54,2019-08-12,141.47,143.21,141.0,142.49,141.7836,512600,0.0,1.0
55,2019-08-09,139.74,141.5,139.52,141.23,140.5299,485800,0.0,1.0
56,2019-08-08,138.04,139.91,136.67,139.8,139.107,372100,0.0,1.0
57,2019-08-07,134.76,138.8726,133.197,137.76,137.0771,445100,0.0,1.0
58,2019-08-06,133.13,136.12,133.13,135.14,134.4701,318700,0.0,1.0
59,2019-08-05,134.38,134.75,131.82,133.1,132.4402,287400,0.0,1.0
60,2019-08-02,134.07,135.56,133.22,134.98,134.3109,284500,0.0,1.0
61,2019-08-01,133.12,134.69,131.67,133.93,133.2661,342800,0.0,1.0
62,2019-07-31,133.5,134.39,132.18,132.81,132.1516,487200,0.0,1.0
63,2019-07-30,134.2,135.39,132.99,133.45,132.7884,350700,0.0,1.0
64,2019-07-29,133.3982,135.43,133.4,134.11,133.4452,324100,0.0,1.0
65,2019-07-26,132.68,133.5922,132.45,133.16,132.4999,557300,0.0,1.0
66,2019-07-25,133.45,133.68,131.5,132.3,131.6441,720300,0.0,1.0
67,2019-07-24,132.5411,132.89,131.15,131.34,130.6889,570500,0.0,1.0
68,2019-07-23,130.96,132.88,130.13,132.54,131.8829,490200,0.0,1.0
69,2019-07-22,131.4,131.58,130.5,131.03,130.3804,388700,0.0,1.0
70,2019-07-19,134.0,134.57,131.05,131.39,130.7386,402900,0.0,1.0
71,2019-07-18,132.95,134.4896,132.28,133.97,133.3059,290200,0.0,1.0
72,2019-07-17,133.79,134.45,132.38,133.48,132.8183,380100,0.0,1.0
73,2019-07-16,133.86,134.07,132.95,133.75,133.0869,305700,0.0,1.0
74,2019-07-15,134.0,134.75,133.53,134.0,133.3357,278100,0.0,1.0
75,2019-07-12,134.6,134.6,133.1595,133.62,132.9576,566700,0.0,1.0
76,2019-07-11,136.23,136.23,133.6,134.5,133.8332,386100,0.0,1.0
77,2019-07-10,136.3058,136.64,134.5,136.16,135.485,527600,0.0,1.0
78,2019-07-09,134.15,135.81,133.91,135.54,134.8681,572700,0.0,1.0
