,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,8.04,8.16,8.03,8.065,8.065,100888,0.0,1.0
1,2019-10-25,7.94,8.04,7.9,8.02,8.02,314400,0.0,1.0
2,2019-10-24,8.1,8.13,7.92,7.97,7.97,621600,0.0,1.0
3,2019-10-23,7.93,8.14,7.93,8.04,8.04,862600,0.0,1.0
4,2019-10-22,7.73,8.02,7.67,8.0,8.0,562700,0.0,1.0
5,2019-10-21,7.85,7.96,7.75,7.77,7.77,557500,0.0,1.0
6,2019-10-18,8.15,8.16,7.67,7.77,7.77,951900,0.0,1.0
7,2019-10-17,8.09,8.26,8.08,8.2,8.2,611200,0.0,1.0
8,2019-10-16,7.9,8.19,7.9,8.09,8.09,516800,0.0,1.0
9,2019-10-15,7.89,8.1,7.86,8.05,8.05,618400,0.0,1.0
10,2019-10-14,7.85,8.0,7.76,7.9,7.9,529400,0.0,1.0
11,2019-10-11,7.75,7.99,7.68,7.88,7.88,667600,0.0,1.0
12,2019-10-10,7.52,7.72,7.48,7.65,7.65,707300,0.0,1.0
13,2019-10-09,7.42,7.5,7.37,7.47,7.47,397300,0.0,1.0
14,2019-10-08,7.38,7.49,7.29,7.35,7.35,590000,0.0,1.0
15,2019-10-07,7.48,7.58,7.42,7.45,7.45,425000,0.0,1.0
16,2019-10-04,7.51,7.56,7.39,7.52,7.52,387400,0.0,1.0
17,2019-10-03,7.44,7.54,7.22,7.51,7.51,621700,0.0,1.0
18,2019-10-02,7.44,7.53,7.37,7.48,7.48,694100,0.0,1.0
19,2019-10-01,7.58,7.87,7.5,7.53,7.53,737900,0.0,1.0
20,2019-09-30,7.91,7.93,7.52,7.62,7.62,1028800,0.0,1.0
21,2019-09-27,8.2,8.22,7.77,7.88,7.88,897500,0.0,1.0
22,2019-09-26,8.18,8.24,8.12,8.18,8.18,955200,0.0,1.0
23,2019-09-25,8.03,8.27,7.95,8.22,8.22,870900,0.0,1.0
24,2019-09-24,8.11,8.22,8.04,8.06,8.06,709500,0.0,1.0
25,2019-09-23,7.92,8.13,7.88,8.07,8.07,818300,0.0,1.0
26,2019-09-20,7.96,8.03,7.83,8.0,8.0,1419100,0.0,1.0
27,2019-09-19,7.94,8.13,7.88,7.95,7.95,776900,0.0,1.0
28,2019-09-18,8.13,8.18,7.79,7.9,7.9,865300,0.0,1.0
29,2019-09-17,8.31,8.31,8.08,8.15,8.15,871900,0.0,1.0
30,2019-09-16,8.34,8.48,8.23,8.39,8.39,824200,0.0,1.0
31,2019-09-13,8.42,8.49,8.2,8.42,8.42,764300,0.0,1.0
32,2019-09-12,8.51,8.54,8.34,8.37,8.37,1344200,0.0,1.0
33,2019-09-11,8.32,8.57,8.24,8.5,8.5,1912800,0.0,1.0
34,2019-09-10,8.14,8.27,8.07,8.25,8.25,1331300,0.0,1.0
35,2019-09-09,8.2,8.2,8.07,8.18,8.18,867700,0.0,1.0
36,2019-09-06,7.87,8.18,7.8,8.16,8.16,978800,0.0,1.0
37,2019-09-05,7.82,7.98,7.78,7.89,7.89,763600,0.0,1.0
38,2019-09-04,7.48,7.78,7.48,7.72,7.72,605900,0.08,1.0
39,2019-09-03,7.46,7.54,7.38,7.5,7.42,640400,0.0,1.0
40,2019-08-30,7.66,7.66,7.47,7.53,7.4497,472600,0.0,1.0
41,2019-08-29,7.55,7.75,7.55,7.64,7.5585,455800,0.0,1.0
42,2019-08-28,7.35,7.54,7.27,7.51,7.4299,529900,0.0,1.0
43,2019-08-27,7.46,7.5,7.35,7.38,7.3013,584100,0.0,1.0
44,2019-08-26,7.4,7.55,7.24,7.41,7.331,642900,0.0,1.0
45,2019-08-23,7.73,7.77,7.39,7.4,7.3211,774200,0.0,1.0
46,2019-08-22,7.7,7.71,7.58,7.65,7.5684,361600,0.0,1.0
47,2019-08-21,7.59,7.69,7.52,7.69,7.608,479400,0.0,1.0
48,2019-08-20,7.4,7.58,7.37,7.55,7.4695,748800,0.0,1.0
49,2019-08-19,7.42,7.48,7.38,7.45,7.3705,952800,0.0,1.0
50,2019-08-16,7.4,7.49,7.29,7.43,7.3507,729800,0.0,1.0
51,2019-08-15,7.38,7.38,7.25,7.3,7.2221,425100,0.0,1.0
52,2019-08-14,7.25,7.42,7.13,7.37,7.2914,694300,0.0,1.0
53,2019-08-13,7.57,7.79,7.38,7.49,7.4101,646500,0.0,1.0
54,2019-08-12,7.49,7.55,7.34,7.43,7.3507,406000,0.0,1.0
55,2019-08-09,7.53,7.58,7.405,7.54,7.4596,893700,0.0,1.0
56,2019-08-08,7.34,7.575,7.27,7.57,7.4893,676800,0.0,1.0
57,2019-08-07,7.36,7.36,7.07,7.25,7.1727,936100,0.0,1.0
58,2019-08-06,7.76,7.8,7.39,7.46,7.3804,663600,0.0,1.0
59,2019-08-05,7.75,7.94,7.55,7.74,7.6574,1249900,0.0,1.0
60,2019-08-02,8.14,8.14,7.59,7.95,7.8652,1189300,0.0,1.0
61,2019-08-01,8.15,8.56,8.02,8.24,8.1521,2855700,0.0,1.0
62,2019-07-31,7.7,7.84,7.52,7.58,7.4991,1118500,0.0,1.0
63,2019-07-30,7.44,7.69,7.39,7.68,7.5981,803500,0.0,1.0
64,2019-07-29,7.61,7.68,7.4,7.51,7.4299,723700,0.0,1.0
65,2019-07-26,7.45,7.67,7.43,7.66,7.5783,643400,0.0,1.0
66,2019-07-25,7.59,7.59,7.36,7.44,7.3606,560600,0.0,1.0
67,2019-07-24,7.25,7.64,7.25,7.62,7.5387,775800,0.0,1.0
68,2019-07-23,7.23,7.26,7.16,7.25,7.1727,729300,0.0,1.0
69,2019-07-22,7.26,7.36,7.16,7.18,7.1034,537900,0.0,1.0
70,2019-07-19,7.2798,7.48,7.22,7.23,7.1529,1016000,0.0,1.0
