,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,16.38,16.93,16.35,16.63,16.63,171027,0.0,1.0
1,2019-10-25,15.64,16.41,15.6,16.3,16.3,579500,0.0,1.0
2,2019-10-24,16.43,16.43,15.54,15.73,15.73,697900,0.0,1.0
3,2019-10-23,16.13,16.29,15.87,16.25,16.25,491300,0.0,1.0
4,2019-10-22,16.02,16.26,15.67,16.1,16.1,592900,0.0,1.0
5,2019-10-21,16.03,16.4,15.86,16.01,16.01,587500,0.0,1.0
6,2019-10-18,15.95,16.12,15.63,15.86,15.86,517200,0.0,1.0
7,2019-10-17,16.39,16.74,16.03,16.05,16.05,777800,0.0,1.0
8,2019-10-16,15.59,16.3,15.54,16.27,16.27,729400,0.0,1.0
9,2019-10-15,15.87,16.16,15.56,15.63,15.63,863800,0.0,1.0
10,2019-10-14,15.66,15.83,15.2,15.76,15.76,512200,0.0,1.0
11,2019-10-11,15.12,15.97,15.12,15.83,15.83,1104800,0.0,1.0
12,2019-10-10,15.21,15.33,14.81,14.93,14.93,409900,0.0,1.0
13,2019-10-09,15.21,15.31,14.95,15.13,15.13,484500,0.0,1.0
14,2019-10-08,15.71,15.84,15.11,15.12,15.12,836200,0.0,1.0
15,2019-10-07,15.07,15.93,15.07,15.81,15.81,1114200,0.0,1.0
16,2019-10-04,14.83,15.22,14.82,15.2,15.2,372500,0.0,1.0
17,2019-10-03,14.92,14.95,14.27,14.8,14.8,437700,0.0,1.0
18,2019-10-02,15.33,15.33,14.88,15.01,15.01,580600,0.0,1.0
19,2019-10-01,15.94,16.3,15.36,15.5,15.5,360200,0.0,1.0
20,2019-09-30,16.0,16.19,15.72,15.87,15.87,599900,0.0,1.0
21,2019-09-27,15.62,15.96,15.52,15.76,15.76,579300,0.0,1.0
22,2019-09-26,16.46,16.47,15.56,15.62,15.62,744700,0.0,1.0
23,2019-09-25,16.2,16.71,16.07,16.58,16.58,628100,0.0,1.0
24,2019-09-24,16.37,16.47,15.91,16.18,16.18,1265000,0.0,1.0
25,2019-09-23,15.6,16.36,15.28,16.26,16.26,1384500,0.0,1.0
26,2019-09-20,15.62,15.98,15.45,15.68,15.68,8095300,0.0,1.0
27,2019-09-19,15.62,16.09,15.55,15.61,15.61,801800,0.0,1.0
28,2019-09-18,15.5,15.86,15.3,15.56,15.56,927000,0.0,1.0
29,2019-09-17,15.58,15.79,14.9,15.46,15.46,823200,0.27,1.0
