,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,32.82,33.75,32.82,33.75,33.75,2531,0.0,1.0
1,2019-10-25,33.25,33.25,32.51,32.51,32.51,1100,0.31,1.0
2,2019-10-24,33.02,34.45,32.77,33.43,33.12,7500,0.0,1.0
3,2019-10-23,32.8,33.35,32.53,32.53,32.2283,2500,0.0,1.0
4,2019-10-22,34.14,34.14,33.27,33.36,33.0506,1400,0.0,1.0
5,2019-10-21,32.83,34.33,32.52,34.14,33.8234,6500,0.0,1.0
6,2019-10-18,32.01,32.72,31.7,32.15,31.8519,2100,0.0,1.0
7,2019-10-17,32.81,34.05,32.1,32.1,31.8023,9800,0.0,1.0
8,2019-10-16,32.5,32.5,32.5,32.5,32.1986,500,0.0,1.0
9,2019-10-15,32.5,32.75,32.5,32.75,32.4463,2300,0.0,1.0
10,2019-10-14,30.18,32.68,30.18,32.64,32.3373,1200,0.0,1.0
11,2019-10-11,31.88,32.99,31.51,32.35,32.05,3200,0.0,1.0
12,2019-10-10,31.83,31.86,31.28,31.28,30.9899,3400,0.0,1.0
13,2019-10-09,30.5,31.11,30.5,30.87,30.5837,2200,0.0,1.0
14,2019-10-08,31.11,31.11,30.06,30.17,29.8902,4200,0.0,1.0
15,2019-10-07,30.48,31.57,30.48,31.11,30.8215,3400,0.0,1.0
16,2019-10-04,30.78,31.1,30.73,30.73,30.445,1900,0.0,1.0
17,2019-10-03,30.41,30.69,29.28,30.12,29.8407,3100,0.0,1.0
18,2019-10-02,31.2,31.34,29.67,30.0,29.7218,6000,0.0,1.0
19,2019-10-01,31.2,32.15,30.59,31.39,31.0989,5800,0.0,1.0
20,2019-09-30,32.0,32.71,31.56,31.56,31.2673,3800,0.0,1.0
21,2019-09-27,32.52,32.6,31.55,31.7,31.406,5200,0.0,1.0
22,2019-09-26,32.88,32.89,32.68,32.73,32.4265,3300,0.0,1.0
23,2019-09-25,32.18,32.83,31.01,32.73,32.4265,4600,0.0,1.0
24,2019-09-24,31.48,32.25,31.22,31.22,30.9305,5300,0.0,1.0
