,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,39.0,39.08,37.92,38.39,38.39,201890,0.0,1.0
1,2019-10-25,37.76,39.18,36.45,38.85,38.85,1038100,0.0,1.0
2,2019-10-24,37.84,37.94,36.87,37.89,37.89,681000,0.0,1.0
3,2019-10-23,37.76,37.87,37.28,37.73,37.73,868900,0.0,1.0
4,2019-10-22,37.02,37.81,36.71,37.76,37.76,690300,0.0,1.0
5,2019-10-21,36.64,37.05,36.44,36.91,36.91,625200,0.0,1.0
6,2019-10-18,36.44,36.88,36.28,36.3,36.3,670900,0.0,1.0
7,2019-10-17,36.11,36.58,35.94,36.51,36.51,543300,0.0,1.0
8,2019-10-16,35.26,36.09,35.11,35.89,35.89,498600,0.0,1.0
9,2019-10-15,35.15,35.33,34.75,35.18,35.18,709900,0.0,1.0
10,2019-10-14,35.06,35.33,34.84,35.23,35.23,360200,0.0,1.0
11,2019-10-11,35.19,35.59,34.95,35.21,35.21,645100,0.0,1.0
12,2019-10-10,34.5,34.88,34.31,34.64,34.64,265500,0.0,1.0
13,2019-10-09,34.61,34.77,34.33,34.49,34.49,238200,0.0,1.0
14,2019-10-08,34.48,34.77,33.93,34.39,34.39,639900,0.0,1.0
15,2019-10-07,33.87,34.81,33.62,34.63,34.63,512000,0.0,1.0
16,2019-10-04,34.29,34.32,33.53,33.92,33.92,457300,0.09,1.0
17,2019-10-03,34.54,34.54,33.58,33.8,33.71,773200,0.0,1.0
18,2019-10-02,34.41,34.63,33.98,34.42,34.3283,810300,0.0,1.0
19,2019-10-01,35.46,35.72,34.26,34.67,34.5777,740400,0.0,1.0
20,2019-09-30,35.34,35.58,34.91,35.3,35.206,602000,0.0,1.0
21,2019-09-27,35.64,35.8,35.01,35.34,35.2459,784800,0.0,1.0
22,2019-09-26,35.18,35.69,34.81,35.49,35.3955,856900,0.0,1.0
23,2019-09-25,33.86,35.22,33.78,35.15,35.0564,629600,0.0,1.0
24,2019-09-24,34.44,34.67,33.77,33.85,33.7599,428300,0.0,1.0
25,2019-09-23,34.33,34.54,34.09,34.35,34.2585,326300,0.0,1.0
26,2019-09-20,34.19,34.5,34.03,34.36,34.2685,659200,0.0,1.0
27,2019-09-19,34.54,34.54,33.95,34.18,34.089,449400,0.0,1.0
28,2019-09-18,34.52,34.52,33.97,34.35,34.2585,412600,0.0,1.0
29,2019-09-17,34.45,34.88,34.07,34.79,34.6974,460900,0.0,1.0
30,2019-09-16,34.93,35.32,34.49,34.54,34.448,562100,0.0,1.0
31,2019-09-13,35.41,35.59,35.03,35.29,35.196,585400,0.0,1.0
32,2019-09-12,34.98,35.38,34.26,35.03,34.9367,762100,0.0,1.0
33,2019-09-11,34.43,35.31,33.79,35.3,35.206,633000,0.0,1.0
34,2019-09-10,34.29,34.65,33.83,34.21,34.1189,1309300,0.0,1.0
35,2019-09-09,33.03,34.23,33.03,34.21,34.1189,614900,0.0,1.0
36,2019-09-06,33.26,33.52,32.73,32.94,32.8523,482000,0.0,1.0
37,2019-09-05,33.61,33.65,32.93,33.13,33.0418,843200,0.0,1.0
38,2019-09-04,32.88,33.22,32.88,33.07,32.9819,487200,0.0,1.0
39,2019-09-03,32.98,33.14,32.19,32.61,32.5232,638600,0.0,1.0
40,2019-08-30,32.19,32.86,32.0,32.68,32.593,608000,0.0,1.0
41,2019-08-29,31.62,32.36,31.59,32.06,31.9746,760200,0.0,1.0
42,2019-08-28,30.47,31.42,30.26,31.3,31.2167,484900,0.0,1.0
43,2019-08-27,31.27,31.49,30.57,30.61,30.5285,444100,0.0,1.0
44,2019-08-26,31.08,31.13,30.7,31.02,30.9374,445100,0.0,1.0
45,2019-08-23,31.68,31.7,30.61,30.71,30.6282,426600,0.0,1.0
46,2019-08-22,32.26,32.34,31.82,31.89,31.8051,253800,0.0,1.0
47,2019-08-21,31.87,32.26,31.68,32.06,31.9746,381800,0.0,1.0
48,2019-08-20,31.74,31.89,31.34,31.75,31.6655,350500,0.0,1.0
49,2019-08-19,31.78,32.33,31.72,31.79,31.7054,390300,0.0,1.0
50,2019-08-16,30.78,31.56,30.78,31.46,31.3762,437100,0.0,1.0
51,2019-08-15,31.18,31.18,30.28,30.57,30.4886,603800,0.0,1.0
52,2019-08-14,31.35,31.3508,30.82,31.05,30.9673,655000,0.0,1.0
53,2019-08-13,30.84,31.68,30.84,31.65,31.5657,760600,0.0,1.0
54,2019-08-12,31.47,31.47,30.65,30.85,30.7679,953800,0.0,1.0
55,2019-08-09,32.09,32.09,31.51,31.55,31.466,446000,0.0,1.0
56,2019-08-08,31.92,32.28,31.91,32.21,32.1242,701100,0.0,1.0
57,2019-08-07,31.55,31.83,31.4,31.74,31.6555,375100,0.0,1.0
58,2019-08-06,31.49,32.67,31.26,31.96,31.8749,471500,0.0,1.0
59,2019-08-05,31.99,32.06,31.07,31.42,31.3363,632800,0.0,1.0
60,2019-08-02,32.4,32.73,32.16,32.4,32.3137,452000,0.0,1.0
