,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,9.9,10.04,9.67,9.67,9.67,131600,0.0,1.0
1,2019-10-25,9.41,10.13,9.35,9.88,9.88,366900,0.0,1.0
2,2019-10-24,10.0,10.03,9.32,9.36,9.36,353200,0.0,1.0
3,2019-10-23,9.3,10.0,9.3,9.88,9.88,497400,0.0,1.0
4,2019-10-22,10.5,11.18,8.95,9.41,9.41,1963500,0.0,1.0
5,2019-10-21,10.45,11.15,10.29,10.88,10.88,546800,0.0,1.0
6,2019-10-18,10.51,10.76,10.01,10.48,10.48,419100,0.0,1.0
7,2019-10-17,11.13,11.2,10.21,10.66,10.66,739100,0.0,1.0
8,2019-10-16,11.88,11.99,11.06,11.12,11.12,374100,0.0,1.0
9,2019-10-15,11.53,12.56,11.38,11.83,11.83,615500,0.0,1.0
10,2019-10-14,11.85,12.1,11.39,11.51,11.51,228900,0.0,1.0
11,2019-10-11,11.23,11.84,10.85,11.69,11.69,457900,0.0,1.0
12,2019-10-10,11.25,11.43,11.02,11.14,11.14,178400,0.0,1.0
13,2019-10-09,11.5,11.71,10.8,11.31,11.31,505500,0.0,1.0
14,2019-10-08,12.22,12.22,11.4,11.42,11.42,487500,0.0,1.0
15,2019-10-07,12.6,13.1,11.25,12.43,12.43,887800,0.0,1.0
16,2019-10-04,12.0,12.6,11.85,12.51,12.51,1098600,0.0,1.0
17,2019-10-03,11.27,11.89,10.42,11.8,11.8,1055600,0.0,1.0
18,2019-10-02,10.05,11.13,9.96,10.78,10.78,1190400,0.0,1.0
19,2019-10-01,9.47,9.91,9.47,9.73,9.73,110300,0.0,1.0
20,2019-09-30,9.51,9.58,9.26,9.51,9.51,161200,0.0,1.0
21,2019-09-27,9.55,10.1,9.46,9.51,9.51,231700,0.0,1.0
22,2019-09-26,9.59,9.65,9.22,9.48,9.48,89500,0.0,1.0
23,2019-09-25,9.68,9.86,9.5,9.58,9.58,140100,0.0,1.0
24,2019-09-24,9.82,10.07,9.41,9.72,9.72,217300,0.0,1.0
25,2019-09-23,10.18,10.39,9.81,9.85,9.85,212300,0.0,1.0
26,2019-09-20,9.83,10.4,9.72,9.99,9.99,401100,0.0,1.0
27,2019-09-19,9.41,9.78,9.37,9.7,9.7,140800,0.0,1.0
28,2019-09-18,9.38,9.52,9.22,9.36,9.36,139500,0.0,1.0
29,2019-09-17,8.98,9.42,8.9,9.4,9.4,193500,0.0,1.0
30,2019-09-16,9.01,9.08,8.85,8.94,8.94,152300,0.0,1.0
31,2019-09-13,8.6,9.1,8.6,9.0,9.0,184300,0.0,1.0
32,2019-09-12,9.56,9.76,8.4,8.56,8.56,333000,0.0,1.0
33,2019-09-11,9.29,9.83,9.28,9.52,9.52,259500,0.0,1.0
34,2019-09-10,9.0,9.29,8.67,9.22,9.22,146300,0.0,1.0
35,2019-09-09,9.41,9.6,8.88,9.0,9.0,241900,0.0,1.0
36,2019-09-06,9.48,9.75,9.37,9.43,9.43,119600,0.0,1.0
37,2019-09-05,9.24,9.76,9.24,9.51,9.51,227600,0.0,1.0
38,2019-09-04,8.87,9.24,8.78,9.16,9.16,136800,0.0,1.0
39,2019-09-03,8.96,9.0,8.6,8.87,8.87,99100,0.0,1.0
40,2019-08-30,9.05,9.16,8.85,8.94,8.94,89500,0.0,1.0
41,2019-08-29,8.82,9.16,8.81,8.99,8.99,134100,0.0,1.0
42,2019-08-28,8.5,8.83,8.41,8.74,8.74,144500,0.0,1.0
43,2019-08-27,8.74,9.04,8.45,8.51,8.51,202100,0.0,1.0
44,2019-08-26,9.1,9.15,8.4,8.74,8.74,316400,0.0,1.0
45,2019-08-23,9.69,9.69,8.83,9.2,9.2,287200,0.0,1.0
46,2019-08-22,10.33,10.44,9.3,9.76,9.76,491900,0.0,1.0
47,2019-08-21,10.08,10.62,10.0,10.34,10.34,484900,0.0,1.0
48,2019-08-20,10.2,10.35,9.61,10.08,10.08,447900,0.0,1.0
49,2019-08-19,10.72,11.35,10.15,10.29,10.29,586200,0.0,1.0
50,2019-08-16,9.82,10.64,9.82,10.62,10.62,609600,0.0,1.0
51,2019-08-15,9.2,9.83,9.2,9.82,9.82,393300,0.0,1.0
52,2019-08-14,8.98,9.39,8.838,9.16,9.16,322300,0.0,1.0
53,2019-08-13,8.3,9.19,8.3,9.04,9.04,288100,0.0,1.0
54,2019-08-12,8.31,8.4,8.01,8.32,8.32,180800,0.0,1.0
55,2019-08-09,8.5,8.56,8.13,8.35,8.35,172300,0.0,1.0
56,2019-08-08,8.64,8.71,8.36,8.56,8.56,98000,0.0,1.0
57,2019-08-07,8.5097,8.78,8.18,8.66,8.66,163500,0.0,1.0
58,2019-08-06,8.81,8.9,8.35,8.57,8.57,178900,0.0,1.0
59,2019-08-05,9.2,9.2,8.64,8.75,8.75,218800,0.0,1.0
60,2019-08-02,9.11,9.45,8.8,9.2,9.2,251900,0.0,1.0
61,2019-08-01,8.94,9.31,8.17,9.21,9.21,538500,0.0,1.0
62,2019-07-31,8.48,8.82,8.0903,8.32,8.32,391100,0.0,1.0
63,2019-07-30,8.28,8.43,8.0301,8.39,8.39,171000,0.0,1.0
64,2019-07-29,8.06,8.39,8.05,8.29,8.29,231700,0.0,1.0
65,2019-07-26,8.1001,8.22,8.03,8.1,8.1,152500,0.0,1.0
66,2019-07-25,8.16,8.17,7.9,8.02,8.02,155700,0.0,1.0
67,2019-07-24,8.01,8.15,7.87,8.15,8.15,155100,0.0,1.0
68,2019-07-23,7.8,8.02,7.73,8.0,8.0,192300,0.0,1.0
69,2019-07-22,7.77,7.9,7.63,7.87,7.87,212200,0.0,1.0
70,2019-07-19,7.36,7.8,7.36,7.73,7.73,269300,0.0,1.0
71,2019-07-18,7.47,7.51,7.28,7.38,7.38,126700,0.0,1.0
72,2019-07-17,7.39,7.59,7.22,7.47,7.47,228200,0.0,1.0
73,2019-07-16,7.66,7.66,7.12,7.36,7.36,399300,0.0,1.0
74,2019-07-15,8.56,8.72,7.45,7.7,7.7,416500,0.0,1.0
75,2019-07-12,8.88,8.88,8.53,8.56,8.56,226900,0.0,1.0
76,2019-07-11,9.19,9.19,8.45,8.9,8.9,608200,0.0,1.0
77,2019-07-10,9.13,9.23,8.99,9.17,9.17,356500,0.0,1.0
78,2019-07-09,9.31,9.43,8.7992,9.18,9.18,267900,0.0,1.0
79,2019-07-08,9.34,9.53,9.08,9.36,9.36,261000,0.0,1.0
80,2019-07-05,9.33,9.57,9.22,9.37,9.37,298000,0.0,1.0
81,2019-07-03,9.46,9.5,9.2,9.41,9.41,144200,0.0,1.0
82,2019-07-02,9.75,9.92,9.02,9.34,9.34,361300,0.0,1.0
83,2019-07-01,9.21,9.62,9.03,9.59,9.59,411700,0.0,1.0
84,2019-06-28,8.62,9.2,8.62,8.99,8.99,2171200,0.0,1.0
85,2019-06-27,9.02,9.45,7.28,8.69,8.69,1574900,0.0,1.0
86,2019-06-26,10.28,10.92,10.23,10.49,10.49,209800,0.0,1.0
87,2019-06-25,11.75,11.75,10.19,10.5,10.5,885300,0.0,1.0
88,2019-06-24,11.26,11.75,11.19,11.73,11.73,672900,0.0,1.0
89,2019-06-21,11.05,11.24,10.83,11.02,11.02,928000,0.0,1.0
90,2019-06-20,10.6,11.25,10.54,10.99,10.99,613900,0.0,1.0
91,2019-06-19,9.95,10.83,9.79,10.38,10.38,708500,0.0,1.0
92,2019-06-18,9.67,9.85,9.23,9.82,9.82,409100,0.0,1.0
93,2019-06-17,8.82,9.57,8.72,9.5,9.5,486200,0.0,1.0
94,2019-06-14,8.83,8.87,8.28,8.75,8.75,232300,0.0,1.0
95,2019-06-13,8.63,9.0,8.48,8.8,8.8,143800,0.0,1.0
96,2019-06-12,8.17,8.7,8.04,8.65,8.65,213900,0.0,1.0
97,2019-06-11,8.5,8.66,7.5,8.22,8.22,333900,0.0,1.0
98,2019-06-10,8.9,9.22,8.35,8.43,8.43,646500,0.0,1.0
99,2019-06-07,8.39,8.75,8.28,8.71,8.71,375600,0.0,1.0
100,2019-06-06,7.98,8.59,7.98,8.46,8.46,501800,0.0,1.0
101,2019-06-05,7.4,8.0,7.35,7.97,7.97,261600,0.0,1.0
102,2019-06-04,7.39,7.39,7.07,7.3,7.3,159200,0.0,1.0
103,2019-06-03,7.33,7.38,7.11,7.35,7.35,44200,0.0,1.0
104,2019-05-31,7.33,7.33,6.99,7.3,7.3,50700,0.0,1.0
105,2019-05-30,7.4,7.45,7.12,7.28,7.28,88000,0.0,1.0
106,2019-05-29,6.96,7.4,6.96,7.4,7.4,75900,0.0,1.0
107,2019-05-28,7.09,7.09,6.94,7.04,7.04,83300,0.0,1.0
108,2019-05-24,7.11,7.15,6.95,7.14,7.14,127600,0.0,1.0
109,2019-05-23,7.6,7.6,6.84,7.15,7.15,193800,0.0,1.0
110,2019-05-22,7.9,7.92,7.57,7.57,7.57,92300,0.0,1.0
111,2019-05-21,7.55,8.0,7.55,7.91,7.91,215400,0.0,1.0
112,2019-05-20,7.4,7.63,7.15,7.52,7.52,99800,0.0,1.0
113,2019-05-17,7.55,7.65,7.1,7.44,7.44,78400,0.0,1.0
114,2019-05-16,7.67,7.9,7.04,7.52,7.52,303700,0.0,1.0
